unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,9.352,9.603,9.085,9.32,6524442.0
1451970000,2016-01-05,9.352,9.728,8.988,9.675,7702386.0
1452056400,2016-01-06,9.473,9.53,8.843,8.916,8590978.0
1452142800,2016-01-07,8.754,9.425,8.673,9.102,6856422.0
1452229200,2016-01-08,9.182,9.485,8.936,9.166,7539830.0
1452488400,2016-01-11,9.158,9.19,8.229,8.269,10457506.0
1452574800,2016-01-12,8.334,8.617,7.913,8.002,9714973.0
1452661200,2016-01-13,8.115,8.301,7.744,7.938,8650834.0
1452747600,2016-01-14,7.978,8.568,7.792,8.471,8802969.0
1452834000,2016-01-15,8.196,8.277,7.695,8.172,7632839.0
1453179600,2016-01-19,8.261,8.406,7.97,8.107,7300975.0
1453266000,2016-01-20,7.849,7.913,7.21,7.744,9656276.0
1453352400,2016-01-21,7.76,8.471,7.735,7.994,9283802.0
1453438800,2016-01-22,8.115,8.277,7.865,8.026,8446363.0
1453698000,2016-01-25,7.824,7.889,7.218,7.259,7834730.0
1453784400,2016-01-26,7.388,7.865,7.242,7.816,5460505.0
1453870800,2016-01-27,7.808,8.317,7.647,7.994,7694456.0
1453957200,2016-01-28,8.052,8.322,7.908,8.281,6744679.0
1454043600,2016-01-29,8.445,8.847,8.445,8.724,8765620.0
1454302800,2016-02-01,8.765,8.822,8.289,8.748,6616033.0
1454389200,2016-02-02,8.666,8.814,8.363,8.781,5288715.0
1454475600,2016-02-03,8.888,9.577,8.871,9.331,9048005.0
1454562000,2016-02-04,9.216,9.954,9.175,9.577,12262697.0
1454648400,2016-02-05,9.511,9.683,9.15,9.486,13161231.0
1454907600,2016-02-08,9.363,9.773,8.978,9.134,9599174.0
1454994000,2016-02-09,8.937,9.027,8.687,8.888,5604287.0
1455080400,2016-02-10,8.83,8.994,8.338,8.773,5300348.0
1455166800,2016-02-11,8.56,8.666,7.814,7.863,6286903.0
1455253200,2016-02-12,7.953,7.978,7.404,7.855,6717199.0
1455598800,2016-02-16,7.847,8.035,7.789,7.953,4384655.0
1455685200,2016-02-17,8.06,8.814,8.019,8.363,7032175.0
1455771600,2016-02-18,8.363,8.634,8.248,8.552,7688194.0
1455858000,2016-02-19,8.429,8.437,8.002,8.207,6030122.0
1456117200,2016-02-22,8.298,8.675,8.298,8.666,6632742.0
1456203600,2016-02-23,8.568,8.65,8.314,8.461,4523529.0
1456290000,2016-02-24,8.347,8.978,8.175,8.88,7695779.0
1456376400,2016-02-25,8.896,9.322,8.74,8.937,4055668.0
1456462800,2016-02-26,8.99,9.281,8.962,9.085,5499973.0
1456722000,2016-02-29,8.486,9.003,8.29,8.839,11407861.0
1456808400,2016-03-01,8.912,9.245,8.74,9.232,7045764.0
1456894800,2016-03-02,9.126,9.995,9.06,9.97,6088241.0
1456981200,2016-03-03,9.896,10.47,9.896,10.27,7709057.0
1457067600,2016-03-04,10.24,10.9,10.2,10.72,8298761.0
1457326800,2016-03-07,10.68,11.61,10.68,11.18,10422670.0
1457413200,2016-03-08,11.14,11.19,10.21,10.26,9634979.0
1457499600,2016-03-09,10.31,10.52,9.839,10.13,15840938.0
1457586000,2016-03-10,10.2,10.67,10.04,10.57,7998426.0
1457672400,2016-03-11,10.77,11.37,10.76,11.27,9213869.0
1457928000,2016-03-14,11.26,11.43,11.08,11.21,6472991.0
1458014400,2016-03-15,11.1,11.13,10.53,10.9,5519700.0
1458100800,2016-03-16,10.95,11.4,10.86,11.36,5465432.0
1458187200,2016-03-17,11.53,11.78,11.14,11.45,5367824.0
1458273600,2016-03-18,11.45,11.86,11.18,11.23,10438008.0
1458532800,2016-03-21,11.21,11.48,11.06,11.12,4785350.0
1458619200,2016-03-22,11.07,11.41,10.97,11.29,4129853.0
1458705600,2016-03-23,11.22,11.25,10.64,10.65,4422373.0
1458792000,2016-03-24,10.54,10.81,10.13,10.77,6062044.0
1459137600,2016-03-28,10.82,10.86,10.38,10.57,3250723.0
1459224000,2016-03-29,10.48,10.85,9.917,10.84,7388075.0
1459310400,2016-03-30,10.95,11.12,10.6,10.61,5747919.0
1459396800,2016-03-31,10.61,10.82,10.51,10.67,5822686.0
1459483200,2016-04-01,10.64,10.65,10.11,10.47,7311187.0
1459742400,2016-04-04,10.47,10.88,10.35,10.5,6746584.0
1459828800,2016-04-05,10.41,10.45,10.0,10.01,17620417.0
1459915200,2016-04-06,10.08,10.13,9.585,9.864,10678355.0
1460001600,2016-04-07,9.855,10.24,9.814,10.04,9362150.0
1460088000,2016-04-08,10.22,10.66,10.22,10.39,6427228.0
1460347200,2016-04-11,10.47,10.95,10.41,10.75,5764026.0
1460433600,2016-04-12,10.77,10.97,10.53,10.89,4994139.0
1460520000,2016-04-13,10.91,11.19,10.72,11.01,4306500.0
1460606400,2016-04-14,11.01,11.11,10.86,10.91,3750030.0
1460692800,2016-04-15,10.84,11.31,10.78,11.19,4671474.0
1460952000,2016-04-18,10.9,11.41,10.76,11.3,5580165.0
1461038400,2016-04-19,11.4,11.75,11.26,11.73,7914756.0
1461124800,2016-04-20,11.65,11.72,11.4,11.54,6354052.0
1461211200,2016-04-21,11.55,11.78,11.36,11.47,6440831.0
1461297600,2016-04-22,11.54,11.95,11.49,11.64,6007606.0
1461556800,2016-04-25,11.56,11.74,11.45,11.63,5367152.0
1461643200,2016-04-26,11.65,11.94,11.64,11.93,5816268.0
1461729600,2016-04-27,12.0,12.51,11.99,12.28,8746228.0
1461816000,2016-04-28,12.2,12.59,12.05,12.32,6501035.0
1461902400,2016-04-29,12.41,12.53,12.2,12.41,5957322.0
1462161600,2016-05-02,12.33,12.39,12.13,12.24,8270579.0
1462248000,2016-05-03,12.12,12.14,11.44,11.53,6084054.0
1462334400,2016-05-04,11.61,12.07,11.59,12.01,7763741.0
1462420800,2016-05-05,12.26,12.88,12.13,12.21,7881082.0
1462507200,2016-05-06,12.22,12.81,12.19,12.75,6249327.0
1462766400,2016-05-09,12.87,12.96,12.53,12.86,6269346.0
1462852800,2016-05-10,12.94,13.12,12.78,13.1,4788063.0
1462939200,2016-05-11,13.1,13.27,12.82,12.96,5531359.0
1463025600,2016-05-12,13.05,13.17,12.75,12.84,5086711.0
1463112000,2016-05-13,12.8,12.98,12.64,12.69,4395438.0
1463371200,2016-05-16,12.73,13.11,12.68,12.95,7374491.0
1463457600,2016-05-17,12.92,13.28,12.79,12.97,4820498.0
1463544000,2016-05-18,12.85,13.03,12.47,12.58,4560411.0
1463630400,2016-05-19,12.46,12.9,12.39,12.73,3463840.0
1463716800,2016-05-20,12.79,12.99,12.73,12.92,3467066.0
1463976000,2016-05-23,12.89,13.26,12.87,13.06,3657525.0
1464062400,2016-05-24,13.14,13.32,12.9,13.16,4094693.0
1464148800,2016-05-25,12.83,13.1,12.68,13.02,6522329.0
1464235200,2016-05-26,13.09,13.22,12.78,12.86,7504401.0
1464321600,2016-05-27,12.87,13.36,12.87,13.3,4109395.0
1464667200,2016-05-31,13.34,13.76,13.3,13.46,6684133.0
1464753600,2016-06-01,13.42,13.91,13.39,13.84,6937584.0
1464840000,2016-06-02,13.76,14.25,13.76,14.09,4635185.0
1464926400,2016-06-03,14.21,14.43,14.02,14.29,7016799.0
1465185600,2016-06-06,14.38,14.71,14.33,14.68,7167364.0
1465272000,2016-06-07,14.63,14.79,14.43,14.71,6700010.0
1465358400,2016-06-08,14.85,15.05,14.57,14.61,4827966.0
1465444800,2016-06-09,13.89,13.9,13.19,13.63,11087131.0
1465531200,2016-06-10,13.41,13.44,12.21,12.24,9246396.0
1465790400,2016-06-13,12.2,12.47,12.04,12.22,5991803.0
1465876800,2016-06-14,12.13,12.23,11.58,11.69,7305946.0
1465963200,2016-06-15,11.6,11.78,11.3,11.46,7826441.0
1466049600,2016-06-16,11.37,11.67,11.19,11.48,8772774.0
1466136000,2016-06-17,11.52,12.09,11.52,11.82,7407627.0
1466395200,2016-06-20,11.89,12.09,11.7,11.71,4093435.0
1466481600,2016-06-21,11.72,11.88,11.56,11.77,3476305.0
1466568000,2016-06-22,11.75,11.8,11.4,11.62,4726158.0
1466654400,2016-06-23,11.72,11.95,11.67,11.94,3467661.0
1466740800,2016-06-24,11.64,11.79,11.39,11.49,8578718.0
1467000000,2016-06-27,11.35,11.49,10.86,10.94,5662349.0
1467086400,2016-06-28,11.16,11.72,11.16,11.66,6609426.0
1467172800,2016-06-29,11.81,12.19,11.8,12.09,5855951.0
1467259200,2016-06-30,12.12,12.33,11.76,12.32,6502498.0
1467345600,2016-07-01,12.36,12.66,12.29,12.34,4562274.0
1467691200,2016-07-05,12.2,12.27,11.67,11.91,4109395.0
1467777600,2016-07-06,11.83,12.08,11.76,12.02,2740920.0
1467864000,2016-07-07,12.04,12.27,11.8,11.96,3747203.0
1467950400,2016-07-08,12.07,12.38,12.06,12.38,4881973.0
1468209600,2016-07-11,12.28,12.63,12.27,12.62,3510773.0
1468296000,2016-07-12,12.73,13.12,12.73,12.96,4260694.0
1468382400,2016-07-13,12.99,13.05,12.73,13.04,4522182.0
1468468800,2016-07-14,12.82,13.16,12.56,12.58,5977509.0
1468555200,2016-07-15,12.61,12.77,12.51,12.71,4152623.0
1468814400,2016-07-18,12.71,12.77,12.61,12.76,3442770.0
1468900800,2016-07-19,12.72,12.76,12.0,12.03,4768457.0
1468987200,2016-07-20,11.93,12.14,11.65,12.05,5713566.0
1469073600,2016-07-21,12.04,12.21,11.91,11.97,4505120.0
1469160000,2016-07-22,11.95,12.23,11.93,12.15,4234560.0
1469419200,2016-07-25,12.17,12.35,12.04,12.15,3023527.0
1469505600,2016-07-26,12.19,12.36,12.05,12.13,2826033.0
1469592000,2016-07-27,12.22,12.32,11.4,11.49,5715922.0
1469678400,2016-07-28,11.5,11.67,11.36,11.6,3731858.0
1469764800,2016-07-29,11.55,11.63,11.33,11.39,5260730.0
1470024000,2016-08-01,11.35,11.44,11.08,11.25,4867661.0
1470110400,2016-08-02,11.26,11.42,11.15,11.34,3651307.0
1470196800,2016-08-03,11.39,11.97,11.25,11.64,4063682.0
1470283200,2016-08-04,11.61,11.73,11.16,11.36,5126227.0
1470369600,2016-08-05,11.23,11.46,11.2,11.21,4244512.0
1470628800,2016-08-08,11.34,11.43,11.11,11.13,4842254.0
1470715200,2016-08-09,11.12,11.38,10.5,10.56,5983507.0
1470801600,2016-08-10,10.58,10.79,10.32,10.5,5526409.0
1470888000,2016-08-11,10.55,10.74,10.45,10.68,3894868.0
1470974400,2016-08-12,10.72,10.83,10.43,10.47,3593992.0
1471233600,2016-08-15,10.51,10.6,10.33,10.38,5806934.0
1471320000,2016-08-16,10.41,10.48,10.11,10.13,4839630.0
1471406400,2016-08-17,10.11,10.25,9.945,10.19,5396697.0
1471492800,2016-08-18,10.2,10.35,10.17,10.35,3440846.0
1471579200,2016-08-19,10.3,10.3,10.11,10.18,2922364.0
1471838400,2016-08-22,10.12,10.29,10.04,10.28,4200398.0
1471924800,2016-08-23,10.33,10.54,10.27,10.34,5001733.0
