unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,11.62,11.71,11.53,11.71,4230703.0
1451970000,2016-01-05,11.75,11.8,11.25,11.32,5109169.0
1452056400,2016-01-06,11.1,11.36,11.06,11.26,4358237.0
1452142800,2016-01-07,11.02,11.17,10.98,11.01,3423665.0
1452229200,2016-01-08,11.13,11.26,11.01,11.15,4662093.0
1452488400,2016-01-11,10.99,11.2,10.69,10.82,5481199.0
1452574800,2016-01-12,10.9,11.06,10.82,11.02,4038309.0
1452661200,2016-01-13,11.09,11.11,10.71,10.8,4594858.0
1452747600,2016-01-14,10.89,11.35,10.79,11.26,5676353.0
1452834000,2016-01-15,10.95,11.28,10.86,11.09,6653695.0
1453179600,2016-01-19,11.23,11.23,10.74,10.94,5057985.0
1453266000,2016-01-20,10.74,10.88,10.46,10.77,5088525.0
1453352400,2016-01-21,10.77,11.15,10.68,10.96,3528256.0
1453438800,2016-01-22,11.25,11.27,11.1,11.25,2751876.0
1453698000,2016-01-25,11.22,11.28,11.04,11.08,3373163.0
1453784400,2016-01-26,11.14,11.34,11.0,11.34,2630168.0
1453870800,2016-01-27,11.24,11.48,11.17,11.25,4717207.0
1453957200,2016-01-28,11.49,11.49,11.11,11.38,4769767.0
1454043600,2016-01-29,11.42,11.56,11.23,11.49,4641037.0
1454302800,2016-02-01,11.61,11.61,11.07,11.25,4936166.0
1454389200,2016-02-02,11.12,11.24,10.7,10.74,4000861.0
1454475600,2016-02-03,10.86,11.21,10.58,10.85,4069103.0
1454562000,2016-02-04,10.83,11.07,10.78,10.82,6847093.0
1454648400,2016-02-05,10.42,10.45,9.713,9.837,10425633.0
1454907600,2016-02-08,9.722,9.828,9.092,9.358,7170751.0
1454994000,2016-02-09,9.19,9.438,9.119,9.296,5642990.0
1455080400,2016-02-10,9.323,9.544,9.279,9.394,5900536.0
1455166800,2016-02-11,9.252,9.287,9.048,9.216,5137707.0
1455253200,2016-02-12,9.332,9.743,9.279,9.527,4938708.0
1455598800,2016-02-16,9.677,9.837,9.429,9.695,4896540.0
1455685200,2016-02-17,9.766,9.987,9.686,9.748,3704173.0
1455771600,2016-02-18,9.766,9.793,9.598,9.615,3299762.0
1455858000,2016-02-19,9.571,9.801,9.527,9.677,5196563.0
1456117200,2016-02-22,9.801,9.917,9.766,9.837,2706478.0
1456203600,2016-02-23,9.766,9.899,9.642,9.651,4368427.0
1456290000,2016-02-24,9.296,9.62,9.296,9.562,6533820.0
1456376400,2016-02-25,9.58,9.642,9.376,9.633,3333998.0
1456462800,2016-02-26,9.704,9.784,9.589,9.677,2892106.0
1456722000,2016-02-29,9.668,9.898,9.571,9.589,3888581.0
1456808400,2016-03-01,9.66,9.695,9.473,9.544,4735860.0
1456894800,2016-03-02,9.509,9.695,9.491,9.651,6251942.0
1456981200,2016-03-03,9.651,9.722,9.544,9.668,7784763.0
1457067600,2016-03-04,9.668,9.859,9.598,9.748,11482424.0
1457326800,2016-03-07,9.718,10.15,9.691,10.11,6000603.0
1457413200,2016-03-08,10.03,10.08,9.718,9.763,3853662.0
1457499600,2016-03-09,9.834,10.15,9.727,9.915,7126375.0
1457586000,2016-03-10,9.986,10.0,9.718,9.915,6809031.0
1457672400,2016-03-11,10.06,10.52,9.879,10.5,5378943.0
1457928000,2016-03-14,10.45,10.66,10.15,10.34,3386966.0
1458014400,2016-03-15,10.29,10.39,10.14,10.34,2732996.0
1458100800,2016-03-16,10.31,10.84,10.31,10.78,7410122.0
1458187200,2016-03-17,10.79,11.32,10.79,11.12,6494780.0
1458273600,2016-03-18,11.17,11.26,10.92,11.01,5534252.0
1458532800,2016-03-21,10.99,11.12,10.89,11.07,2591613.0
1458619200,2016-03-22,11.02,11.31,11.0,11.3,4163297.0
1458705600,2016-03-23,11.27,11.4,11.19,11.21,6257140.0
1458792000,2016-03-24,11.12,11.21,10.99,11.18,3484232.0
1459137600,2016-03-28,11.19,11.5,11.17,11.49,3808817.0
1459224000,2016-03-29,11.46,11.53,11.27,11.5,3203255.0
1459310400,2016-03-30,11.57,11.57,11.29,11.4,2733803.0
1459396800,2016-03-31,11.39,11.52,11.27,11.42,2664702.0
1459483200,2016-04-01,11.34,11.67,11.18,11.65,3768839.0
1459742400,2016-04-04,11.62,11.68,11.39,11.41,3246368.0
1459828800,2016-04-05,11.35,11.51,11.2,11.27,3194060.0
1459915200,2016-04-06,11.32,11.45,11.17,11.42,3474802.0
1460001600,2016-04-07,11.38,11.49,11.14,11.26,6844920.0
1460088000,2016-04-08,11.35,11.35,11.02,11.09,2840993.0
1460347200,2016-04-11,11.1,11.17,10.99,10.99,3089009.0
1460433600,2016-04-12,11.04,11.22,10.96,11.15,2388523.0
1460520000,2016-04-13,11.21,11.36,11.17,11.35,2003319.0
1460606400,2016-04-14,11.4,11.49,11.36,11.38,1839722.0
1460692800,2016-04-15,11.38,11.4,11.26,11.35,1795135.0
1460952000,2016-04-18,11.26,11.31,11.11,11.14,6310824.0
1461038400,2016-04-19,11.14,11.34,11.08,11.21,3663154.0
1461124800,2016-04-20,11.23,11.33,11.15,11.21,3525396.0
1461211200,2016-04-21,11.21,11.54,11.16,11.39,4591921.0
1461297600,2016-04-22,11.41,11.54,11.38,11.44,2881713.0
1461556800,2016-04-25,11.41,11.46,11.19,11.28,1777258.0
1461643200,2016-04-26,11.3,11.47,11.22,11.43,1391474.0
1461729600,2016-04-27,11.43,11.52,11.25,11.33,1556678.0
1461816000,2016-04-28,11.26,11.43,11.17,11.21,1862855.0
1461902400,2016-04-29,11.16,11.25,10.93,11.1,2238125.0
1462161600,2016-05-02,11.13,11.35,11.08,11.27,2080138.0
1462248000,2016-05-03,11.17,11.2,10.89,10.93,2914030.0
1462334400,2016-05-04,10.87,11.0,10.79,10.86,2280574.0
1462420800,2016-05-05,10.93,10.93,10.79,10.88,2524337.0
1462507200,2016-05-06,10.58,11.38,10.58,11.35,5455043.0
1462766400,2016-05-09,11.14,11.33,10.8,10.98,4357624.0
1462852800,2016-05-10,11.03,11.05,10.85,11.01,2290218.0
1462939200,2016-05-11,10.94,11.01,10.89,10.91,1970337.0
1463025600,2016-05-12,10.93,10.97,10.63,10.67,2575811.0
1463112000,2016-05-13,10.67,10.74,10.42,10.42,2030858.0
1463371200,2016-05-16,10.42,10.52,10.39,10.5,2820416.0
1463457600,2016-05-17,10.5,10.65,10.42,10.45,2766105.0
1463544000,2016-05-18,10.6,10.6,10.11,10.38,6950443.0
1463630400,2016-05-19,10.3,10.42,10.26,10.3,3756049.0
1463716800,2016-05-20,10.34,10.66,10.31,10.59,2940991.0
1463976000,2016-05-23,10.59,10.69,10.34,10.46,1624328.0
1464062400,2016-05-24,10.55,10.62,10.47,10.56,1943939.0
1464148800,2016-05-25,10.59,10.81,10.58,10.76,1567897.0
1464235200,2016-05-26,10.73,10.78,10.59,10.6,1404746.0
1464321600,2016-05-27,10.6,10.68,10.5,10.65,3093158.0
1464667200,2016-05-31,10.65,10.73,10.51,10.69,3357759.0
1464753600,2016-06-01,10.65,10.79,10.58,10.75,2531887.0
1464840000,2016-06-02,10.72,10.85,10.67,10.85,3045577.0
1464926400,2016-06-03,10.8,10.8,10.56,10.7,1867642.0
1465185600,2016-06-06,10.72,10.92,10.69,10.87,1530639.0
1465272000,2016-06-07,10.84,10.9,10.56,10.61,4946015.0
1465358400,2016-06-08,10.61,10.67,10.51,10.55,3478351.0
1465444800,2016-06-09,10.5,10.57,10.37,10.45,6553602.0
1465531200,2016-06-10,10.37,10.39,10.11,10.29,6894181.0
1465790400,2016-06-13,10.26,10.48,10.22,10.33,4065759.0
1465876800,2016-06-14,10.31,10.38,10.06,10.24,6846883.0
1465963200,2016-06-15,10.18,10.61,10.18,10.43,4581443.0
1466049600,2016-06-16,10.35,10.42,10.1,10.19,3228446.0
1466136000,2016-06-17,10.17,10.19,10.01,10.08,3747485.0
1466395200,2016-06-20,10.2,10.33,10.11,10.2,2577347.0
1466481600,2016-06-21,10.2,10.34,10.07,10.33,3139846.0
1466568000,2016-06-22,10.34,10.58,10.32,10.42,2315915.0
1466654400,2016-06-23,10.54,10.76,10.51,10.6,2606927.0
1466740800,2016-06-24,10.1,10.13,9.897,9.951,5810103.0
1467000000,2016-06-27,9.888,9.977,9.423,9.495,4054298.0
1467086400,2016-06-28,9.593,9.682,9.45,9.593,2960561.0
1467172800,2016-06-29,9.7,10.06,9.477,10.04,5958189.0
1467259200,2016-06-30,10.1,10.22,10.01,10.15,3815631.0
1467345600,2016-07-01,10.16,10.39,10.1,10.26,2676026.0
1467691200,2016-07-05,10.24,10.24,9.924,10.05,3384004.0
1467777600,2016-07-06,10.0,10.07,9.879,10.04,4086432.0
1467864000,2016-07-07,10.04,10.24,10.04,10.16,2421142.0
1467950400,2016-07-08,10.25,10.48,10.23,10.43,6198207.0
1468209600,2016-07-11,10.48,10.61,10.46,10.59,2226345.0
1468296000,2016-07-12,10.71,10.88,10.67,10.84,2556458.0
1468382400,2016-07-13,10.98,11.03,10.84,10.96,3311899.0
1468468800,2016-07-14,11.04,11.14,10.92,11.02,2953668.0
1468555200,2016-07-15,11.09,11.09,10.85,11.0,1946502.0
1468814400,2016-07-18,11.0,11.23,10.79,11.12,2236607.0
1468900800,2016-07-19,11.09,11.2,10.98,11.18,2295265.0
1468987200,2016-07-20,11.23,11.25,10.99,11.16,1681486.0
1469073600,2016-07-21,10.93,11.21,10.93,11.09,2749454.0
1469160000,2016-07-22,11.13,11.28,11.09,11.28,2339381.0
1469419200,2016-07-25,11.29,11.33,11.22,11.27,3551786.0
1469505600,2016-07-26,11.29,11.47,11.28,11.44,1892946.0
1469592000,2016-07-27,11.42,11.54,11.28,11.39,3152250.0
1469678400,2016-07-28,11.11,11.43,11.11,11.43,1697788.0
