unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,73.62,76.08,73.22,75.81,2691374.0
1451970000,2016-01-05,76.58,77.0,73.83,73.97,3338635.0
1452056400,2016-01-06,72.32,73.31,70.85,72.14,5633029.0
1452142800,2016-01-07,69.97,70.91,68.15,68.24,7192367.0
1452229200,2016-01-08,68.19,69.88,66.9,67.5,7408882.0
1452488400,2016-01-11,67.96,69.93,67.73,69.33,4350125.0
1452574800,2016-01-12,70.02,70.72,68.3,69.84,6377830.0
1452661200,2016-01-13,69.94,70.9,66.47,66.67,4019453.0
1452747600,2016-01-14,66.45,67.24,63.05,66.9,6464138.0
1452834000,2016-01-15,63.09,63.82,60.09,61.64,9851766.0
1453179600,2016-01-19,62.75,63.92,61.07,61.44,5068395.0
1453266000,2016-01-20,60.61,64.35,60.25,63.58,6819488.0
1453352400,2016-01-21,64.13,66.06,63.45,64.7,4771402.0
1453438800,2016-01-22,66.08,67.83,65.87,67.09,3816237.0
1453698000,2016-01-25,66.54,66.89,64.79,64.99,3113776.0
1453784400,2016-01-26,65.32,66.01,63.9,64.34,3448064.0
1453870800,2016-01-27,63.63,64.83,62.85,63.43,3028464.0
1453957200,2016-01-28,63.88,64.51,62.3,63.1,2628530.0
1454043600,2016-01-29,64.25,67.15,63.52,67.14,3812829.0
1454302800,2016-02-01,66.39,69.08,66.19,68.54,3116927.0
1454389200,2016-02-02,67.49,67.81,64.93,65.44,3750964.0
1454475600,2016-02-03,66.02,66.23,62.17,63.55,5773051.0
1454562000,2016-02-04,66.63,69.13,64.46,68.52,10465869.0
1454648400,2016-02-05,67.75,68.68,63.18,63.48,4850757.0
1454907600,2016-02-08,62.01,62.3,56.04,57.46,10486542.0
1454994000,2016-02-09,55.36,60.02,55.32,58.85,5443055.0
1455080400,2016-02-10,59.39,61.21,59.0,59.39,5826494.0
1455166800,2016-02-11,58.02,59.9,57.87,58.42,4604168.0
1455253200,2016-02-12,59.39,60.88,58.14,60.43,3206346.0
1455598800,2016-02-16,61.86,62.83,60.97,62.35,4169843.0
1455685200,2016-02-17,62.79,64.44,62.01,63.16,4570743.0
1455771600,2016-02-18,63.24,63.42,60.54,60.69,5891108.0
1455858000,2016-02-19,60.45,60.46,59.29,59.68,4260708.0
1456117200,2016-02-22,60.26,62.84,60.16,62.77,3482750.0
1456203600,2016-02-23,62.85,62.89,61.21,61.27,2522555.0
1456290000,2016-02-24,60.59,62.98,59.86,62.86,2948662.0
1456376400,2016-02-25,63.33,63.69,61.17,63.66,2831372.0
1456462800,2016-02-26,64.19,65.1,63.64,64.85,2915517.0
1456722000,2016-02-29,65.15,65.9,63.77,63.96,3087131.0
1456808400,2016-03-01,64.65,67.0,63.84,66.65,3761826.0
1456894800,2016-03-02,66.67,68.17,66.65,67.83,3139044.0
1456981200,2016-03-03,67.92,67.99,66.08,66.91,2757899.0
1457067600,2016-03-04,67.69,70.42,67.69,68.8,4371482.0
1457326800,2016-03-07,68.75,70.32,67.73,69.12,3843513.0
1457413200,2016-03-08,68.43,68.95,66.91,67.77,3083803.0
1457499600,2016-03-09,67.84,69.11,66.8,68.89,2891036.0
1457586000,2016-03-10,69.51,70.43,67.69,69.33,2760256.0
1457672400,2016-03-11,70.04,70.38,69.33,70.12,4093489.0
1457928000,2016-03-14,70.03,71.14,69.54,70.76,2530975.0
1458014400,2016-03-15,70.48,71.13,69.36,70.99,4159008.0
1458100800,2016-03-16,70.44,71.92,70.2,71.73,4460326.0
1458187200,2016-03-17,71.07,73.09,71.07,72.92,4116217.0
1458273600,2016-03-18,73.13,74.94,72.94,74.86,5072369.0
1458532800,2016-03-21,74.24,75.06,73.54,74.3,2186196.0
1458619200,2016-03-22,73.35,74.63,73.08,74.58,2252575.0
1458705600,2016-03-23,74.75,74.83,72.85,72.92,2131880.0
1458792000,2016-03-24,72.28,73.01,71.43,72.95,2886244.0
1459137600,2016-03-28,73.18,73.41,71.77,72.61,1446022.0
1459224000,2016-03-29,72.22,73.6,71.33,73.35,2855231.0
1459310400,2016-03-30,72.72,73.71,72.67,73.4,4956122.0
1459396800,2016-03-31,73.3,73.56,72.28,72.79,4268749.0
1459483200,2016-04-01,72.02,73.79,71.87,73.67,2635871.0
1459742400,2016-04-04,72.91,74.06,72.61,73.24,2077010.0
1459828800,2016-04-05,72.36,73.44,72.19,72.83,1976698.0
1459915200,2016-04-06,72.3,74.67,72.3,74.54,1939071.0
1460001600,2016-04-07,74.07,74.25,72.72,72.96,2210799.0
1460088000,2016-04-08,74.98,75.94,73.87,74.29,3585346.0
1460347200,2016-04-11,75.01,75.64,74.47,74.5,2687309.0
1460433600,2016-04-12,74.97,74.97,73.29,74.24,2620991.0
1460520000,2016-04-13,74.93,76.72,74.61,76.36,4248911.0
1460606400,2016-04-14,75.71,76.87,75.19,76.76,5707284.0
1460692800,2016-04-15,75.81,76.27,75.42,75.76,5481546.0
1460952000,2016-04-18,75.44,76.03,75.08,75.54,3172596.0
1461038400,2016-04-19,75.48,75.73,73.58,74.42,3103218.0
1461124800,2016-04-20,75.06,76.86,74.59,76.33,3095324.0
1461211200,2016-04-21,76.16,76.29,75.21,75.55,1671099.0
1461297600,2016-04-22,75.2,76.68,74.34,75.77,3483672.0
1461556800,2016-04-25,75.23,76.03,73.53,74.83,4638179.0
1461643200,2016-04-26,78.23,80.62,77.06,77.83,18371389.0
1461729600,2016-04-27,77.22,79.89,77.16,79.86,6689589.0
1461816000,2016-04-28,79.24,81.87,76.57,77.1,5617210.0
1461902400,2016-04-29,77.44,77.59,75.1,76.57,8285254.0
1462161600,2016-05-02,76.43,77.76,75.76,77.52,3768452.0
1462248000,2016-05-03,76.92,77.24,75.88,76.74,3615399.0
1462334400,2016-05-04,75.99,76.8,75.17,75.26,3453445.0
1462420800,2016-05-05,77.12,77.43,76.16,76.53,5150762.0
1462507200,2016-05-06,76.26,77.51,75.64,76.64,2853059.0
1462766400,2016-05-09,76.79,77.66,75.93,76.35,2340303.0
1462852800,2016-05-10,76.63,77.57,76.1,77.28,2086661.0
1462939200,2016-05-11,76.8,78.0,76.78,76.85,1643692.0
1463025600,2016-05-12,76.79,77.22,73.58,74.75,4359064.0
1463112000,2016-05-13,75.05,76.08,74.52,74.58,2890564.0
1463371200,2016-05-16,76.13,77.16,75.42,76.29,2843430.0
1463457600,2016-05-17,76.9,77.14,75.67,76.09,2338554.0
1463544000,2016-05-18,76.28,78.58,75.92,78.14,3851154.0
1463630400,2016-05-19,78.13,78.88,76.8,77.6,2114840.0
1463716800,2016-05-20,78.56,79.74,78.11,79.36,4322238.0
