unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,53.38,53.42,52.25,52.8,2335184.0
1451970000,2016-01-05,53.13,53.28,52.51,53.08,1909490.0
1452056400,2016-01-06,52.52,52.7,51.36,51.63,2703402.0
1452142800,2016-01-07,50.54,51.46,50.21,50.6,1979429.0
1452229200,2016-01-08,51.07,51.25,50.03,50.16,1648559.0
1452488400,2016-01-11,50.4,50.64,49.41,49.98,1793759.0
1452574800,2016-01-12,50.44,51.03,50.28,50.81,1860746.0
1452661200,2016-01-13,50.91,51.12,49.62,49.7,1214066.0
1452747600,2016-01-14,49.92,51.02,49.52,50.77,1470711.0
1452834000,2016-01-15,49.47,50.26,49.39,50.0,1695106.0
1453179600,2016-01-19,50.44,50.75,49.29,49.44,1898316.0
1453266000,2016-01-20,48.81,49.3,47.71,48.76,2268100.0
1453352400,2016-01-21,48.99,49.68,48.15,49.27,1261566.0
1453438800,2016-01-22,50.02,50.95,49.7,50.67,1668819.0
1453698000,2016-01-25,50.41,50.76,50.07,50.15,1415894.0
1453784400,2016-01-26,50.44,51.72,50.4,51.66,1902132.0
1453870800,2016-01-27,51.57,52.21,50.96,51.32,2346480.0
1453957200,2016-01-28,51.55,51.67,50.68,51.59,1992969.0
1454043600,2016-01-29,51.85,52.72,51.8,52.64,2313918.0
1454302800,2016-02-01,52.32,53.48,52.14,53.07,1807795.0
1454389200,2016-02-02,52.44,52.54,51.82,51.93,1579011.0
1454475600,2016-02-03,52.29,52.56,51.51,52.01,1815237.0
1454562000,2016-02-04,52.04,52.95,51.72,52.14,2021301.0
1454648400,2016-02-05,52.09,52.21,50.87,51.1,2725741.0
1454907600,2016-02-08,50.41,50.53,48.83,50.03,3803661.0
1454994000,2016-02-09,50.03,52.27,50.03,51.4,4853499.0
1455080400,2016-02-10,51.95,53.66,51.78,52.72,3963853.0
1455166800,2016-02-11,51.96,52.66,51.13,51.59,3139605.0
1455253200,2016-02-12,52.19,52.68,51.13,52.64,1860656.0
1455598800,2016-02-16,53.14,54.51,52.49,54.36,2287784.0
1455685200,2016-02-17,54.68,54.92,53.89,54.15,2152577.0
1455771600,2016-02-18,54.1,54.91,54.0,54.55,2122216.0
1455858000,2016-02-19,54.53,54.91,54.11,54.91,1721792.0
1456117200,2016-02-22,55.24,55.69,54.76,55.34,1445660.0
1456203600,2016-02-23,55.29,55.72,55.06,55.13,1409229.0
1456290000,2016-02-24,54.48,55.27,54.11,55.19,1963679.0
1456376400,2016-02-25,55.31,55.87,54.76,55.77,2078195.0
1456462800,2016-02-26,55.98,56.15,55.51,55.7,1304952.0
1456722000,2016-02-29,55.77,56.47,55.7,55.84,2374450.0
1456808400,2016-03-01,56.43,56.86,56.18,56.69,2285447.0
1456894800,2016-03-02,56.47,56.79,55.96,56.27,2360566.0
1456981200,2016-03-03,56.36,56.51,55.43,56.26,4122455.0
1457067600,2016-03-04,56.31,56.67,55.9,56.52,2285878.0
1457326800,2016-03-07,56.22,56.78,55.95,56.69,1508006.0
1457413200,2016-03-08,56.28,56.61,55.91,56.23,1607428.0
1457499600,2016-03-09,56.51,56.53,55.72,56.06,1460011.0
1457586000,2016-03-10,56.35,56.72,55.72,56.03,1618920.0
1457672400,2016-03-11,56.65,57.25,56.5,57.02,1697005.0
1457928000,2016-03-14,56.74,57.19,56.14,57.03,816822.0
1458014400,2016-03-15,56.56,57.19,56.48,56.97,1312519.0
1458100800,2016-03-16,56.77,57.66,56.51,57.55,960840.0
1458187200,2016-03-17,57.66,58.32,57.6,58.11,1688858.0
1458273600,2016-03-18,58.19,58.74,58.16,58.48,2600175.0
1458532800,2016-03-21,58.26,59.03,58.16,58.84,1465341.0
1458619200,2016-03-22,58.61,59.16,58.42,58.74,1275550.0
1458705600,2016-03-23,58.91,59.19,58.49,58.71,1808363.0
1458792000,2016-03-24,58.48,58.79,58.23,58.74,1449791.0
1459137600,2016-03-28,58.77,59.59,58.66,59.36,1766003.0
1459224000,2016-03-29,59.36,59.93,59.17,59.8,1236933.0
1459310400,2016-03-30,60.14,60.56,59.78,60.17,1819898.0
1459396800,2016-03-31,60.24,60.83,59.94,60.11,1825364.0
1459483200,2016-04-01,59.43,60.73,59.36,60.59,2204477.0
1459742400,2016-04-04,60.56,60.87,60.27,60.58,1806502.0
1459828800,2016-04-05,60.49,60.57,60.05,60.17,1507074.0
1459915200,2016-04-06,60.28,60.72,60.17,60.66,1187563.0
1460001600,2016-04-07,60.24,60.42,59.75,59.88,1507452.0
1460088000,2016-04-08,60.42,60.42,59.88,60.05,910855.0
1460347200,2016-04-11,60.32,60.84,60.12,60.18,1338188.0
1460433600,2016-04-12,60.19,61.01,60.05,60.91,1220767.0
1460520000,2016-04-13,61.08,61.23,60.4,60.97,2168528.0
1460606400,2016-04-14,60.51,60.61,60.14,60.48,2474534.0
1460692800,2016-04-15,60.4,60.94,60.25,60.88,1587497.0
1460952000,2016-04-18,60.56,61.78,60.46,61.57,2409065.0
1461038400,2016-04-19,60.97,62.07,60.72,61.2,3150117.0
1461124800,2016-04-20,60.93,60.93,59.88,60.24,2365717.0
1461211200,2016-04-21,60.38,60.92,60.26,60.68,2069282.0
1461297600,2016-04-22,60.56,61.39,60.3,60.5,1938074.0
1461556800,2016-04-25,60.3,60.47,59.7,60.32,1891190.0
1461643200,2016-04-26,60.53,60.86,60.19,60.59,1827667.0
1461729600,2016-04-27,60.53,60.94,60.07,60.76,1152786.0
1461816000,2016-04-28,60.4,60.64,59.96,60.07,1279343.0
1461902400,2016-04-29,60.06,60.08,59.55,59.92,1800643.0
1462161600,2016-05-02,60.27,60.52,59.92,60.38,1193561.0
1462248000,2016-05-03,60.09,60.37,59.99,60.27,1403232.0
1462334400,2016-05-04,59.91,60.39,59.81,60.2,1421614.0
1462420800,2016-05-05,60.16,60.35,59.82,60.13,1513043.0
1462507200,2016-05-06,60.05,60.81,60.04,60.64,1377513.0
1462766400,2016-05-09,60.44,61.0,60.38,60.43,1139653.0
1462852800,2016-05-10,60.43,61.11,60.3,61.08,1565333.0
1462939200,2016-05-11,60.67,60.86,60.33,60.75,2309153.0
1463025600,2016-05-12,60.92,60.98,60.46,60.85,1930158.0
1463112000,2016-05-13,60.69,60.94,60.19,60.47,1373430.0
1463371200,2016-05-16,60.25,61.12,60.25,60.85,1142988.0
1463457600,2016-05-17,60.7,61.02,60.01,60.16,1399712.0
1463544000,2016-05-18,60.13,60.41,59.75,60.11,1941769.0
1463630400,2016-05-19,59.87,59.94,59.16,59.52,1947821.0
1463716800,2016-05-20,59.8,60.17,59.75,59.79,1854482.0
1463976000,2016-05-23,59.89,60.0,59.31,59.36,1658449.0
1464062400,2016-05-24,59.57,59.97,59.4,59.86,1730807.0
1464148800,2016-05-25,59.95,60.09,58.9,59.26,2227822.0
1464235200,2016-05-26,59.46,59.63,59.08,59.36,2304454.0
1464321600,2016-05-27,59.52,59.76,59.43,59.68,729892.0
1464667200,2016-05-31,59.78,60.24,59.51,60.18,2248224.0
1464753600,2016-06-01,60.04,60.06,59.65,59.91,1569612.0
1464840000,2016-06-02,59.92,60.02,59.6,59.97,2048023.0
1464926400,2016-06-03,59.73,59.78,58.61,59.18,2118900.0
1465185600,2016-06-06,59.2,59.68,58.86,59.54,1485811.0
1465272000,2016-06-07,59.72,60.23,59.5,60.14,1613541.0
1465358400,2016-06-08,60.27,61.93,60.24,61.65,2656894.0
1465444800,2016-06-09,61.26,61.53,61.05,61.35,1744540.0
1465531200,2016-06-10,61.02,61.09,60.5,60.57,1636314.0
1465790400,2016-06-13,60.25,60.48,57.75,59.72,1514297.0
1465876800,2016-06-14,59.62,59.7,58.92,59.5,2159685.0
1465963200,2016-06-15,59.53,59.79,59.26,59.33,1841207.0
1466049600,2016-06-16,59.16,59.54,58.44,59.4,1438364.0
1466136000,2016-06-17,59.29,59.31,58.68,59.13,1672425.0
1466395200,2016-06-20,59.85,60.45,59.76,60.3,1316517.0
1466481600,2016-06-21,60.54,60.81,60.02,60.54,1444928.0
1466568000,2016-06-22,60.81,61.13,60.32,60.94,1661533.0
1466654400,2016-06-23,61.66,61.76,61.29,61.76,1403994.0
1466740800,2016-06-24,59.67,59.75,58.55,58.65,3539020.0
1467000000,2016-06-27,58.04,58.07,56.2,56.39,2744376.0
1467086400,2016-06-28,56.9,57.35,56.6,57.3,1716226.0
1467172800,2016-06-29,55.91,58.28,54.96,58.23,2432318.0
1467259200,2016-06-30,58.44,59.24,57.96,59.24,1825265.0
1467345600,2016-07-01,59.15,59.58,59.13,59.38,1673004.0
1467691200,2016-07-05,59.03,59.03,58.45,58.69,1807066.0
1467777600,2016-07-06,59.78,60.48,58.11,59.18,2097775.0
1467864000,2016-07-07,59.24,59.98,59.0,59.83,1980856.0
1467950400,2016-07-08,60.25,60.52,59.96,60.42,1440111.0
1468209600,2016-07-11,60.42,61.23,59.93,61.03,2002686.0
1468296000,2016-07-12,61.26,62.0,61.11,61.45,2626725.0
1468382400,2016-07-13,61.25,62.09,61.25,61.76,2612737.0
