unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,9.65,9.8399,9.5,9.7,4163776.0
1451970000,2016-01-05,9.82,9.82,9.63,9.68,5964718.0
1452056400,2016-01-06,9.56,9.625,9.01,9.19,7512145.0
1452142800,2016-01-07,9.11,9.11,8.55,8.64,9694082.0
1452229200,2016-01-08,8.6,8.86,8.51,8.53,5233038.0
1452488400,2016-01-11,8.62,8.715,8.38,8.57,5549516.0
1452574800,2016-01-12,8.69,8.7,8.375,8.55,4018696.0
1452661200,2016-01-13,8.55,8.65,8.165,8.3,6251222.0
1452747600,2016-01-14,8.3,8.65,8.12,8.5,6620689.0
1452834000,2016-01-15,8.2,8.2899,8.01,8.22,6866689.0
1453179600,2016-01-19,8.34,8.47,7.96,8.07,4637853.0
1453266000,2016-01-20,7.98,8.36,7.83,8.27,6167055.0
1453352400,2016-01-21,8.33,8.595,8.25,8.39,8514964.0
1453438800,2016-01-22,8.5,8.63,8.275,8.34,5501091.0
1453698000,2016-01-25,8.32,8.49,8.22,8.25,4620692.0
1453784400,2016-01-26,8.31,8.43,8.26,8.4,4028548.0
1453870800,2016-01-27,7.86,8.44,7.86,8.25,2753150.0
1453957200,2016-01-28,8.36,8.44,8.075,8.11,3583589.0
1454043600,2016-01-29,8.32,8.575,8.26,8.56,7154006.0
1454302800,2016-02-01,8.5,8.71,8.4,8.67,3340689.0
1454389200,2016-02-02,8.5,8.59,8.14,8.175,3877183.0
1454475600,2016-02-03,8.23,8.3,7.99,8.27,3210451.0
1454562000,2016-02-04,8.11,8.51,8.11,8.49,3589115.0
1454648400,2016-02-05,8.41,8.5,8.0,8.05,7877675.0
1454907600,2016-02-08,7.6,7.9,7.26,7.4,9188095.0
1454994000,2016-02-09,7.31,7.32,6.98,7.08,11763914.0
1455080400,2016-02-10,7.11,7.31,7.09,7.15,7560587.0
1455166800,2016-02-11,7.07,7.17,6.97,7.05,6165184.0
1455253200,2016-02-12,7.15,7.19,6.99,7.07,5811956.0
1455598800,2016-02-16,7.37,7.645,7.25,7.51,8588588.0
1455685200,2016-02-17,7.75,7.97,7.55,7.9,6235048.0
1455771600,2016-02-18,7.94,7.97,7.59,7.61,9910993.0
1455858000,2016-02-19,7.57,7.81,7.5,7.68,6390111.0
1456117200,2016-02-22,7.78,7.98,7.78,7.97,4504363.0
1456203600,2016-02-23,8.0,8.16,7.9301,8.02,5924655.0
1456290000,2016-02-24,7.72,8.3,7.72,8.3,5848440.0
1456376400,2016-02-25,8.29,8.32,8.11,8.29,3506944.0
1456462800,2016-02-26,8.32,8.49,8.21,8.39,2463981.0
1456722000,2016-02-29,8.46,8.57,8.36,8.39,2888040.0
1456808400,2016-03-01,8.35,8.705,8.345,8.65,4390831.0
1456894800,2016-03-02,8.61,8.83,8.6,8.82,4066236.0
1456981200,2016-03-03,8.78,8.96,8.75,8.94,4980729.0
1457067600,2016-03-04,8.96,9.125,8.77,8.87,4473440.0
1457326800,2016-03-07,8.85,9.06,8.76,9.01,3723094.0
1457413200,2016-03-08,8.89,8.99,8.66,8.7,5041302.0
1457499600,2016-03-09,8.61,8.87,8.61,8.86,3992638.0
1457586000,2016-03-10,8.96,9.1,8.73,8.88,4680663.0
1457672400,2016-03-11,8.95,9.26,8.92,9.26,3413569.0
1457928000,2016-03-14,8.83,9.25,8.83,9.1,3601544.0
1458014400,2016-03-15,9.08,9.09,8.94,9.08,2145473.0
1458100800,2016-03-16,9.13,9.22,8.995,9.19,2576007.0
1458187200,2016-03-17,9.15,9.3,9.11,9.26,1752846.0
1458273600,2016-03-18,9.27,9.53,9.27,9.48,6507957.0
1458532800,2016-03-21,9.52,9.52,9.31,9.44,1808431.0
1458619200,2016-03-22,9.35,9.56,9.31,9.53,3039060.0
1458705600,2016-03-23,9.48,9.53,9.305,9.38,3938750.0
1458792000,2016-03-24,9.32,9.4,9.2,9.39,1698416.0
1459137600,2016-03-28,9.41,9.51,9.28,9.41,2236529.0
1459224000,2016-03-29,9.35,9.88,9.26,9.88,6170411.0
1459310400,2016-03-30,9.91,9.92,9.68,9.71,3904891.0
1459396800,2016-03-31,9.68,9.79,9.565,9.59,4548727.0
1459483200,2016-04-01,9.5,9.73,9.42,9.7,4196211.0
1459742400,2016-04-04,9.67,9.715,9.56,9.58,2440964.0
1459828800,2016-04-05,9.49,9.67,9.48,9.59,3373866.0
1459915200,2016-04-06,9.56,9.76,9.4138,9.75,3040237.0
1460001600,2016-04-07,9.68,9.73,9.43,9.52,2725793.0
1460088000,2016-04-08,9.6,9.74,9.46,9.51,1978886.0
1460347200,2016-04-11,9.57,9.64,9.435,9.46,2294537.0
1460433600,2016-04-12,9.47,9.5,9.26,9.43,2028464.0
1460520000,2016-04-13,9.42,9.72,9.41,9.72,2133545.0
1460606400,2016-04-14,9.68,9.79,9.51,9.75,2623066.0
1460692800,2016-04-15,9.71,9.77,9.53,9.66,2406250.0
1460952000,2016-04-18,9.63,9.68,9.53,9.65,2702256.0
1461038400,2016-04-19,9.74,9.79,9.53,9.58,2836070.0
1461124800,2016-04-20,9.56,9.92,9.51,9.86,3187261.0
1461211200,2016-04-21,9.88,9.96,9.8,9.81,4003882.0
1461297600,2016-04-22,9.76,9.92,9.7,9.83,2966183.0
1461556800,2016-04-25,9.8,9.91,9.59,9.59,2536715.0
1461643200,2016-04-26,9.66,10.02,9.66,9.99,11026129.0
1461729600,2016-04-27,9.91,10.04,9.68,10.0,4354653.0
1461816000,2016-04-28,9.9,10.07,9.72,9.75,3641447.0
1461902400,2016-04-29,9.77,9.795,9.38,9.47,3721620.0
1462161600,2016-05-02,9.49,9.7,9.38,9.68,6016612.0
1462248000,2016-05-03,9.61,9.64,9.415,9.49,3042420.0
1462334400,2016-05-04,9.42,9.54,9.195,9.27,3068889.0
1462420800,2016-05-05,9.35,9.5,9.24,9.29,3063889.0
1462507200,2016-05-06,9.24,9.42,9.21,9.41,3700784.0
1462766400,2016-05-09,9.81,9.9,9.0,9.11,7414420.0
1462852800,2016-05-10,9.17,9.39,9.07,9.38,4115281.0
1462939200,2016-05-11,9.31,9.565,9.3,9.39,3619182.0
1463025600,2016-05-12,9.42,9.48,8.85,8.97,5026093.0
1463112000,2016-05-13,8.95,9.12,8.92,8.95,3590711.0
1463371200,2016-05-16,9.03,9.11,8.89,9.0,4004282.0
1463457600,2016-05-17,8.99,9.135,8.905,8.95,2997401.0
1463544000,2016-05-18,8.9,9.305,8.9,9.21,4722268.0
1463630400,2016-05-19,9.14,9.25,8.89,9.03,2664225.0
1463716800,2016-05-20,9.11,9.25,9.05,9.19,3530642.0
1463976000,2016-05-23,9.22,9.335,9.17,9.18,2641795.0
1464062400,2016-05-24,9.24,9.46,9.24,9.38,5262846.0
1464148800,2016-05-25,9.46,9.55,9.42,9.51,2748992.0
1464235200,2016-05-26,9.52,9.67,9.4,9.51,2439967.0
1464321600,2016-05-27,9.51,9.68,9.51,9.66,2559682.0
1464667200,2016-05-31,9.71,9.8,9.69,9.77,3738338.0
1464753600,2016-06-01,9.79,9.98,9.69,9.95,4440496.0
1464840000,2016-06-02,9.83,9.92,9.77,9.86,3392389.0
1464926400,2016-06-03,9.9,9.9,9.67,9.71,2389962.0
1465185600,2016-06-06,9.71,9.85,9.69,9.81,4046836.0
1465272000,2016-06-07,9.84,10.15,9.8,10.07,6022809.0
1465358400,2016-06-08,10.07,10.13,9.965,10.02,1982792.0
1465444800,2016-06-09,9.93,10.03,9.88,10.02,4458562.0
1465531200,2016-06-10,9.85,9.94,9.74,9.8,4032087.0
1465790400,2016-06-13,9.91,10.13,9.8,9.98,7635694.0
1465876800,2016-06-14,9.8,9.89,9.69,9.77,11572200.0
1465963200,2016-06-15,9.8,9.83,9.655,9.7,8725018.0
1466049600,2016-06-16,9.63,9.63,9.25,9.49,12268250.0
1466136000,2016-06-17,9.47,9.49,9.27,9.45,6602076.0
1466395200,2016-06-20,9.61,9.89,9.53,9.78,5735799.0
1466481600,2016-06-21,9.81,9.89,9.71,9.78,3322336.0
1466568000,2016-06-22,9.81,9.96,9.69,9.69,2682535.0
1466654400,2016-06-23,9.82,9.905,9.77,9.87,2446906.0
1466740800,2016-06-24,9.39,9.575,8.99,9.09,17161978.0
1467000000,2016-06-27,8.95,8.95,8.21,8.24,11104413.0
1467086400,2016-06-28,8.51,8.68,8.46,8.67,6036417.0
1467172800,2016-06-29,8.8,8.83,8.56,8.69,3825136.0
1467259200,2016-06-30,8.73,8.82,8.66,8.82,3265994.0
1467345600,2016-07-01,8.74,8.88,8.62,8.78,2463407.0
1467691200,2016-07-05,8.81,8.82,8.37,8.46,3391869.0
1467777600,2016-07-06,8.37,8.48,8.11,8.47,4729475.0
1467864000,2016-07-07,8.51,8.96,8.51,8.72,5689100.0
1467950400,2016-07-08,8.79,9.01,8.72,8.91,6819327.0
1468209600,2016-07-11,9.0,9.2,9.0,9.17,4051175.0
1468296000,2016-07-12,9.26,9.425,9.21,9.31,2937599.0
1468382400,2016-07-13,9.38,9.43,9.21,9.3,2482474.0
1468468800,2016-07-14,9.5,9.51,9.35,9.44,2263759.0
1468555200,2016-07-15,9.46,9.46,9.33,9.39,1862176.0
1468814400,2016-07-18,9.55,9.558,9.38,9.51,1719791.0
1468900800,2016-07-19,9.45,9.56,9.36,9.47,3217144.0
1468987200,2016-07-20,9.53,9.75,9.421,9.66,2491050.0
1469073600,2016-07-21,9.62,9.685,9.53,9.53,3738394.0
1469160000,2016-07-22,9.5,9.5775,9.375,9.56,2051808.0
1469419200,2016-07-25,9.58,9.69,9.53,9.6,1943017.0
1469505600,2016-07-26,9.75,10.205,9.66,10.17,8593462.0
1469592000,2016-07-27,10.16,10.34,10.125,10.2,6657117.0
1469678400,2016-07-28,10.16,10.24,9.955,10.07,3990458.0
