start,start_unix,end,end_unix,reward
2022-05-06,1651809600,2022-07-28,1658980800,-0.9631279000000001
2022-05-17,1652760000,2022-07-29,1659067200,-0.43732790000000016
2022-05-20,1653019200,2022-08-11,1660190400,-1.1187341000000002
2022-05-24,1653364800,2022-08-19,1660881600,-1.8758521
2022-05-26,1653537600,2022-08-24,1661313600,-1.4514659
2022-06-01,1654056000,2022-08-25,1661400000,-2.2455541
2022-06-09,1654747200,2022-08-30,1661832000,-1.8622459
2022-06-13,1655092800,2022-09-09,1662696000,-1.4363478999999997
2022-07-29,1659067200,2022-09-12,1662955200,-0.006534100000000043
2022-08-01,1659326400,2022-09-20,1663646400,0.6255541
2022-08-12,1660276800,2022-09-23,1663905600,-0.8943479000000001
2022-08-22,1661140800,2022-10-03,1664769600,-2.5831279000000005
2022-08-25,1661400000,2022-10-04,1664856000,-1.2807341
2022-08-26,1661486400,2022-10-10,1665374400,-3.0124459
2022-08-31,1661918400,2022-10-11,1665460800,-2.7143479000000004
2022-09-12,1662955200,2022-10-28,1666929600,-1.4265341
2022-09-13,1663041600,2022-10-31,1667188800,-3.1744459
2022-09-21,1663732800,2022-11-01,1667275200,-1.9377540999999998
2022-09-26,1664164800,2022-11-02,1667361600,-1.5202459000000004
2022-10-04,1664856000,2022-11-10,1668056400,-1.0563479
2022-10-05,1664942400,2022-11-14,1668402000,-1.8065341
2022-10-11,1665460800,2022-11-15,1668488400,-0.4178520999999998
2022-10-12,1665547200,2022-11-21,1669006800,0.16853409999999996
2022-10-31,1667188800,2022-12-05,1670216400,-0.4455541000000001
2022-11-01,1667275200,2022-12-08,1670475600,0.13775409999999993
2022-11-02,1667361600,2022-12-14,1670994000,-0.4797540999999996
2022-11-03,1667448000,2022-12-27,1672117200,0.0997540999999999
2022-11-11,1668142800,2022-12-28,1672203600,0.7436520999999998
2022-11-15,1668488400,2023-01-03,1672722000,0.1934658999999999
2022-11-16,1668574800,2023-01-09,1673240400,-0.4178520999999998
2022-11-22,1669093200,2023-01-18,1674018000,1.1251279
2022-12-06,1670302800,2023-01-19,1674104400,-0.3392659000000002
2022-12-09,1670562000,2023-01-24,1674536400,1.2124459
2022-12-15,1671080400,2023-01-26,1674709200,0.7143479000000004
2022-12-28,1672203600,2023-01-27,1674795600,2.3831279000000003
2022-12-29,1672290000,2023-01-30,1675054800,3.2807340999999997
2023-01-04,1672808400,2023-02-01,1675227600,3.0124459
2023-01-10,1673326800,2023-02-03,1675400400,2.7143479000000004
2023-01-19,1674104400,2023-02-07,1675746000,1.4265341
2023-01-20,1674190800,2023-02-14,1676350800,2.2178520999999995
2023-01-25,1674622800,2023-02-23,1677128400,1.8314659
2023-01-27,1674795600,2023-03-09,1678338000,0.4455541000000001
2023-01-30,1675054800,2023-03-20,1679284800,-1.0943479
2023-01-31,1675141200,2023-03-23,1679544000,0.37346589999999963
2023-02-02,1675314000,2023-03-24,1679630400,-1.1744459000000003
2023-02-06,1675659600,2023-03-30,1680148800,-1.9377540999999998
2023-02-08,1675832400,2023-03-31,1680235200,-0.5636521000000001
2023-02-15,1676437200,2023-04-06,1680753600,0.006534100000000043
2023-02-24,1677214800,2023-04-13,1681358400,-0.6255541
2023-03-10,1678424400,2023-04-14,1681444800,-0.06224590000000002
2023-03-21,1679371200,2023-04-17,1681704000,1.5202459000000004
2023-03-24,1679630400,2023-04-18,1681790400,0.0997540999999999
2023-03-27,1679889600,2023-04-24,1682308800,1.7002459
2023-03-31,1680235200,2023-04-26,1682481600,0.29975409999999986
2023-04-03,1680494400,2023-05-03,1683086400,-0.29975409999999986
2023-04-10,1681099200,2023-05-04,1683172800,0.29975409999999986
2023-04-14,1681444800,2023-05-05,1683259200,-1.2563479
2023-04-17,1681704000,2023-05-11,1683777600,-0.7631279000000002
2023-04-18,1681790400,2023-05-12,1683864000,-2.4373279
2023-04-19,1681876800,2023-05-15,1684123200,-1.1187341000000002
2023-04-25,1682395200,2023-05-16,1684209600,-2.8324459
2023-04-27,1682568000,2023-05-18,1684382400,-1.5577541
2023-05-04,1683172800,2023-05-26,1685073600,-3.3202459
2023-05-05,1683259200,2023-05-30,1685419200,-2.0997540999999997
2023-05-08,1683518400,2023-05-31,1685505600,-1.7002459
2023-05-12,1683864000,2023-06-02,1685678400,-0.29975409999999986
2023-05-15,1684123200,2023-06-05,1685937600,0.29975409999999986
2023-05-16,1684209600,2023-07-10,1688961600,-0.29975409999999986
2023-05-17,1684296000,2023-07-11,1689048000,1.2563479
2023-05-19,1684468800,2023-07-12,1689134400,-0.1934658999999999
2023-05-30,1685419200,2023-07-13,1689220800,1.3744459
2023-05-31,1685505600,2023-07-14,1689307200,-0.06224590000000002
2023-06-01,1685592000,2023-07-18,1689652800,0.5636521000000001
2023-06-05,1685937600,2023-07-20,1689825600,-0.006534100000000043
2023-06-06,1686024000,2023-07-28,1690516800,0.6255541
2023-07-11,1689048000,2023-08-01,1690862400,0.06224590000000002
2023-07-12,1689134400,2023-08-03,1691035200,-1.5202459000000004
2023-07-13,1689220800,2023-08-09,1691553600,-0.0997540999999999
2023-07-14,1689307200,2023-08-31,1693454400,-1.7002459
2023-07-17,1689566400,2023-09-06,1693972800,-1.2563479
2023-07-19,1689739200,2023-09-07,1694059200,-0.7631279000000002
2023-07-21,1689912000,2023-09-19,1695096000,-1.4807340999999998
2023-07-31,1690776000,2023-09-20,1695182400,-1.0124459000000003
2023-08-02,1690948800,2023-09-21,1695268800,-1.7577541
2023-08-04,1691121600,2023-10-02,1696219200,-1.3202459000000002
2023-08-10,1691640000,2023-10-09,1696824000,-3.0563479
2023-09-01,1693540800,2023-10-10,1696910400,-1.8065341
2023-09-07,1694059200,2023-10-13,1697169600,-1.3744459
2023-09-08,1694145600,2023-10-17,1697515200,0.06224590000000002
2023-09-20,1695182400,2023-10-20,1697774400,-1.5202459000000004
2023-09-21,1695268800,2023-11-01,1698811200,-1.0563479
2023-09-22,1695355200,2023-11-03,1698984000,-1.8065341
2023-10-03,1696305600,2023-11-07,1699333200,-0.4178520999999998
2023-10-10,1696910400,2023-11-13,1699851600,0.16853409999999996
2023-10-11,1696996800,2023-11-17,1700197200,-0.4455541000000001
2023-10-16,1697428800,2023-11-30,1701320400,1.0943479
2023-10-18,1697601600,2023-12-01,1701406800,0.5831279000000005
2023-10-23,1698033600,2023-12-04,1701666000,2.2373279000000004
2023-11-02,1698897600,2023-12-07,1701925200,3.1187340999999997
2023-11-06,1699246800,2023-12-11,1702270800,2.8324459
2023-11-08,1699419600,2023-12-12,1702357200,1.5577541
2023-11-14,1699938000,2023-12-15,1702616400,3.3202459
2023-11-20,1700456400,2023-12-18,1702875600,2.0997540999999997
2023-12-01,1701406800,2023-12-19,1702962000,1.7002459
2023-12-04,1701666000,2024-01-09,1704776400,0.29975409999999986
2023-12-05,1701752400,2024-01-30,1706590800,-1.2563479
2023-12-08,1702011600,2024-02-02,1706850000,0.1934658999999999
2023-12-12,1702357200,2024-02-06,1707195600,-1.3744459
2023-12-13,1702443600,2024-02-07,1707282000,-0.8943479000000001
