start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,19.75,20.465198672601876,2016-03-15,1458014400,
2016-03-15,1458014400,19.034801327398124,19.75,2016-03-18,1458273600,-1.0
2016-03-21,1458532800,19.75,20.48636972324506,2016-04-01,1459483200,1.0
2016-04-04,1459742400,20.48636972324506,21.18853412778883,2016-04-05,1459828800,1.0
2016-04-06,1459915200,21.18853412778883,22.028522823543412,2016-04-19,1461038400,1.0
2016-04-20,1461124800,22.028522823543412,22.773484025429827,2016-04-26,1461643200,1.0
2016-04-27,1461729600,21.375317299929716,22.028522823543412,2016-05-02,1462161600,-1.0
2016-05-03,1462248000,22.028522823543412,22.722582094678636,2016-05-23,1463976000,1.0
2016-05-24,1464062400,22.722582094678636,23.304708906634033,2016-05-27,1464321600,1.0
2016-05-31,1464667200,23.304708906634033,23.84959009874821,2016-06-16,1466049600,1.0
2016-06-17,1466136000,22.736621680243115,23.304708906634033,2016-06-20,1466395200,-1.0
2016-06-21,1466481600,23.304708906634033,23.86846779061396,2016-06-21,1466481600,1.0
2016-06-22,1466568000,22.734932800081246,23.304708906634033,2016-06-28,1467086400,-1.0
2016-06-29,1467172800,23.304708906634033,23.936156584555256,2016-06-30,1467259200,1.0
2016-07-01,1467345600,23.936156584555256,24.55317014357917,2016-07-13,1468382400,1.0
2016-07-14,1468468800,24.55317014357917,25.12052764275509,2016-08-01,1470024000,1.0
2016-08-02,1470110400,24.00895684149622,24.55317014357917,2016-08-02,1470110400,-1.0
2016-08-03,1470196800,23.413615918133484,24.00895684149622,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,24.00895684149622,24.586755902967155,2016-08-05,1470369600,1.0
2016-08-08,1470628800,23.409429141558928,24.00895684149622,2016-09-08,1473307200,-1.0
2016-09-09,1473393600,22.939455370157553,23.409429141558928,2016-09-09,1473393600,-1.0
2016-09-12,1473652800,23.409429141558928,23.915261929288775,2016-09-12,1473652800,1.0
2016-09-13,1473739200,22.86901298152407,23.409429141558928,2016-09-16,1473998400,-1.0
2016-09-19,1474257600,22.306178747174954,22.86901298152407,2016-09-19,1474257600,-1.0
2016-09-20,1474344000,22.86901298152407,23.421216199133962,2016-09-23,1474603200,1.0
2016-09-26,1474862400,22.286444257602888,22.86901298152407,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,22.86901298152407,23.44468393945088,2016-09-28,1475035200,1.0
2016-09-29,1475121600,22.28071506371983,22.86901298152407,2016-09-29,1475121600,-1.0
2016-09-30,1475208000,22.86901298152407,23.477003905199435,2016-09-30,1475208000,1.0
2016-10-03,1475467200,22.260735695254088,22.86901298152407,2016-10-03,1475467200,-1.0
2016-10-04,1475553600,22.86901298152407,23.468556175917623,2016-10-05,1475640000,1.0
2016-10-06,1475726400,22.28961094146024,22.86901298152407,2016-10-12,1476244800,-1.0
2016-10-13,1476331200,21.709137173719455,22.28961094146024,2016-10-27,1477540800,-1.0
2016-10-28,1477627200,21.184764845887564,21.709137173719455,2016-10-31,1477886400,-1.0
2016-11-01,1477972800,20.613147889746802,21.184764845887564,2016-11-02,1478059200,-1.0
