start,start_unix,end,end_unix,direction,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-04-11,1460347200,0.25,42.59,47.24314096454135,42.46,43.06,42.12,42.93,998263.0,44.31,44.71,44.08,44.17,664018.0,6.653915988186142,-3.3145453746475653,3.646139913968767,-0.5286393479737512,0,3.1765408288425263,2.5777984208081732,9.804511924259472,-11.099510872523162,1.6269551757366827,2.4141340915088874,-8.42930244243934,0.396727317778284,0,-0.05086388529402081,22.0,56.0,-34.0,1.6696853067692956,0.3853435658562461,-2.4650966595599897,-0.3716087513711176,0.0031695721077653616,0.012225492415666617,-0.0020375820692778435,0.003635537377868703
2016-03-17,1458187200,2016-04-12,1460433600,-0.25,42.90871165453455,47.24314096454135,44.42,46.02,44.14,45.97,1952544.0,44.36,45.54,44.36,45.37,1028938.0,3.771368519168888,-5.334075153508735,1.1340092572184517,-2.981044743222398,0,7.845899393958476,4.998842860448962,10.654604448521358,-6.345192011693506,-1.1291968673417756,2.398091779787333,-8.92865934494434,0.6287315695085263,0,-0.015765604315103633,18.0,56.0,-38.0,-0.7813533171699163,-2.0535996297390398,-4.846980449716455,-0.265591886774022,-0.02226140621556094,0.003746969363015218,-0.02226140621556094,0.027167760923703765
2016-04-05,1459828800,2016-04-21,1461211200,0.75,42.90871165453455,48.84862650073286,45.09,45.09,43.82,43.88,1727672.0,48.46,48.83,48.13,48.5,966818.0,0.9881419949559103,-11.87061622176003,-3.7910652920962207,-7.341580756013755,0,17.239797963822156,7.229714791067883,27.951554666379547,-1.7596340658886476,-5.7775031299670445,2.0764084638382747,-3.2706464476226778,0.6686076767152583,0,-0.06892905270442033,50.0,40.0,10.0,-5.441237113402053,-4.930633097674928,-8.714263506128816,0.25045448380053725,-0.0008247422680411898,0.006804123711340093,-0.007628865979381394,0.0008254230293025522
2016-04-12,1460433600,2016-04-22,1461297600,0.75,44.854377065890695,50.64113790474005,44.36,45.54,44.36,45.37,1028938.0,48.58,49.35,48.58,49.22,1197084.0,0.5393814568749065,-13.32686621916666,-4.767032371664641,-8.257483407828786,0,19.309975147792684,9.426411738550472,30.723661859458613,6.057634065341574,-6.6470512371521835,2.023241911606827,-1.9552365674707595,0.8457153288817588,0,0.0045107107905284,50.0,43.99999999999999,6.000000000000007,-6.39374238114587,-5.7192956787866365,-9.65550717559222,0.28251945468156126,-0.013002844372206446,0.002641202763104422,-0.013002844372206446,0.014845360824742304
2016-04-13,1460520000,2016-04-25,1461556800,0.25,46.81280269877182,50.64113790474005,45.87,47.06,45.73,47.0,1262362.0,48.93,49.2,48.06,48.23,1924100.0,3.1158767932460023,-11.386662611201658,-2.393047204367946,-6.040154813739704,0,13.50196699716178,7.225433526011561,30.513566949657324,4.900942117963865,-3.8098102940389538,2.0890844014702528,-1.416739372724816,-1.3595950674928259,-1,0.016635475546116534,46.0,44.0,2.0,-4.1353929089778205,-3.423645560348419,-7.495114949994445,0.2154916154024069,0.014513788098693858,0.02011196350819011,-0.0035247771096826863,-0.02011377488825683
2016-04-22,1461297600,2016-04-26,1461643200,-0.25,47.03500876844048,50.874700109290075,48.58,49.35,48.58,49.22,1197084.0,49.3,50.12,47.46,50.1,2534988.0,0.4487920114017925,-14.983722151122379,-5.500998003992024,-9.279441117764478,0,18.71458810006689,9.79618671926364,32.73007734936244,16.454099549323132,-6.107595811184808,2.2466994993981086,-0.3463190065872581,1.756260558137675,1,0.16573903665241502,50.0,52.0,-2.0,-7.267465069860293,-6.359021083676922,-10.518562994745167,0.27189540209241203,-0.015968063872255578,0.0003992015968063978,-0.052694610778443174,0.03877254820651066
2016-04-25,1461556800,2016-04-27,1461729600,0.75,47.03500876844048,53.17391131723606,48.93,49.2,48.06,48.23,1924100.0,51.48,53.35,50.61,51.51,3874766.0,-0.6618667119880257,-17.917050003212893,-7.31314307901377,-11.417200543583775,0,21.89987694667886,11.517644511799093,36.06850060888663,28.912656348186033,-6.256904337042343,2.4797894777130494,1.9776643925693413,2.6560963141274523,0,0.15573828533232417,50.0,56.0,-6.0,-9.289458357600452,-8.072544554041343,-12.459419756986023,0.3727311309945154,-0.0005824111822947398,0.03572121918074167,-0.01747233546884097,0.028143712574850266
2016-04-26,1461643200,2016-05-11,1462939200,0.25,48.581575416197374,53.17391131723606,49.3,50.12,47.46,50.1,2534988.0,50.24,51.04,49.79,50.61,1198493.0,2.104728212499623,-7.619448623485596,-0.6774023579002915,-5.071790818678792,0,12.251934946633895,7.6808510638297856,23.70002919648543,10.884000392702454,-1.2145743870745633,2.3431125680519864,5.159515419766279,0.8101525270937611,0,-0.01061886625686607,10.0,56.0,-46.0,-2.7573602054929864,-3.282806459926533,-7.788820689460579,-0.110615231434954,-0.007310808140683633,0.008496344595929628,-0.016202331555028704,0.009978048293753705
2016-04-27,1461729600,2016-05-12,1463025600,-0.25,48.581575416197374,53.17391131723606,51.48,53.35,50.61,51.51,3874766.0,50.96,51.42,50.31,50.89,1558991.0,1.7616719463747472,-7.631194445883523,-0.827602017423203,-5.268553088360505,0,13.042476189923278,7.703703703703704,24.164204349817055,11.520076694879094,-1.5637478818327821,2.3195745050928385,5.87908471077937,1.0573062911118358,0,-0.03905111321805928,6.000000000000007,52.00000000000001,-46.0,-2.934761249754388,-3.4516219519231726,-7.970832337177242,-0.07590925684215089,0.0013755158184318717,0.010414619768127409,-0.011397131067007238,0.0055325034578146415
2016-04-28,1461816000,2016-05-17,1463457600,0.25,48.581575416197374,52.999476747445215,50.98,51.33,50.28,50.43,1328492.0,50.12,50.77,49.83,49.99,993419.0,2.9943270837292033,-3.8504983179760757,1.9783956791358293,-2.878575715143029,1,7.922831965993666,4.015813566375363,19.85284625936677,0.9853084797101062,0.09207851474839401,2.4027822547125415,4.749089206451174,-0.6857616879438098,0,-0.10595843274773692,-6.0,40.0,-46.0,-0.4280856171234433,-1.280576186792885,-5.606865390924227,-0.1696449798904125,0.002600520104020676,0.015603120624124944,-0.003200640128025678,-0.006755414265845361
2016-05-12,1463025600,2016-05-18,1463544000,-0.25,48.681836088146014,53.07905224283727,50.96,51.42,50.31,50.89,1558991.0,49.75,51.06,49.53,50.93,2371064.0,1.2539509174733325,-5.300681724463303,0.3746972969435234,-4.518293082007986,1,10.743319305847528,5.096987205943043,20.013705839398884,9.608240013362895,-1.731571587708629,2.4045554176180746,4.026080667412895,1.6110429960073847,1,0.034495164690748786,-10.0,32.0,-42.0,-2.023365403494978,-2.8071246883937278,-7.060853552828277,-0.12607653145410502,-0.02316905556646376,0.002552523070881607,-0.027488709994109572,0.01880376075215029
2016-05-13,1463112000,2016-05-20,1463716800,0.25,48.65165884242482,53.07905224283727,50.82,51.16,49.45,49.54,1182694.0,50.48,51.1,50.09,50.25,1163764.0,2.5656504542772183,-3.4273419965657865,2.080597014925374,-2.9741293532338346,1,7.699305995651635,2.092645266151973,17.772162406936555,12.100527015470583,-0.416230146295959,2.425770865454336,3.2694560501582792,0.7826143363430239,0,0.05900714747396617,-18.0,28.0,-46.0,-0.430845771144277,-1.2383902075626878,-5.364441619206929,-0.16389262180475517,0.0045771144278605735,0.01691542288557213,-0.003184079601989964,0.001994017946161497
2016-05-18,1463544000,2016-06-10,1465531200,-0.25,48.65165884242482,53.07905224283727,49.75,51.06,49.53,50.93,2371064.0,51.65,52.05,50.64,51.03,1219413.0,4.301335149752703,-2.8747233527705163,2.9590436997844307,-1.426611796982172,0,4.076983210852674,0.27510316368638355,17.234888732232534,16.216204878331325,2.0011932549611373,2.268568409234302,8.14760165749854,-0.7934160108160565,0,-0.012164051361968208,6.000000000000007,48.00000000000001,-42.0,0.7133058984911003,0.5918252366105463,-3.1559816768458404,-0.1840027530124213,0.012149715853419396,0.019988242210464247,-0.007642563198118735,-0.012959381044487461
2016-05-19,1463630400,2016-06-14,1465876800,0.25,48.65165884242482,53.06894487510756,50.41,50.5,49.56,50.15,2198837.0,50.0,50.93,49.92,50.85,1906838.0,4.439464686245628,-2.0481175869339125,3.2704031465093237,-0.873156342182881,1,3.029485152360685,1.0331810053646,11.38439223331944,12.850458876120541,2.1601094649102777,2.2065993178240593,5.232013504220863,1.2415874813387937,0,-0.039321981179896624,-2.0,32.0,-34.0,1.195673549655865,0.6827472156357288,-2.6376092220156977,-0.294270217231518,-0.01671583087512296,0.0015732546705997663,-0.018289085545722727,0.01093439363817117
