unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,37.21,37.77,36.81,37.72,13853155.0
1451970000,2016-01-05,37.98,38.09,36.93,36.99,14388945.0
1452056400,2016-01-06,36.4,36.63,35.95,36.61,16718873.0
1452142800,2016-01-07,35.96,36.13,34.61,34.73,21740504.0
1452229200,2016-01-08,35.23,35.26,34.5,34.53,16347308.0
1452488400,2016-01-11,34.89,35.02,34.12,34.68,14432305.0
1452574800,2016-01-12,34.96,35.14,34.34,35.02,9925306.0
1452661200,2016-01-13,35.54,36.11,34.68,34.7,19316986.0
1452747600,2016-01-14,34.78,36.13,34.5,35.93,23397884.0
1452834000,2016-01-15,34.65,35.01,33.97,34.49,19074684.0
1453179600,2016-01-19,35.0,35.06,34.22,34.69,14016284.0
1453266000,2016-01-20,34.25,34.76,33.41,34.57,16680835.0
1453352400,2016-01-21,34.89,35.71,34.41,35.41,14148768.0
1453438800,2016-01-22,35.99,36.34,35.71,36.18,13428801.0
1453698000,2016-01-25,36.11,36.42,35.77,35.81,10322090.0
1453784400,2016-01-26,35.83,36.77,35.77,36.52,9811843.0
1453870800,2016-01-27,36.13,36.57,35.5,35.78,13098997.0
1453957200,2016-01-28,34.47,34.49,32.72,32.81,29352984.0
1454043600,2016-01-29,33.16,34.13,32.87,34.13,28152911.0
1454302800,2016-02-01,33.65,34.93,33.41,34.71,13934212.0
1454389200,2016-02-02,34.01,34.17,32.28,32.48,21043989.0
1454475600,2016-02-03,32.82,33.87,32.6,33.67,17750569.0
1454562000,2016-02-04,33.59,34.44,33.4,34.37,11226303.0
1454648400,2016-02-05,34.21,34.32,32.94,33.13,11445019.0
1454907600,2016-02-08,32.75,33.24,32.24,33.04,13532337.0
1454994000,2016-02-09,32.86,33.16,32.49,32.82,10745270.0
1455080400,2016-02-10,33.12,33.51,32.29,32.34,10449176.0
1455166800,2016-02-11,32.0,32.58,31.79,32.37,13178088.0
1455253200,2016-02-12,32.63,33.69,32.43,33.54,12620076.0
1455598800,2016-02-16,34.32,35.25,34.17,35.17,15464642.0
1455685200,2016-02-17,35.41,36.53,35.38,36.44,15830969.0
1455771600,2016-02-18,36.44,37.12,36.14,36.94,14013190.0
1455858000,2016-02-19,36.91,37.66,36.7,37.2,17230941.0
1456117200,2016-02-22,37.69,38.61,37.69,38.6,15535035.0
1456203600,2016-02-23,38.39,38.39,37.72,37.95,10134608.0
1456290000,2016-02-24,37.63,38.88,37.43,38.78,11542702.0
1456376400,2016-02-25,38.76,38.98,38.31,38.87,9150758.0
1456462800,2016-02-26,39.14,39.14,38.55,38.85,10065259.0
1456722000,2016-02-29,38.88,39.15,38.53,38.59,14116235.0
1456808400,2016-03-01,38.81,39.59,38.8,39.59,12772195.0
1456894800,2016-03-02,39.81,40.25,39.69,40.16,16677468.0
1456981200,2016-03-03,39.85,40.13,39.4,39.8,13150543.0
1457067600,2016-03-04,39.76,40.19,39.43,40.01,13705671.0
1457326800,2016-03-07,39.84,40.66,39.79,40.5,10738201.0
1457413200,2016-03-08,40.19,40.43,39.49,39.86,12310476.0
1457499600,2016-03-09,39.82,39.91,39.31,39.47,14557850.0
1457586000,2016-03-10,39.44,39.79,38.88,39.53,9979072.0
1457672400,2016-03-11,39.96,40.0,39.43,39.68,12243101.0
1457928000,2016-03-14,39.69,39.82,39.31,39.58,8347923.0
1458014400,2016-03-15,39.32,39.38,38.73,39.23,13927325.0
1458100800,2016-03-16,39.23,39.23,38.68,38.98,21523615.0
1458187200,2016-03-17,38.86,39.27,38.84,39.04,10925029.0
1458273600,2016-03-18,39.27,39.41,38.93,39.2,42756493.0
1458532800,2016-03-21,39.21,39.78,39.14,39.67,13394402.0
1458619200,2016-03-22,39.36,39.75,39.35,39.53,7683903.0
1458705600,2016-03-23,39.6,39.63,38.61,38.74,9967987.0
1458792000,2016-03-24,38.47,38.67,38.09,38.64,8768016.0
1459137600,2016-03-28,38.32,38.45,37.95,38.13,9962804.0
1459224000,2016-03-29,37.99,38.7,37.74,38.51,10951031.0
1459310400,2016-03-30,38.88,39.24,38.54,38.74,7684170.0
1459396800,2016-03-31,38.65,39.08,38.62,38.86,8011439.0
1459483200,2016-04-01,38.81,38.83,38.0,38.66,10232665.0
1459742400,2016-04-04,38.61,38.83,38.38,38.48,6772758.0
1459828800,2016-04-05,38.32,38.39,37.99,38.04,7366419.0
1459915200,2016-04-06,38.1,38.54,37.78,38.46,8099733.0
1460001600,2016-04-07,38.29,38.33,37.82,38.01,8063151.0
1460088000,2016-04-08,38.27,38.86,38.18,38.42,5938464.0
1460347200,2016-04-11,38.64,39.19,38.64,38.75,9334057.0
1460433600,2016-04-12,38.79,38.83,38.14,38.61,6405552.0
1460520000,2016-04-13,38.98,39.84,38.86,39.45,14336083.0
1460606400,2016-04-14,39.4,39.43,38.93,39.37,9465194.0
1460692800,2016-04-15,39.46,39.5,38.77,38.8,11626035.0
1460952000,2016-04-18,38.82,39.3,38.7,39.17,9302845.0
1461038400,2016-04-19,39.3,39.46,38.98,39.38,9822410.0
1461124800,2016-04-20,39.46,39.92,39.37,39.58,11704214.0
1461211200,2016-04-21,38.98,39.36,38.55,39.26,18173699.0
1461297600,2016-04-22,39.29,40.34,39.27,40.0,15727216.0
1461556800,2016-04-25,39.97,40.06,39.53,39.84,7368101.0
1461643200,2016-04-26,39.92,40.24,39.85,40.2,8095695.0
1461729600,2016-04-27,39.53,40.37,39.52,40.19,9330749.0
1461816000,2016-04-28,39.87,40.48,39.54,39.61,8223037.0
1461902400,2016-04-29,39.38,39.51,38.07,38.39,12962563.0
1462161600,2016-05-02,38.51,38.88,38.09,38.83,7541030.0
1462248000,2016-05-03,38.5,38.69,38.13,38.54,8192629.0
1462334400,2016-05-04,38.13,38.66,38.1,38.36,12546709.0
1462420800,2016-05-05,38.55,38.96,38.32,38.85,10548696.0
