unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,88.77,88.96,86.18,87.47,3270840.0
1451970000,2016-01-05,85.91,87.06,85.83,86.04,2312674.0
1452056400,2016-01-06,83.97,86.27,83.16,84.95,3094157.0
1452142800,2016-01-07,83.05,84.46,82.23,82.38,2776146.0
1452229200,2016-01-08,83.32,84.26,81.48,81.8,2424886.0
1452488400,2016-01-11,82.49,84.26,81.91,83.42,2316656.0
1452574800,2016-01-12,84.15,85.25,82.87,83.8,2079846.0
1452661200,2016-01-13,83.82,84.27,79.23,79.36,3697012.0
1452747600,2016-01-14,79.21,79.31,76.2,78.34,4539112.0
1452834000,2016-01-15,75.63,76.67,73.63,73.9,4433173.0
1453179600,2016-01-19,75.63,76.11,71.38,72.26,5169995.0
1453266000,2016-01-20,71.52,74.66,67.91,73.48,6308142.0
1453352400,2016-01-21,74.39,77.02,73.82,76.19,4002323.0
1453438800,2016-01-22,78.64,78.73,76.17,76.43,2852610.0
1453698000,2016-01-25,76.51,76.94,74.02,74.3,2162817.0
1453784400,2016-01-26,74.59,75.67,73.27,75.33,1914784.0
1453870800,2016-01-27,75.96,76.43,71.89,72.57,2427026.0
1453957200,2016-01-28,72.09,72.18,67.34,69.81,6199955.0
1454043600,2016-01-29,69.57,73.14,69.33,73.05,6014850.0
1454302800,2016-02-01,72.93,76.38,72.41,75.33,6310485.0
1454389200,2016-02-02,70.32,70.58,61.76,63.9,20606234.0
1454475600,2016-02-03,65.36,67.28,63.58,65.8,9343172.0
1454562000,2016-02-04,65.09,65.78,61.43,65.58,6859715.0
1454648400,2016-02-05,64.71,64.92,61.02,62.01,5295532.0
1454907600,2016-02-08,60.61,60.69,57.23,59.08,7674703.0
1454994000,2016-02-09,57.92,61.99,57.32,60.62,4564420.0
1455080400,2016-02-10,61.2,63.24,61.07,61.84,3476933.0
1455166800,2016-02-11,60.02,61.52,59.69,60.58,3146563.0
1455253200,2016-02-12,61.45,61.45,59.79,61.29,2563586.0
1455598800,2016-02-16,62.15,64.63,61.73,64.63,3769037.0
1455685200,2016-02-17,64.43,65.9,64.26,65.33,2984390.0
1455771600,2016-02-18,64.74,64.78,62.46,62.61,3211649.0
1455858000,2016-02-19,62.08,64.77,61.35,63.48,3970182.0
1456117200,2016-02-22,63.44,66.3,62.88,66.06,4777228.0
1456203600,2016-02-23,66.65,68.32,66.13,66.32,5014214.0
1456290000,2016-02-24,65.44,65.44,62.7,65.22,3790079.0
1456376400,2016-02-25,65.34,66.73,65.07,66.73,1763571.0
1456462800,2016-02-26,66.97,67.52,65.97,67.37,2008127.0
1456722000,2016-02-29,66.4,67.98,66.27,66.64,2639121.0
1456808400,2016-03-01,67.25,68.85,66.54,68.58,2842136.0
1456894800,2016-03-02,67.99,68.48,66.19,67.36,3133958.0
1456981200,2016-03-03,66.7,67.83,65.7,67.82,3630705.0
1457067600,2016-03-04,67.89,67.91,64.79,66.32,4947766.0
1457326800,2016-03-07,65.47,66.06,64.48,65.98,3528646.0
1457413200,2016-03-08,64.75,65.03,63.2,63.31,4863334.0
1457499600,2016-03-09,63.67,63.82,62.07,62.85,3237694.0
1457586000,2016-03-10,63.34,64.42,61.83,62.71,3260768.0
1457672400,2016-03-11,63.48,65.3,62.54,65.25,3846678.0
1457928000,2016-03-14,65.26,66.11,64.85,64.99,2107022.0
1458014400,2016-03-15,64.73,65.11,64.13,65.05,2059460.0
1458100800,2016-03-16,64.79,66.91,64.59,66.87,3018985.0
1458187200,2016-03-17,66.64,67.38,65.83,67.19,2713329.0
1458273600,2016-03-18,67.51,70.09,67.36,69.55,4556887.0
1458532800,2016-03-21,69.22,70.16,69.21,70.1,3104146.0
1458619200,2016-03-22,68.3,68.93,67.23,68.09,3460405.0
1458705600,2016-03-23,68.23,68.42,65.64,65.68,2581850.0
1458792000,2016-03-24,65.63,67.23,64.99,66.73,2343233.0
1459137600,2016-03-28,67.23,67.71,66.51,67.59,2079776.0
1459224000,2016-03-29,67.39,68.29,67.0,68.14,1982397.0
1459310400,2016-03-30,69.51,72.28,69.47,72.0,4690001.0
1459396800,2016-03-31,72.31,74.17,72.25,73.61,5215501.0
1459483200,2016-04-01,73.25,73.66,72.06,73.37,3770089.0
1459742400,2016-04-04,73.56,74.93,73.22,73.93,2161788.0
1459828800,2016-04-05,73.0,73.37,71.77,71.99,2199079.0
1459915200,2016-04-06,72.31,73.24,71.75,73.08,2041704.0
1460001600,2016-04-07,72.69,73.43,71.68,71.93,2174325.0
1460088000,2016-04-08,72.54,73.27,71.98,72.22,1429670.0
1460347200,2016-04-11,72.58,73.16,71.07,71.26,2666532.0
1460433600,2016-04-12,71.68,72.84,71.25,72.31,1909680.0
1460520000,2016-04-13,72.91,75.77,72.75,75.64,3129829.0
1460606400,2016-04-14,75.48,75.65,73.66,74.28,2344409.0
1460692800,2016-04-15,74.07,74.54,72.38,72.62,2216735.0
1460952000,2016-04-18,72.9,72.9,70.38,71.13,3629883.0
1461038400,2016-04-19,71.47,71.84,70.64,70.96,1846598.0
1461124800,2016-04-20,70.97,71.39,70.11,70.96,1794437.0
1461211200,2016-04-21,70.76,70.77,68.61,68.82,2952948.0
1461297600,2016-04-22,68.57,68.61,65.75,66.13,5149739.0
