start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,364.185,392.76528415464134,2016-03-16,1458100800,
2016-03-17,1458187200,334.41611213196745,364.185,2016-03-18,1458273600,-1.0
2016-03-21,1458532800,364.185,393.44526555968116,2016-03-22,1458619200,1.0
2016-03-23,1458705600,334.888128165377,364.185,2016-03-23,1458705600,-1.0
2016-03-24,1458792000,364.185,393.3088095607214,2016-03-24,1458792000,1.0
2016-03-28,1459137600,335.65646255075876,364.185,2016-03-28,1459137600,-1.0
2016-03-29,1459224000,364.185,392.2507847742955,2016-03-29,1459224000,1.0
2016-03-30,1459310400,336.2249141381542,364.185,2016-03-31,1459396800,-1.0
2016-04-01,1459483200,364.185,395.6295434216936,2016-04-01,1459483200,1.0
2016-04-04,1459742400,395.6295434216936,426.3991908846948,2016-04-08,1460088000,1.0
2016-04-11,1460347200,364.3246229802851,395.6295434216936,2016-04-11,1460347200,-1.0
2016-04-12,1460433600,395.6295434216936,426.7838266887158,2016-04-26,1461643200,1.0
2016-04-27,1461729600,368.78669594403885,395.6295434216936,2016-05-03,1462248000,-1.0
2016-05-04,1462334400,341.8123647529413,368.78669594403885,2016-05-04,1462334400,-1.0
2016-05-05,1462420800,368.78669594403885,396.5188606214866,2016-05-05,1462420800,1.0
2016-05-06,1462507200,341.5246858864088,368.78669594403885,2016-05-06,1462507200,-1.0
2016-05-09,1462766400,368.78669594403885,395.5568481404096,2016-05-11,1462939200,1.0
2016-05-12,1463025600,342.57131096757143,368.78669594403885,2016-05-13,1463112000,-1.0
2016-05-16,1463371200,368.78669594403885,395.7861758472174,2016-05-23,1463976000,1.0
2016-05-24,1464062400,395.7861758472174,419.65484681737826,2016-05-24,1464062400,1.0
2016-05-25,1464148800,372.5874099463537,395.7861758472174,2016-05-27,1464321600,-1.0
2016-05-31,1464667200,395.7861758472174,416.86805437644387,2016-06-06,1465185600,1.0
2016-06-07,1465272000,375.5122950521021,395.7861758472174,2016-06-09,1465444800,-1.0
2016-06-10,1465531200,355.24228918225214,375.5122950521021,2016-06-16,1466049600,-1.0
2016-06-17,1466136000,335.39429448615414,355.24228918225214,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,355.24228918225214,375.7346033356063,2016-06-23,1466654400,1.0
2016-06-24,1466740800,333.8518546112804,355.24228918225214,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,312.3693082239495,333.8518546112804,2016-06-27,1467000000,-1.0
2016-06-28,1467086400,333.8518546112804,355.00079054237335,2016-06-30,1467259200,1.0
2016-07-01,1467345600,355.00079054237335,375.3131485017798,2016-07-07,1467864000,1.0
2016-07-08,1467950400,375.3131485017798,395.14371830807426,2016-07-08,1467950400,1.0
2016-07-11,1468209600,356.1340479673635,375.3131485017798,2016-07-15,1468555200,-1.0
2016-07-18,1468814400,375.3131485017798,394.0680793689873,2016-07-25,1469419200,1.0
2016-07-26,1469505600,394.0680793689873,411.64051382287863,2016-07-26,1469505600,1.0
2016-07-27,1469592000,411.64051382287863,430.22834581577774,2016-07-27,1469592000,1.0
2016-07-28,1469678400,393.1563841151866,411.64051382287863,2016-07-28,1469678400,-1.0
2016-07-29,1469764800,411.64051382287863,430.83834855144977,2016-07-29,1469764800,1.0
2016-08-01,1470024000,430.83834855144977,450.5844807994087,2016-08-04,1470283200,1.0
2016-08-05,1470369600,409.48315349902487,430.83834855144977,2016-08-17,1471406400,-1.0
2016-08-18,1471492800,392.2307595337576,409.48315349902487,2016-08-19,1471579200,-1.0
2016-08-22,1471838400,409.48315349902487,427.55155441805636,2016-08-23,1471924800,1.0
2016-08-24,1472011200,390.3683282167988,409.48315349902487,2016-09-01,1472702400,-1.0
2016-09-02,1472788800,372.6180051082358,390.3683282167988,2016-09-02,1472788800,-1.0
2016-09-06,1473134400,390.3683282167988,408.4849139604644,2016-09-08,1473307200,1.0
2016-09-09,1473393600,372.0295888294688,390.3683282167988,2016-09-09,1473393600,-1.0
2016-09-12,1473652800,390.3683282167988,409.3553005050337,2016-09-12,1473652800,1.0
2016-09-13,1473739200,371.13556823486635,390.3683282167988,2016-09-13,1473739200,-1.0
2016-09-14,1473825600,390.3683282167988,409.61203391430746,2016-09-26,1474862400,1.0
2016-09-27,1474948800,409.61203391430746,428.763155245071,2016-09-28,1475035200,1.0
2016-09-29,1475121600,390.1722405219654,409.61203391430746,2016-10-05,1475640000,-1.0
2016-10-06,1475726400,370.97859777634073,390.1722405219654,2016-10-07,1475812800,-1.0
2016-10-10,1476072000,390.1722405219654,408.290432481203,2016-10-10,1476072000,1.0
2016-10-11,1476158400,371.7462051312448,390.1722405219654,2016-10-13,1476331200,-1.0
2016-10-14,1476417600,352.75949166425744,371.7462051312448,2016-10-28,1477627200,-1.0
2016-10-31,1477886400,334.7845088700383,352.75949166425744,2016-11-02,1478059200,-1.0
2016-11-03,1478145600,316.6641731561536,334.7845088700383,2016-11-03,1478145600,-1.0
2016-11-04,1478232000,334.7845088700383,354.98939203293116,2016-11-04,1478232000,1.0
2016-11-07,1478494800,354.98939203293116,377.0090692556174,2016-11-08,1478581200,1.0
2016-11-09,1478667600,377.0090692556174,404.2482399221173,2016-11-09,1478667600,1.0
2016-11-10,1478754000,404.2482399221173,431.18489839815294,2016-11-11,1478840400,1.0
2016-11-14,1479099600,431.18489839815294,460.1884355535102,2016-11-14,1479099600,1.0
2016-11-15,1479186000,401.57875675389266,431.18489839815294,2016-11-17,1479358800,-1.0
2016-11-18,1479445200,372.29523591116674,401.57875675389266,2016-11-18,1479445200,-1.0
2016-11-21,1479704400,401.57875675389266,430.3738832507096,2016-11-21,1479704400,1.0
2016-11-22,1479790800,373.21913929256266,401.57875675389266,2016-12-01,1480568400,-1.0
2016-12-02,1480654800,349.8559928310831,373.21913929256266,2016-12-09,1481259600,-1.0
2016-12-12,1481518800,373.21913929256266,397.15178325396846,2016-12-16,1481864400,1.0
2016-12-19,1482123600,350.8316897247445,373.21913929256266,2016-12-22,1482382800,-1.0
