start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,88.6,92.32493582280759,2016-03-16,1458100800,
2016-03-17,1458187200,92.32493582280759,96.28199783328965,2016-04-12,1460433600,1.0
2016-04-13,1460520000,96.28199783328965,99.57078928801442,2016-04-20,1461124800,1.0
2016-04-21,1461211200,93.15959724621648,96.28199783328965,2016-04-25,1461556800,-1.0
2016-04-26,1461643200,96.28199783328965,99.17275151033039,2016-04-27,1461729600,1.0
2016-04-28,1461816000,93.18600104033106,96.28199783328965,2016-05-03,1462248000,-1.0
2016-05-04,1462334400,90.21447499900218,93.18600104033106,2016-05-05,1462420800,-1.0
2016-05-06,1462507200,93.18600104033106,96.07016380045647,2016-05-06,1462507200,1.0
2016-05-09,1462766400,90.36256419164319,93.18600104033106,2016-05-09,1462766400,-1.0
2016-05-10,1462852800,93.18600104033106,96.0970495426841,2016-05-13,1463112000,1.0
2016-05-16,1463371200,96.0970495426841,98.98939331287635,2016-05-16,1463371200,1.0
2016-05-17,1463457600,93.1747303275056,96.0970495426841,2016-05-18,1463544000,-1.0
2016-05-19,1463630400,90.0796183511527,93.1747303275056,2016-05-19,1463630400,-1.0
2016-05-20,1463716800,93.1747303275056,96.20176287697615,2016-05-24,1464062400,1.0
2016-05-25,1464148800,96.20176287697615,99.29800650350194,2016-06-03,1464926400,1.0
2016-06-06,1465185600,99.29800650350194,102.29779329498547,2016-06-09,1465444800,1.0
2016-06-10,1465531200,96.40861040417975,99.29800650350194,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,99.29800650350194,102.2310321530594,2016-06-23,1466654400,1.0
2016-06-24,1466740800,95.66419697177001,99.29800650350194,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,91.72808812087608,95.66419697177001,2016-06-29,1467172800,-1.0
2016-06-30,1467259200,95.66419697177001,99.58199112097336,2016-07-01,1467345600,1.0
2016-07-05,1467691200,91.59016017985488,95.66419697177001,2016-07-07,1467864000,-1.0
2016-07-08,1467950400,95.66419697177001,99.64926724576328,2016-07-11,1468209600,1.0
2016-07-12,1468296000,99.64926724576328,103.50607783915544,2016-07-20,1468987200,1.0
2016-07-21,1469073600,96.42208480808198,99.64926724576328,2016-07-25,1469419200,-1.0
2016-07-26,1469505600,99.64926724576328,102.76359225144324,2016-07-26,1469505600,1.0
2016-07-27,1469592000,96.2881083119176,99.64926724576328,2016-07-28,1469678400,-1.0
2016-07-29,1469764800,92.95374168018331,96.2881083119176,2016-08-03,1470196800,-1.0
2016-08-04,1470283200,96.2881083119176,99.5639450822467,2016-08-09,1470715200,1.0
2016-08-10,1470801600,99.5639450822467,102.53415452615991,2016-08-11,1470888000,1.0
2016-08-12,1470974400,96.7338155107093,99.5639450822467,2016-08-12,1470974400,-1.0
2016-08-15,1471233600,99.5639450822467,102.36292254153143,2016-08-23,1471924800,1.0
2016-08-24,1472011200,97.12672698938694,99.5639450822467,2016-08-26,1472184000,-1.0
2016-08-29,1472443200,99.5639450822467,101.91497210484616,2016-08-29,1472443200,1.0
2016-08-30,1472529600,97.19570570411864,99.5639450822467,2016-09-08,1473307200,-1.0
2016-09-09,1473393600,94.74823023662503,97.19570570411864,2016-09-14,1473825600,-1.0
2016-09-15,1473912000,97.19570570411864,99.77802944493196,2016-09-15,1473912000,1.0
2016-09-16,1473998400,94.56126223050627,97.19570570411864,2016-09-20,1474344000,-1.0
2016-09-21,1474430400,97.19570570411864,99.87246747945623,2016-09-21,1474430400,1.0
2016-09-22,1474516800,99.87246747945623,102.59203198512687,2016-09-22,1474516800,1.0
2016-09-23,1474603200,97.04115758133351,99.87246747945623,2016-09-23,1474603200,-1.0
2016-09-26,1474862400,94.23979839021955,97.04115758133351,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,97.04115758133351,99.87899111593933,2016-09-29,1475121600,1.0
2016-09-30,1475208000,99.87899111593933,103.15831920468896,2016-10-07,1475812800,1.0
2016-10-10,1476072000,96.29698395577307,99.87899111593933,2016-10-20,1476936000,-1.0
2016-10-21,1477022400,99.87899111593933,104.04631501554434,2016-10-26,1477454400,1.0
2016-10-27,1477540800,95.51810716402818,99.87899111593933,2016-10-27,1477540800,-1.0
2016-10-28,1477627200,99.87899111593933,104.14952621414254,2016-11-02,1478059200,1.0
2016-11-03,1478145600,95.97864050838565,99.87899111593933,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,99.87899111593933,104.22892607857489,2016-11-07,1478494800,1.0
2016-11-08,1478581200,104.22892607857489,108.4931514010222,2016-11-09,1478667600,1.0
2016-11-10,1478754000,108.4931514010222,113.10852935762217,2016-11-14,1479099600,1.0
2016-11-15,1479186000,113.10852935762217,117.6138396238941,2016-11-16,1479272400,1.0
2016-11-17,1479358800,108.88469550558159,113.10852935762217,2016-11-29,1480395600,-1.0
2016-11-30,1480482000,113.10852935762217,116.67824793208575,2016-12-06,1481000400,1.0
2016-12-07,1481086800,116.67824793208575,120.44637576696911,2016-12-12,1481518800,1.0
2016-12-13,1481605200,113.02713180619801,116.67824793208575,2016-12-30,1483074000,-1.0
2017-01-03,1483419600,116.67824793208575,119.92066620813546,2017-01-10,1484024400,1.0
2017-01-11,1484110800,119.92066620813546,123.2912058401395,2017-01-11,1484110800,1.0
2017-01-12,1484197200,116.49773654984598,119.92066620813546,2017-01-12,1484197200,-1.0
2017-01-13,1484283600,119.92066620813546,123.26110089083282,2017-01-13,1484283600,1.0
2017-01-17,1484629200,116.53469114563076,119.92066620813546,2017-01-23,1485147600,-1.0
2017-01-24,1485234000,119.92066620813546,123.24517800545681,2017-01-24,1485234000,1.0
2017-01-25,1485320400,123.24517800545681,127.79665324582663,2017-01-25,1485320400,1.0
2017-01-26,1485406800,127.79665324582663,132.33288025474147,2017-01-27,1485493200,1.0
2017-01-30,1485752400,123.33695750854802,127.79665324582663,2017-02-09,1486616400,-1.0
2017-02-10,1486702800,127.79665324582663,131.7220335557873,2017-02-28,1488258000,1.0
2017-03-01,1488344400,131.7220335557873,135.38681399568617,2017-03-01,1488344400,1.0
2017-03-02,1488430800,128.0207374330241,131.7220335557873,2017-03-09,1489035600,-1.0
2017-03-10,1489122000,131.7220335557873,135.3003018893232,2017-03-13,1489377600,1.0
2017-03-14,1489464000,128.15059810493236,131.7220335557873,2017-03-14,1489464000,-1.0
2017-03-15,1489550400,131.7220335557873,135.60665218872404,2017-03-20,1489982400,1.0
2017-03-21,1490068800,127.96030451644677,131.7220335557873,2017-03-21,1490068800,-1.0
2017-03-22,1490155200,131.7220335557873,135.41949623517493,2017-03-22,1490155200,1.0
2017-03-23,1490241600,128.07524678207022,131.7220335557873,2017-03-27,1490587200,-1.0
2017-03-28,1490673600,131.7220335557873,135.67586465704696,2017-04-11,1491883200,1.0
2017-04-12,1491969600,127.55438719223332,131.7220335557873,2017-04-12,1491969600,-1.0
2017-04-13,1492056000,123.44657271179034,127.55438719223332,2017-04-13,1492056000,-1.0
2017-04-17,1492401600,127.55438719223332,131.6323577812161,2017-04-21,1492747200,1.0
2017-04-24,1493006400,131.6323577812161,135.93121321700025,2017-04-24,1493006400,1.0
2017-04-25,1493092800,135.93121321700025,140.33572183594268,2017-04-27,1493265600,1.0
2017-04-28,1493352000,131.38254797071144,135.93121321700025,2017-05-22,1495425600,-1.0
2017-05-23,1495512000,135.93121321700025,140.18663490017488,2017-05-23,1495512000,1.0
