unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,36.82,36.85,36.38,36.58,2066286.0
1451970000,2016-01-05,36.55,37.22,36.46,37.17,2166085.0
1452056400,2016-01-06,36.76,37.36,36.6,37.3,2459856.0
1452142800,2016-01-07,36.73,37.67,36.72,37.43,3196770.0
1452229200,2016-01-08,37.56,37.72,37.24,37.42,3431634.0
1452488400,2016-01-11,37.46,37.84,37.41,37.73,2548462.0
1452574800,2016-01-12,37.98,38.05,37.49,37.87,2380000.0
1452661200,2016-01-13,37.82,37.99,36.99,37.15,2298459.0
1452747600,2016-01-14,37.25,37.71,37.02,37.57,2423468.0
1452834000,2016-01-15,36.87,37.05,36.43,36.69,3171275.0
1453179600,2016-01-19,37.12,37.71,36.86,37.09,2439564.0
1453266000,2016-01-20,36.7,36.95,35.46,36.17,3398523.0
1453352400,2016-01-21,36.31,36.53,35.64,35.78,3379148.0
1453438800,2016-01-22,36.17,36.57,36.08,36.4,3830809.0
1453698000,2016-01-25,36.46,36.46,35.87,35.96,1928562.0
1453784400,2016-01-26,36.02,36.21,35.92,36.08,2017977.0
1453870800,2016-01-27,36.11,36.19,35.53,35.8,2369532.0
1453957200,2016-01-28,35.97,36.44,35.79,36.2,1979690.0
1454043600,2016-01-29,36.46,37.09,36.38,37.05,3150796.0
1454302800,2016-02-01,36.84,37.32,36.69,37.18,1485638.0
1454389200,2016-02-02,36.87,37.18,36.71,36.99,2360902.0
1454475600,2016-02-03,37.2,37.45,36.74,37.34,1814948.0
1454562000,2016-02-04,37.23,37.59,37.18,37.42,1398784.0
1454648400,2016-02-05,37.42,37.54,36.71,36.95,1819251.0
1454907600,2016-02-08,36.69,36.95,36.09,36.82,1832552.0
1454994000,2016-02-09,36.52,37.48,36.52,37.17,2425418.0
1455080400,2016-02-10,37.21,37.97,37.01,37.55,1715698.0
1455166800,2016-02-11,36.93,37.43,36.89,37.15,3104811.0
1455253200,2016-02-12,37.31,37.99,36.71,37.48,2626621.0
1455598800,2016-02-16,37.95,38.54,37.53,38.52,3157028.0
1455685200,2016-02-17,38.59,38.67,38.24,38.35,2498044.0
1455771600,2016-02-18,38.4,38.77,38.15,38.68,1909658.0
1455858000,2016-02-19,38.71,38.93,38.51,38.73,2231528.0
1456117200,2016-02-22,38.88,39.18,38.83,39.05,1505258.0
1456203600,2016-02-23,39.03,39.27,38.87,38.97,1036687.0
1456290000,2016-02-24,38.6,39.03,38.42,39.0,1304067.0
1456376400,2016-02-25,39.1,39.21,38.76,39.2,1665707.0
1456462800,2016-02-26,39.43,39.53,39.11,39.18,1692454.0
1456722000,2016-02-29,39.15,39.24,38.75,38.75,2145145.0
1456808400,2016-03-01,39.01,39.64,39.0,39.5,1618424.0
1456894800,2016-03-02,39.62,39.91,39.36,39.9,1741839.0
1456981200,2016-03-03,39.74,40.06,39.35,40.03,1883013.0
1457067600,2016-03-04,40.03,40.06,39.63,39.93,2851217.0
1457326800,2016-03-07,39.72,39.85,39.55,39.77,1338716.0
1457413200,2016-03-08,39.63,39.88,39.19,39.54,1591743.0
1457499600,2016-03-09,39.76,40.16,39.68,39.85,1643148.0
1457586000,2016-03-10,39.97,40.11,39.4,39.79,1225403.0
1457672400,2016-03-11,40.16,40.28,39.95,40.1,1391091.0
1457928000,2016-03-14,39.92,40.16,39.73,39.86,1560313.0
1458014400,2016-03-15,39.58,40.34,39.58,40.23,1577921.0
1458100800,2016-03-16,40.24,40.72,40.04,40.58,1248872.0
1458187200,2016-03-17,40.59,40.76,40.46,40.69,1693875.0
1458273600,2016-03-18,40.74,40.91,40.5,40.86,7009667.0
1458532800,2016-03-21,40.86,40.93,40.7,40.84,974156.0
1458619200,2016-03-22,40.6,40.84,40.29,40.37,1680644.0
1458705600,2016-03-23,40.32,40.65,40.27,40.6,1408672.0
1458792000,2016-03-24,40.56,40.81,40.56,40.8,1590710.0
1459137600,2016-03-28,40.93,41.11,40.76,40.96,1296746.0
1459224000,2016-03-29,40.93,41.34,40.81,41.31,1286605.0
1459310400,2016-03-30,41.39,41.55,41.17,41.25,1179040.0
1459396800,2016-03-31,41.28,41.34,40.62,40.65,3425927.0
1459483200,2016-04-01,40.53,41.2,40.45,41.16,1737550.0
1459742400,2016-04-04,40.14,40.28,39.4,39.48,4850491.0
1459828800,2016-04-05,39.24,39.69,38.99,39.69,3006479.0
1459915200,2016-04-06,39.76,40.03,39.22,39.48,1757127.0
1460001600,2016-04-07,39.41,39.61,39.33,39.45,1460665.0
1460088000,2016-04-08,39.65,39.87,39.49,39.58,1132482.0
1460347200,2016-04-11,39.77,39.89,39.13,39.16,1322638.0
1460433600,2016-04-12,39.19,39.29,39.06,39.18,1766620.0
1460520000,2016-04-13,39.29,39.42,39.01,39.25,1847131.0
1460606400,2016-04-14,39.26,39.52,39.13,39.19,1543686.0
1460692800,2016-04-15,39.41,39.59,39.27,39.37,1151255.0
1460952000,2016-04-18,39.25,39.72,39.18,39.65,1521567.0
1461038400,2016-04-19,39.72,39.92,39.61,39.63,1467437.0
1461124800,2016-04-20,39.66,39.93,39.38,39.4,902289.0
1461211200,2016-04-21,39.28,39.48,38.91,38.92,2099814.0
1461297600,2016-04-22,38.96,39.2,38.87,39.02,1464350.0
1461556800,2016-04-25,38.92,39.09,38.87,39.04,1082123.0
1461643200,2016-04-26,39.15,39.4,39.15,39.34,1196640.0
1461729600,2016-04-27,39.35,39.7,39.3,39.66,1399282.0
1461816000,2016-04-28,39.44,40.36,39.44,40.31,2905268.0
1461902400,2016-04-29,40.35,40.54,39.88,40.16,3073708.0
1462161600,2016-05-02,40.17,40.63,40.14,40.58,2420148.0
1462248000,2016-05-03,40.46,40.52,39.92,40.22,2251458.0
1462334400,2016-05-04,39.97,40.64,39.92,40.59,1614352.0
1462420800,2016-05-05,40.51,40.84,40.29,40.47,1176751.0
1462507200,2016-05-06,40.44,40.94,40.1,40.92,1174668.0
1462766400,2016-05-09,40.93,41.34,40.69,41.28,1566398.0
1462852800,2016-05-10,41.26,41.56,41.13,41.56,1218694.0
1462939200,2016-05-11,41.56,41.62,41.25,41.47,1190544.0
1463025600,2016-05-12,41.48,41.76,41.43,41.67,826680.0
1463112000,2016-05-13,41.62,41.77,41.26,41.34,1019440.0
1463371200,2016-05-16,41.29,41.62,41.04,41.47,1124827.0
1463457600,2016-05-17,41.49,41.51,40.51,40.58,1931460.0
1463544000,2016-05-18,40.57,41.08,40.39,40.67,1639172.0
1463630400,2016-05-19,40.5,40.77,40.33,40.7,909429.0
