start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,39.96,41.07829594844373,2016-03-28,1459137600,
2016-03-29,1459224000,41.07829594844373,42.00710110653866,2016-03-30,1459310400,1.0
2016-03-31,1459396800,40.139499664168,41.07829594844373,2016-03-31,1459396800,-1.0
2016-04-01,1459483200,41.07829594844373,42.04646392669977,2016-04-01,1459483200,1.0
2016-04-04,1459742400,39.9529971114917,41.07829594844373,2016-04-04,1459742400,-1.0
2016-04-05,1459828800,38.81807676289338,39.9529971114917,2016-04-27,1461729600,-1.0
2016-04-28,1461816000,39.9529971114917,40.87900277313196,2016-05-05,1462420800,1.0
2016-05-06,1462507200,40.87900277313196,41.89946306360088,2016-05-16,1463371200,1.0
2016-05-17,1463457600,39.85612886648036,40.87900277313196,2016-05-23,1463976000,-1.0
2016-05-24,1464062400,40.87900277313196,41.84411216844045,2016-05-24,1464062400,1.0
2016-05-25,1464148800,39.90182976320265,40.87900277313196,2016-05-25,1464148800,-1.0
2016-05-26,1464235200,40.87900277313196,41.83909199663775,2016-06-06,1465185600,1.0
2016-06-07,1465272000,41.83909199663775,42.65265644696348,2016-06-28,1467086400,1.0
2016-06-29,1467172800,42.65265644696348,43.58461553204485,2016-06-29,1467172800,1.0
2016-06-30,1467259200,43.58461553204485,44.56829182533469,2016-07-05,1467691200,1.0
2016-07-06,1467777600,44.56829182533469,45.62103046103359,2016-07-26,1469505600,1.0
2016-07-27,1469592000,43.69506143149229,44.56829182533469,2016-08-02,1470110400,-1.0
2016-08-03,1470196800,42.82675688833147,43.69506143149229,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,43.69506143149229,44.507395450850346,2016-08-05,1470369600,1.0
2016-08-08,1470628800,42.88932269923124,43.69506143149229,2016-08-08,1470628800,-1.0
2016-08-09,1470715200,43.69506143149229,44.477961682877556,2016-08-15,1471233600,1.0
2016-08-16,1471320000,42.836177281589,43.69506143149229,2016-08-16,1471320000,-1.0
2016-08-17,1471406400,43.69506143149229,44.62631099925963,2016-08-25,1472097600,1.0
2016-08-26,1472184000,42.83819377068205,43.69506143149229,2016-09-01,1472702400,-1.0
2016-09-02,1472788800,43.69506143149229,44.513287695818946,2016-09-06,1473134400,1.0
2016-09-07,1473220800,42.861988785210634,43.69506143149229,2016-09-08,1473307200,-1.0
2016-09-09,1473393600,41.94934961571268,42.861988785210634,2016-09-09,1473393600,-1.0
2016-09-12,1473652800,42.861988785210634,43.8174394426016,2016-09-13,1473739200,1.0
2016-09-14,1473825600,41.919595106133734,42.861988785210634,2016-09-14,1473825600,-1.0
2016-09-15,1473912000,42.861988785210634,43.809068630067756,2016-09-20,1474344000,1.0
2016-09-21,1474430400,43.809068630067756,44.77054050243771,2016-09-22,1474516800,1.0
2016-09-23,1474603200,42.8660750258304,43.809068630067756,2016-10-06,1475726400,-1.0
2016-10-07,1475812800,41.974154316533365,42.8660750258304,2016-10-07,1475812800,-1.0
2016-10-10,1476072000,42.8660750258304,43.748287113034785,2016-10-10,1476072000,1.0
2016-10-11,1476158400,41.9800209448549,42.8660750258304,2016-10-11,1476158400,-1.0
2016-10-12,1476244800,42.8660750258304,43.72741095816479,2016-10-24,1477281600,1.0
2016-10-25,1477368000,43.72741095816479,44.62694776437235,2016-10-27,1477540800,1.0
2016-10-28,1477627200,44.62694776437235,45.66036334864277,2016-10-31,1477886400,1.0
2016-11-01,1477972800,43.49013534732286,44.62694776437235,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,44.62694776437235,45.70513798311846,2016-11-10,1478754000,1.0
2016-11-11,1478840400,45.70513798311846,46.85378940017405,2016-11-14,1479099600,1.0
2016-11-15,1479186000,46.85378940017405,48.03577965263525,2016-11-23,1479877200,1.0
2016-11-25,1480050000,48.03577965263525,49.106340369641636,2016-11-29,1480395600,1.0
2016-11-30,1480482000,47.04637735844318,48.03577965263525,2016-12-01,1480568400,-1.0
2016-12-02,1480654800,48.03577965263525,48.986601018545755,2016-12-02,1480654800,1.0
2016-12-05,1480914000,47.05130267000406,48.03577965263525,2016-12-05,1480914000,-1.0
2016-12-06,1481000400,48.03577965263525,49.01679399364992,2016-12-09,1481259600,1.0
2016-12-12,1481518800,49.01679399364992,50.00591416737233,2016-12-13,1481605200,1.0
2016-12-14,1481691600,48.007256701001516,49.01679399364992,2016-12-16,1481864400,-1.0
2016-12-19,1482123600,49.01679399364992,50.04086958838335,2017-01-06,1483678800,1.0
2017-01-09,1483938000,48.155244890509216,49.01679399364992,2017-01-09,1483938000,-1.0
2017-01-10,1484024400,49.01679399364992,49.87980387513772,2017-01-23,1485147600,1.0
2017-01-24,1485234000,49.87980387513772,50.6798134576586,2017-01-30,1485752400,1.0
2017-01-31,1485838800,49.10576385475387,49.87980387513772,2017-02-02,1486011600,-1.0
