start,start_unix,end,end_unix,reward
2016-04-01,1459483200,2016-05-25,1464148800,0.13775409999999993
2016-04-04,1459742400,2016-06-06,1465185600,-0.4797540999999996
2016-04-05,1459828800,2016-06-28,1467086400,1.0563479
2016-04-28,1461816000,2016-06-29,1467172800,2.7631279
2016-05-06,1462507200,2016-07-05,1467691200,2.4373279
2016-05-17,1463457600,2016-07-26,1469505600,2.0753279000000004
2016-05-24,1464062400,2016-08-02,1470110400,2.9387341
2016-05-25,1464148800,2016-08-04,1470283200,1.6758520999999997
2016-05-26,1464235200,2016-08-05,1470369600,3.4514659000000005
2016-06-07,1465272000,2016-08-08,1470628800,2.2455541
2016-06-29,1467172800,2016-08-15,1471233600,1.8622459
2016-06-30,1467259200,2016-08-16,1471320000,0.4797540999999996
2016-07-06,1467777600,2016-08-25,1472097600,-0.0997540999999999
2016-07-27,1469592000,2016-09-01,1472702400,-1.7002459
2016-08-03,1470196800,2016-09-06,1473134400,-0.29975409999999986
2016-08-05,1470369600,2016-09-08,1473307200,0.29975409999999986
2016-08-08,1470628800,2016-09-09,1473393600,-1.2563479
2016-08-09,1470715200,2016-09-13,1473739200,0.1934658999999999
2016-08-16,1471320000,2016-09-14,1473825600,-1.3744459
2016-08-17,1471406400,2016-09-20,1474344000,0.06224590000000002
2016-08-26,1472184000,2016-09-22,1474516800,-0.5636521000000001
2016-09-02,1472788800,2016-10-06,1475726400,0.006534100000000043
2016-09-07,1473220800,2016-10-07,1475812800,-1.5821479000000003
2016-09-09,1473393600,2016-10-10,1476072000,-0.16853409999999996
2016-09-12,1473652800,2016-10-11,1476158400,0.4455541000000001
2016-09-14,1473825600,2016-10-24,1477281600,-0.13775409999999993
2016-09-15,1473912000,2016-10-27,1477540800,1.4363478999999997
2016-09-21,1474430400,2016-10-31,1477886400,0.9631279000000001
2016-09-23,1474603200,2016-11-04,1478232000,-0.5192659
2016-10-07,1475812800,2016-11-10,1478754000,1.0124459000000003
2016-10-10,1476072000,2016-11-14,1479099600,2.7143479000000004
2016-10-11,1476158400,2016-11-23,1479877200,2.3831279000000003
2016-10-12,1476244800,2016-11-29,1480395600,4.2373278999999995
2016-10-25,1477368000,2016-12-01,1480568400,3.1187340999999997
2016-10-28,1477627200,2016-12-02,1480654800,2.8324459
2016-11-01,1477972800,2016-12-05,1480914000,1.5577541
2016-11-07,1478494800,2016-12-09,1481259600,3.3202459
2016-11-11,1478840400,2016-12-13,1481605200,3.0563479
2016-11-15,1479186000,2016-12-16,1481864400,1.8065341
2016-11-25,1480050000,2017-01-06,1483678800,1.3744459
2016-11-30,1480482000,2017-01-09,1483938000,-0.06224590000000002
2016-12-02,1480654800,2017-01-23,1485147600,1.5202459000000004
2016-12-05,1480914000,2017-01-30,1485752400,1.0563479
2016-12-06,1481000400,2017-02-02,1486011600,1.8065341
2016-12-12,1481518800,2017-02-03,1486098000,1.3744459
2016-12-14,1481691600,2017-02-06,1486357200,-0.06224590000000002
2016-12-19,1482123600,2017-02-10,1486702800,1.5202459000000004
2017-01-09,1483938000,2017-02-16,1487221200,1.0563479
2017-01-10,1484024400,2017-02-17,1487307600,2.7631279
2017-01-24,1485234000,2017-02-24,1487912400,2.4373279
2017-01-31,1485838800,2017-03-10,1489122000,2.0753279000000004
2017-02-03,1486098000,2017-03-20,1489982400,3.8953279000000003
2017-02-06,1486357200,2017-03-29,1490760000,2.7387341
2017-02-07,1486443600,2017-03-31,1490932800,4.6324459000000004
2017-02-13,1486962000,2017-04-03,1491192000,3.5577541000000004
2017-02-17,1487307600,2017-04-11,1491883200,3.3202459
2017-02-21,1487653200,2017-04-13,1492056000,2.0997540999999997
2017-02-27,1488171600,2017-04-21,1492747200,1.7002459
2017-03-13,1489377600,2017-04-25,1493092800,1.2563479
2017-03-21,1490068800,2017-05-09,1494302400,-0.1934658999999999
2017-03-30,1490846400,2017-05-10,1494388800,1.3744459
2017-04-03,1491192000,2017-05-15,1494820800,-0.06224590000000002
2017-04-04,1491278400,2017-05-16,1494907200,0.5636521000000001
2017-04-12,1491969600,2017-05-17,1494993600,-0.9631279000000001
2017-04-17,1492401600,2017-05-18,1495080000,0.5192659
2017-04-24,1493006400,2017-05-19,1495166400,-1.0124459000000003
2017-04-26,1493179200,2017-05-24,1495598400,-1.7577541
2017-05-10,1494388800,2017-05-31,1496203200,-0.3636521
2017-05-11,1494475200,2017-06-14,1497412800,-1.0368720999999996
2017-05-16,1494907200,2017-06-19,1497844800,0.43732790000000016
2017-05-17,1494993600,2017-06-28,1498622400,1.1187341000000002
2017-05-18,1495080000,2017-06-29,1498708800,1.8758521
2017-05-19,1495166400,2017-07-14,1500004800,1.4514659
2017-05-22,1495425600,2017-07-27,1501128000,3.2021479000000004
2017-05-25,1495684800,2017-07-31,1501473600,1.9685340999999998
2017-06-01,1496289600,2017-08-07,1502078400,1.5544458999999997
2017-06-15,1497499200,2017-08-11,1502424000,0.13775409999999993
2017-06-20,1497931200,2017-08-16,1502856000,-0.4797540999999996
2017-06-29,1498708800,2017-08-21,1503288000,0.0997540999999999
2017-06-30,1498795200,2017-08-22,1503374400,1.7002459
2017-07-17,1500264000,2017-08-28,1503892800,0.29975409999999986
2017-07-28,1501214400,2017-09-05,1504584000,-0.29975409999999986
2017-08-01,1501560000,2017-09-06,1504670400,0.29975409999999986
2017-08-08,1502164800,2017-09-08,1504843200,-0.29975409999999986
2017-08-14,1502683200,2017-09-11,1505102400,1.2563479
2017-08-17,1502942400,2017-09-12,1505188800,0.7631279000000002
2017-08-22,1503374400,2017-09-13,1505275200,1.4807340999999998
2017-08-23,1503460800,2017-09-20,1505880000,1.0124459000000003
2017-08-29,1503979200,2017-09-26,1506398400,1.7577541
2017-09-06,1504670400,2017-09-27,1506484800,1.3202459000000002
2017-09-07,1504756800,2017-09-29,1506657600,2.0997540999999997
2017-09-11,1505102400,2017-10-03,1507003200,1.7002459
2017-09-12,1505188800,2017-10-04,1507089600,0.29975409999999986
2017-09-13,1505275200,2017-10-05,1507176000,-1.2563479
2017-09-14,1505361600,2017-10-06,1507262400,-0.7631279000000002
2017-09-21,1505966400,2017-10-09,1507521600,-1.4807340999999998
2017-09-27,1506484800,2017-10-11,1507694400,-1.0124459000000003
2017-09-28,1506571200,2017-10-12,1507780800,-1.7577541
2017-10-02,1506916800,2017-10-18,1508299200,-1.3202459000000002
2017-10-04,1507089600,2017-10-25,1508904000,-2.0997540999999997
2017-10-05,1507176000,2017-10-31,1509422400,-0.7436520999999998
2017-10-06,1507262400,2017-11-01,1509508800,-0.1934658999999999
2017-10-09,1507521600,2017-11-02,1509595200,1.3744459
2017-10-10,1507608000,2017-11-14,1510635600,-0.06224590000000002
2017-10-12,1507780800,2017-11-27,1511758800,0.5636521000000001
2017-10-13,1507867200,2017-11-29,1511931600,-0.006534100000000043
2017-10-19,1508385600,2017-11-30,1512018000,1.5821479000000003
2017-10-26,1508990400,2017-12-01,1512104400,0.16853409999999996
2017-11-01,1509508800,2017-12-14,1513227600,-0.4455541000000001
2017-11-02,1509595200,2017-12-18,1513573200,1.0943479
2017-11-03,1509681600,2017-12-19,1513659600,-0.37346589999999963
2017-11-15,1510722000,2017-12-28,1514437200,1.1744459000000003
2017-11-28,1511845200,2017-12-29,1514523600,2.8943479
2017-11-30,1512018000,2018-01-03,1514955600,1.6265341000000002
2017-12-01,1512104400,2018-01-25,1516856400,1.1744459000000003
2017-12-04,1512363600,2018-01-26,1516942800,2.8943479
2017-12-15,1513314000,2018-02-02,1517547600,1.6265341000000002
2017-12-19,1513659600,2018-02-05,1517806800,0.21785210000000005
2017-12-20,1513746000,2018-02-07,1517979600,0.8748720999999997
2017-12-29,1514523600,2018-02-13,1518498000,-0.6173279
2018-01-02,1514869200,2018-02-22,1519275600,-1.3187341
2018-01-04,1515042000,2018-03-08,1520485200,0.12414789999999981
2018-01-26,1516942800,2018-03-13,1520913600,-0.49487209999999987
2018-01-29,1517202000,2018-03-15,1521086400,-2.1392659000000003
2018-02-05,1517806800,2018-03-16,1521172800,-0.7875540999999999
2018-02-06,1517893200,2018-03-21,1521604800,-0.24224589999999985
2018-02-08,1518066000,2018-04-02,1522641600,0.3636521
2018-02-14,1518584400,2018-04-10,1523332800,1.9934659
2018-02-23,1519362000,2018-05-01,1525147200,0.6255541
2018-03-09,1520571600,2018-05-02,1525233600,-0.8943479000000001
2018-03-14,1521000000,2018-05-03,1525320000,-1.6265341000000002
2018-03-16,1521172800,2018-06-08,1528430400,-0.21785210000000005
2018-03-19,1521432000,2018-06-26,1529985600,-0.8748720999999997
2018-03-22,1521691200,2018-06-27,1530072000,-0.3392659000000002
2018-04-03,1522728000,2018-07-11,1531281600,1.2124459
2018-04-11,1523419200,2018-07-13,1531454400,0.7143479000000004
2018-05-02,1525233600,2018-07-19,1531972800,1.4265341
2018-05-03,1525320000,2018-07-24,1532404800,2.2178520999999995
2018-05-04,1525406400,2018-07-25,1532491200,1.8314659
2018-06-11,1528689600,2018-07-26,1532577600,1.4021479000000003
2018-06-27,1530072000,2018-08-01,1533096000,0.9251279000000001
2018-06-28,1530158400,2018-08-02,1533182400,2.6173279
2018-07-12,1531368000,2018-08-03,1533268800,1.3187341
2018-07-16,1531713600,2018-08-06,1533528000,0.8324459000000004
2018-07-20,1532059200,2018-08-08,1533700800,1.5577541
2018-07-25,1532491200,2018-08-09,1533787200,3.3202459
2018-07-26,1532577600,2018-08-10,1533873600,2.0997540999999997
2018-07-27,1532664000,2018-08-16,1534392000,1.7002459
2018-08-02,1533182400,2018-08-20,1534737600,1.2563479
2018-08-03,1533268800,2018-09-05,1536120000,-0.1934658999999999
2018-08-06,1533528000,2018-09-21,1537502400,1.3744459
2018-08-07,1533614400,2018-09-25,1537848000,-0.06224590000000002
2018-08-09,1533787200,2018-10-05,1538712000,0.5636521000000001
2018-08-10,1533873600,2018-10-09,1539057600,-0.006534100000000043
2018-08-13,1534132800,2018-10-10,1539144000,0.6255541
2018-08-17,1534478400,2018-10-15,1539576000,-0.8943479000000001
2018-08-21,1534824000,2018-10-22,1540180800,-1.6265341000000002
2018-09-06,1536206400,2018-10-23,1540267200,-1.1744459000000003
2018-09-24,1537761600,2018-10-25,1540440000,-2.8943479
2018-09-26,1537934400,2018-10-29,1540785600,-1.6265341000000002
2018-10-08,1538971200,2018-11-01,1541044800,-0.21785210000000005
2018-10-10,1539144000,2018-11-02,1541131200,-1.8314659
