start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,3.1835,3.4063032433867333,2016-03-15,1458014400,
2016-03-15,1458014400,2.9606967566132667,3.1835,2016-03-15,1458014400,-1.0
2016-03-16,1458100800,3.1835,3.405303011716252,2016-03-30,1459310400,1.0
2016-03-31,1459396800,3.405303011716252,3.606435098292193,2016-04-01,1459483200,1.0
2016-04-04,1459742400,3.1995329982910783,3.405303011716252,2016-04-04,1459742400,-1.0
2016-04-05,1459828800,3.405303011716252,3.606789452753913,2016-04-06,1459915200,1.0
2016-04-07,1460001600,3.2100917436786767,3.405303011716252,2016-04-14,1460606400,-1.0
2016-04-15,1460692800,2.945019587643407,3.2100917436786767,2016-04-15,1460692800,-1.0
2016-04-18,1460952000,2.6817811570392283,2.945019587643407,2016-05-02,1462161600,-1.0
2016-05-03,1462248000,2.4728612104667484,2.6817811570392283,2016-05-05,1462420800,-1.0
2016-05-06,1462507200,2.6817811570392283,2.868406784816101,2016-05-10,1462852800,1.0
2016-05-11,1462939200,2.5087292968986348,2.6817811570392283,2016-05-11,1462939200,-1.0
2016-05-12,1463025600,2.3287525696252267,2.5087292968986348,2016-05-13,1463112000,-1.0
2016-05-16,1463371200,2.5087292968986348,2.6807561688843795,2016-05-16,1463371200,1.0
2016-05-17,1463457600,2.339861487197586,2.5087292968986348,2016-05-19,1463630400,-1.0
2016-05-20,1463716800,2.5087292968986348,2.6719340264588403,2016-06-10,1465531200,1.0
2016-06-13,1465790400,2.3821145202685643,2.5087292968986348,2016-06-13,1465790400,-1.0
2016-06-14,1465876800,2.5087292968986348,2.6466144466265575,2016-06-17,1466136000,1.0
2016-06-20,1466395200,2.6466144466265575,2.776321666570831,2016-06-21,1466481600,1.0
2016-06-22,1466568000,2.521008731470526,2.6466144466265575,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,2.6466144466265575,2.7707054678428724,2016-06-23,1466654400,1.0
2016-06-24,1466740800,2.510172784068551,2.6466144466265575,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,2.362262668836116,2.510172784068551,2016-07-07,1467864000,-1.0
2016-07-08,1467950400,2.510172784068551,2.65408744331342,2016-07-18,1468814400,1.0
2016-07-19,1468900800,2.288451569270721,2.510172784068551,2016-07-19,1468900800,-1.0
2016-07-20,1468987200,2.0745961555298793,2.288451569270721,2016-07-20,1468987200,-1.0
2016-07-21,1469073600,1.8702304141990977,2.0745961555298793,2016-07-25,1469419200,-1.0
2016-07-26,1469505600,2.0745961555298793,2.2623673412819665,2016-08-02,1470110400,1.0
2016-08-03,1470196800,1.924279964528356,2.0745961555298793,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,2.0745961555298793,2.2403616467505807,2016-09-20,1474344000,1.0
2016-09-21,1474430400,2.2403616467505807,2.3510764734216,2016-09-27,1474948800,1.0
2016-09-28,1475035200,2.3510764734216,2.457895145959759,2016-09-28,1475035200,1.0
2016-09-29,1475121600,2.244944848921881,2.3510764734216,2016-10-10,1476072000,-1.0
2016-10-11,1476158400,2.1426234931354773,2.244944848921881,2016-10-13,1476331200,-1.0
2016-10-14,1476417600,2.038977932398331,2.1426234931354773,2016-10-14,1476417600,-1.0
2016-10-17,1476676800,2.1426234931354773,2.246065799534256,2016-10-27,1477540800,1.0
2016-10-28,1477627200,2.246065799534256,2.3760880159825666,2016-11-02,1478059200,1.0
2016-11-03,1478145600,2.1094392865193607,2.246065799534256,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,2.246065799534256,2.3848192724909767,2016-11-09,1478667600,1.0
2016-11-10,1478754000,2.3848192724909767,2.5336422244173304,2016-11-10,1478754000,1.0
2016-11-11,1478840400,2.5336422244173304,2.6930492512060877,2016-11-29,1480395600,1.0
2016-11-30,1480482000,2.6930492512060877,2.831187229135561,2016-11-30,1480482000,1.0
2016-12-01,1480568400,2.545492557414434,2.6930492512060877,2016-12-01,1480568400,-1.0
2016-12-02,1480654800,2.6930492512060877,2.8442090382983376,2016-12-06,1481000400,1.0
2016-12-07,1481086800,2.8442090382983376,2.994947176870376,2016-12-09,1481259600,1.0
2016-12-12,1481518800,2.6873412210815855,2.8442090382983376,2016-12-12,1481518800,-1.0
2016-12-13,1481605200,2.8442090382983376,2.9982291542853217,2016-12-13,1481605200,1.0
2016-12-14,1481691600,2.6893617877389953,2.8442090382983376,2016-12-16,1481864400,-1.0
2016-12-19,1482123600,2.8442090382983376,2.995955907641951,2016-12-21,1482296400,1.0
2016-12-22,1482382800,2.6915242453144024,2.8442090382983376,2016-12-22,1482382800,-1.0
2016-12-23,1482469200,2.8442090382983376,2.997559203211992,2016-12-29,1482987600,1.0
2016-12-30,1483074000,2.701461712702261,2.8442090382983376,2016-12-30,1483074000,-1.0
2017-01-03,1483419600,2.8442090382983376,2.9857601263518374,2017-01-06,1483678800,1.0
2017-01-09,1483938000,2.7072110003481082,2.8442090382983376,2017-01-09,1483938000,-1.0
2017-01-10,1484024400,2.8442090382983376,2.976564359252122,2017-01-11,1484110800,1.0
2017-01-12,1484197200,2.7093312360473707,2.8442090382983376,2017-01-24,1485234000,-1.0
2017-01-25,1485320400,2.8442090382983376,2.985381396601201,2017-01-26,1485406800,1.0
2017-01-27,1485493200,2.6484634844555623,2.8442090382983376,2017-01-27,1485493200,-1.0
2017-01-30,1485752400,2.442914041601557,2.6484634844555623,2017-02-09,1486616400,-1.0
2017-02-10,1486702800,2.6484634844555623,2.8229842891025823,2017-02-24,1487912400,1.0
2017-02-27,1488171600,2.4986413195935984,2.6484634844555623,2017-02-28,1488258000,-1.0
2017-03-01,1488344400,2.6484634844555623,2.7973917796681738,2017-03-02,1488430800,1.0
2017-03-03,1488517200,2.4953008217467287,2.6484634844555623,2017-03-07,1488862800,-1.0
2017-03-08,1488949200,2.347712275838818,2.4953008217467287,2017-03-10,1489122000,-1.0
2017-03-13,1489377600,2.4953008217467287,2.6331576130585654,2017-03-20,1489982400,1.0
2017-03-21,1490068800,2.3626224874622395,2.4953008217467287,2017-03-21,1490068800,-1.0
2017-03-22,1490155200,2.4953008217467287,2.6307164178680402,2017-03-27,1490587200,1.0
2017-03-28,1490673600,2.3710584477145344,2.4953008217467287,2017-03-28,1490673600,-1.0
2017-03-29,1490760000,2.4953008217467287,2.6222401690623376,2017-04-04,1491278400,1.0
2017-04-05,1491364800,2.375047121125607,2.4953008217467287,2017-04-13,1492056000,-1.0
2017-04-17,1492401600,2.4953008217467287,2.605454931709124,2017-04-17,1492401600,1.0
2017-04-18,1492488000,2.3801577196387904,2.4953008217467287,2017-05-01,1493611200,-1.0
2017-05-02,1493697600,2.2388063932865694,2.3801577196387904,2017-05-03,1493784000,-1.0
2017-05-04,1493870400,2.3801577196387904,2.517511669401675,2017-05-08,1494216000,1.0
2017-05-09,1494302400,2.2491669661296587,2.3801577196387904,2017-05-09,1494302400,-1.0
2017-05-10,1494388800,2.3801577196387904,2.509506276468698,2017-05-16,1494907200,1.0
