start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,122.63,127.74586589290986,2016-04-04,1459742400,
2016-04-05,1459828800,118.28056152257346,122.63,2016-04-05,1459828800,-1.0
2016-04-06,1459915200,122.63,127.10590715761035,2016-04-12,1460433600,1.0
2016-04-13,1460520000,127.10590715761035,131.50998441015136,2016-04-28,1461816000,1.0
2016-04-29,1461902400,123.27051041972076,127.10590715761035,2016-04-29,1461902400,-1.0
2016-05-02,1462161600,127.10590715761035,130.82163269993637,2016-05-02,1462161600,1.0
2016-05-03,1462248000,123.24416201116473,127.10590715761035,2016-05-05,1462420800,-1.0
2016-05-06,1462507200,127.10590715761035,130.83885689767632,2016-05-23,1463976000,1.0
2016-05-24,1464062400,130.83885689767632,134.28970760560503,2016-05-24,1464062400,1.0
2016-05-25,1464148800,127.35163838317109,130.83885689767632,2016-06-02,1464840000,-1.0
2016-06-03,1464926400,123.73895781204686,127.35163838317109,2016-06-06,1465185600,-1.0
2016-06-07,1465272000,127.35163838317109,130.71727622255884,2016-06-09,1465444800,1.0
2016-06-10,1465531200,123.82514190608113,127.35163838317109,2016-06-10,1465531200,-1.0
2016-06-13,1465790400,120.31525232021188,123.82514190608113,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,123.82514190608113,127.33006896926265,2016-06-23,1466654400,1.0
2016-06-24,1466740800,119.90842391884114,123.82514190608113,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,116.00147150211829,119.90842391884114,2016-06-27,1467000000,-1.0
2016-06-28,1467086400,119.90842391884114,123.87573687722664,2016-06-29,1467172800,1.0
2016-06-30,1467259200,123.87573687722664,128.0147873362427,2016-07-07,1467864000,1.0
2016-07-08,1467950400,128.0147873362427,131.98501114938503,2016-07-20,1468987200,1.0
2016-07-21,1469073600,124.30068665662482,128.0147873362427,2016-08-01,1470024000,-1.0
2016-08-02,1470110400,120.8221212800028,124.30068665662482,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,124.30068665662482,127.66670784191584,2016-08-05,1470369600,1.0
2016-08-08,1470628800,120.92952412742602,124.30068665662482,2016-08-08,1470628800,-1.0
2016-08-09,1470715200,124.30068665662482,127.65219471945228,2016-08-11,1470888000,1.0
2016-08-12,1470974400,120.9645324241059,124.30068665662482,2016-08-22,1471838400,-1.0
2016-08-23,1471924800,124.30068665662482,127.4724579023832,2016-08-25,1472097600,1.0
2016-08-26,1472184000,121.1983938625537,124.30068665662482,2016-08-26,1472184000,-1.0
