unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,48.93,49.28,48.5,49.25,2839054.0
1451970000,2016-01-05,49.12,49.64,48.95,49.33,1635900.0
1452056400,2016-01-06,48.4,48.44,47.51,47.69,2483850.0
1452142800,2016-01-07,46.9,46.98,45.37,45.53,3387729.0
1452229200,2016-01-08,46.0,46.0,44.25,44.34,2138225.0
1452488400,2016-01-11,44.59,44.94,43.44,44.19,3355471.0
1452574800,2016-01-12,44.58,44.98,43.97,44.87,2789405.0
1452661200,2016-01-13,45.19,45.34,42.89,42.95,2437693.0
1452747600,2016-01-14,43.41,44.03,42.45,43.43,3863267.0
1452834000,2016-01-15,41.96,42.28,40.66,41.56,4715080.0
1453179600,2016-01-19,42.22,42.29,41.4,41.99,5189840.0
1453266000,2016-01-20,40.9,42.18,40.23,41.68,6408317.0
1453352400,2016-01-21,41.74,42.31,41.01,41.15,2998881.0
1453438800,2016-01-22,41.97,42.61,41.69,42.21,2993314.0
1453698000,2016-01-25,41.9,42.03,40.97,41.0,3759839.0
1453784400,2016-01-26,41.28,42.4,41.2,42.29,3448725.0
1453870800,2016-01-27,40.64,41.2,39.14,39.25,6484076.0
1453957200,2016-01-28,39.39,39.82,38.36,39.3,4738729.0
1454043600,2016-01-29,39.65,42.21,39.63,42.14,6414302.0
1454302800,2016-02-01,41.7,41.84,41.05,41.43,3748602.0
1454389200,2016-02-02,40.44,40.45,39.46,40.05,5163877.0
1454475600,2016-02-03,40.62,40.76,39.09,40.66,5369439.0
1454562000,2016-02-04,40.59,42.46,40.37,41.67,4029396.0
1454648400,2016-02-05,41.54,42.33,40.82,41.15,3379990.0
1454907600,2016-02-08,40.47,40.75,39.66,40.5,4167914.0
1454994000,2016-02-09,39.44,40.79,39.44,40.38,4362092.0
1455080400,2016-02-10,40.73,41.63,40.6,40.62,2715410.0
1455166800,2016-02-11,38.89,40.13,38.89,39.6,3894316.0
1455253200,2016-02-12,40.47,41.51,39.97,41.34,2718391.0
1455598800,2016-02-16,41.74,43.3,41.6,42.83,3516774.0
1455685200,2016-02-17,43.25,43.88,42.65,42.78,3191555.0
1455771600,2016-02-18,42.86,43.01,41.69,42.02,3412576.0
1455858000,2016-02-19,41.73,43.03,41.4,42.48,4949701.0
1456117200,2016-02-22,42.83,43.59,42.28,42.96,4010806.0
