unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,24.42,25.41,24.22,25.4,6839339.0
1451970000,2016-01-05,25.52,25.81,25.15,25.65,6209367.0
1452056400,2016-01-06,25.08,25.27,24.44,24.75,4829071.0
1452142800,2016-01-07,24.29,25.12,24.23,24.83,5380685.0
1452229200,2016-01-08,24.92,25.1,24.06,24.12,5057842.0
1452488400,2016-01-11,24.16,24.83,24.14,24.74,4370754.0
1452574800,2016-01-12,25.07,25.27,24.04,24.6,4205689.0
1452661200,2016-01-13,24.71,24.87,23.7,23.8,4995932.0
1452747600,2016-01-14,23.85,24.27,23.02,23.98,4393028.0
1452834000,2016-01-15,23.33,23.89,22.92,23.73,6254657.0
1453179600,2016-01-19,23.92,24.27,23.24,23.52,4961523.0
1453266000,2016-01-20,23.21,23.86,22.69,23.75,8685941.0
1453352400,2016-01-21,23.84,24.88,23.72,24.51,5153861.0
1453438800,2016-01-22,25.03,25.25,24.07,24.48,5372308.0
1453698000,2016-01-25,24.2,24.29,22.78,22.91,11059405.0
1453784400,2016-01-26,24.75,25.64,24.23,25.16,17007908.0
1453870800,2016-01-27,25.18,26.62,25.12,25.81,11787059.0
1453957200,2016-01-28,26.25,27.09,26.07,27.04,8990302.0
1454043600,2016-01-29,27.33,27.99,27.19,27.97,13796306.0
1454302800,2016-02-01,27.72,28.3,27.56,28.09,6114538.0
1454389200,2016-02-02,28.16,28.51,27.73,28.05,5205330.0
1454475600,2016-02-03,28.2,28.33,26.68,27.5,10619872.0
1454562000,2016-02-04,27.1,27.39,26.76,27.25,5658562.0
1454648400,2016-02-05,27.02,27.12,26.23,26.46,6880672.0
1454907600,2016-02-08,26.18,26.26,25.49,25.99,6429522.0
1454994000,2016-02-09,25.64,26.22,25.32,25.71,3715011.0
1455080400,2016-02-10,25.84,25.92,25.28,25.4,3963457.0
1455166800,2016-02-11,25.05,25.56,24.88,25.39,5653613.0
1455253200,2016-02-12,25.73,26.15,25.38,26.07,5279939.0
1455598800,2016-02-16,26.26,26.93,26.24,26.86,4814065.0
1455685200,2016-02-17,27.16,27.31,26.8,27.16,4358745.0
1455771600,2016-02-18,26.91,27.6,26.77,27.41,4143735.0
1455858000,2016-02-19,27.5,27.5,26.57,27.04,3534643.0
1456117200,2016-02-22,27.21,27.59,27.19,27.31,4965734.0
1456203600,2016-02-23,27.35,28.99,27.31,27.9,5124739.0
1456290000,2016-02-24,27.74,28.7,27.74,28.6,6990564.0
1456376400,2016-02-25,28.66,29.48,28.48,29.37,7142168.0
1456462800,2016-02-26,29.27,29.44,28.91,29.12,3521865.0
1456722000,2016-02-29,29.22,29.61,29.06,29.4,5543775.0
1456808400,2016-03-01,29.44,29.85,29.39,29.69,3998446.0
1456894800,2016-03-02,29.45,29.74,29.2,29.6,2960189.0
1456981200,2016-03-03,29.61,29.77,29.33,29.54,2292051.0
1457067600,2016-03-04,29.57,30.0,29.2,29.53,2954313.0
1457326800,2016-03-07,29.41,29.86,29.26,29.84,3793797.0
1457413200,2016-03-08,29.56,29.89,29.24,29.29,3299074.0
1457499600,2016-03-09,29.52,29.71,29.08,29.55,3492927.0
1457586000,2016-03-10,29.45,30.12,29.41,29.77,4488310.0
1457672400,2016-03-11,30.0,30.32,29.84,30.2,3977550.0
1457928000,2016-03-14,30.11,30.42,29.87,30.0,4063556.0
1458014400,2016-03-15,29.7,29.81,29.3,29.59,3034660.0
1458100800,2016-03-16,29.59,29.82,29.25,29.71,1494355.0
1458187200,2016-03-17,29.68,30.41,29.59,30.25,3395358.0
1458273600,2016-03-18,30.29,30.29,29.72,29.9,4121189.0
1458532800,2016-03-21,29.85,30.13,29.73,30.01,2595059.0
1458619200,2016-03-22,29.83,29.93,29.47,29.59,3001033.0
1458705600,2016-03-23,29.45,29.94,29.32,29.51,2170692.0
1458792000,2016-03-24,29.48,29.48,28.98,29.45,1937227.0
1459137600,2016-03-28,29.45,29.89,29.27,29.65,1979611.0
1459224000,2016-03-29,29.59,30.12,29.54,30.01,3342733.0
1459310400,2016-03-30,30.22,30.87,30.14,30.7,4544279.0
1459396800,2016-03-31,30.7,31.11,30.33,30.53,3562416.0
1459483200,2016-04-01,30.11,30.94,30.11,30.86,2815203.0
1459742400,2016-04-04,30.93,31.14,30.45,30.57,2509123.0
1459828800,2016-04-05,30.35,30.51,30.22,30.24,2085339.0
1459915200,2016-04-06,30.32,30.78,30.11,30.69,2662978.0
1460001600,2016-04-07,31.11,31.56,30.36,30.7,7826355.0
1460088000,2016-04-08,30.72,30.72,29.55,29.68,6012459.0
1460347200,2016-04-11,29.76,30.14,29.45,29.93,5320137.0
1460433600,2016-04-12,29.81,30.05,29.29,29.71,3543019.0
1460520000,2016-04-13,29.71,30.08,29.25,30.04,2965600.0
1460606400,2016-04-14,30.06,30.22,29.45,29.49,2747466.0
1460692800,2016-04-15,29.46,30.01,29.39,29.68,2616402.0
1460952000,2016-04-18,29.53,30.21,29.52,30.19,2587967.0
1461038400,2016-04-19,30.51,30.9,30.12,30.51,4961779.0
1461124800,2016-04-20,30.45,30.98,30.28,30.83,4797083.0
1461211200,2016-04-21,30.89,31.0,30.21,30.45,3482426.0
1461297600,2016-04-22,30.67,30.99,30.43,30.67,3813484.0
1461556800,2016-04-25,30.83,30.83,30.39,30.6,7085594.0
1461643200,2016-04-26,30.86,31.98,29.74,31.88,10952276.0
1461729600,2016-04-27,31.72,32.08,31.36,31.98,4928328.0
1461816000,2016-04-28,31.77,31.96,31.27,31.38,4396576.0
1461902400,2016-04-29,31.34,31.34,30.32,30.67,4812036.0
1462161600,2016-05-02,30.83,31.58,30.72,31.48,3542394.0
1462248000,2016-05-03,31.24,31.44,30.79,31.0,3224912.0
1462334400,2016-05-04,30.89,31.28,30.69,30.78,3188043.0
1462420800,2016-05-05,30.77,30.86,30.02,30.17,3199746.0
1462507200,2016-05-06,30.14,30.45,29.79,30.39,2983148.0
1462766400,2016-05-09,30.38,31.1,30.22,30.99,4514861.0
1462852800,2016-05-10,30.88,31.02,30.55,30.92,3803620.0
1462939200,2016-05-11,30.13,30.13,29.06,29.07,6474934.0
1463025600,2016-05-12,29.09,29.23,28.64,28.94,6520899.0
1463112000,2016-05-13,28.74,28.95,27.9,28.4,7960002.0
1463371200,2016-05-16,28.49,28.9,28.27,28.67,3731104.0
1463457600,2016-05-17,28.56,29.1,28.25,28.85,4630690.0
1463544000,2016-05-18,28.73,28.81,28.3,28.46,3444237.0
1463630400,2016-05-19,28.62,29.1,28.56,29.01,3702474.0
1463716800,2016-05-20,29.1,29.87,28.94,29.8,4709309.0
1463976000,2016-05-23,29.74,30.06,29.57,29.61,2993582.0
1464062400,2016-05-24,29.71,30.13,29.68,30.06,2778047.0
1464148800,2016-05-25,29.89,30.16,29.71,30.09,2955648.0
1464235200,2016-05-26,30.31,30.51,29.83,29.95,2872275.0
1464321600,2016-05-27,29.96,30.19,29.83,30.16,2847148.0
1464667200,2016-05-31,30.19,30.36,29.61,30.02,5686290.0
1464753600,2016-06-01,30.27,30.58,29.86,30.21,4336891.0
1464840000,2016-06-02,30.19,30.62,29.95,30.54,3945107.0
1464926400,2016-06-03,30.38,30.48,29.72,29.8,5219468.0
1465185600,2016-06-06,29.81,29.88,29.25,29.48,4213324.0
1465272000,2016-06-07,29.29,30.15,29.19,30.07,2958851.0
1465358400,2016-06-08,30.14,30.27,29.91,30.12,1920221.0
1465444800,2016-06-09,29.78,29.82,29.17,29.68,4118850.0
1465531200,2016-06-10,29.44,29.48,28.82,29.07,3442057.0
1465790400,2016-06-13,28.94,29.27,28.83,29.03,2430196.0
1465876800,2016-06-14,28.9,29.27,28.49,28.76,2420541.0
1465963200,2016-06-15,28.95,29.68,28.85,29.43,3331430.0
1466049600,2016-06-16,29.33,29.52,29.08,29.41,2310301.0
1466136000,2016-06-17,29.38,29.84,29.22,29.83,3390624.0
1466395200,2016-06-20,30.13,30.54,30.11,30.26,2615448.0
1466481600,2016-06-21,30.34,31.07,30.32,31.04,6259130.0
1466568000,2016-06-22,31.0,31.27,30.81,30.94,3208599.0
1466654400,2016-06-23,31.18,31.38,30.94,31.05,2699294.0
1466740800,2016-06-24,29.98,30.32,29.38,29.55,5603030.0
1467000000,2016-06-27,29.2,29.25,28.23,28.73,5334033.0
1467086400,2016-06-28,29.05,29.82,29.05,29.6,2995139.0
1467172800,2016-06-29,30.0,30.69,29.98,30.61,4188430.0
1467259200,2016-06-30,30.64,31.29,30.49,31.29,4511453.0
1467345600,2016-07-01,31.47,31.72,31.2,31.28,4218991.0
1467691200,2016-07-05,31.18,31.3,30.63,30.7,3528305.0
1467777600,2016-07-06,30.67,30.78,30.1,30.74,5037902.0
1467864000,2016-07-07,30.9,31.17,30.81,31.16,2782671.0
1467950400,2016-07-08,31.34,32.01,31.28,31.92,5203986.0
1468209600,2016-07-11,32.1,32.44,31.96,32.24,3741549.0
1468296000,2016-07-12,32.18,32.75,32.18,32.71,3945515.0
1468382400,2016-07-13,32.57,32.74,32.15,32.27,2262879.0
1468468800,2016-07-14,32.39,32.63,32.27,32.4,2067108.0
1468555200,2016-07-15,32.52,32.65,32.38,32.49,2230983.0
1468814400,2016-07-18,32.88,33.5,32.71,33.31,5253917.0
1468900800,2016-07-19,33.1,33.24,32.74,33.24,2968514.0
1468987200,2016-07-20,33.23,33.24,33.01,33.06,1808959.0
1469073600,2016-07-21,33.06,33.16,32.75,32.81,2243386.0
1469160000,2016-07-22,32.71,33.04,32.51,32.97,1973231.0
1469419200,2016-07-25,32.99,33.29,32.93,33.23,2670593.0
1469505600,2016-07-26,33.11,33.46,32.89,33.13,2668999.0
1469592000,2016-07-27,33.47,33.57,32.82,33.1,4337986.0
1469678400,2016-07-28,33.06,33.06,32.63,32.87,3351941.0
1469764800,2016-07-29,32.86,33.35,32.55,33.11,6808192.0
1470024000,2016-08-01,33.48,33.48,32.93,33.38,4503658.0
1470110400,2016-08-02,33.27,33.33,31.94,32.0,4446645.0
1470196800,2016-08-03,30.31,32.14,30.23,32.07,6057334.0
1470283200,2016-08-04,32.15,32.46,31.75,31.8,3169875.0
1470369600,2016-08-05,32.26,32.4,31.96,32.28,4626722.0
1470628800,2016-08-08,32.38,32.44,31.67,31.83,9559300.0
1470715200,2016-08-09,30.74,32.18,30.72,31.12,10470540.0
1470801600,2016-08-10,31.27,31.34,30.2,30.41,6592399.0
1470888000,2016-08-11,30.9,31.12,30.47,30.62,4585066.0
1470974400,2016-08-12,30.49,30.68,30.08,30.21,4501849.0
1471233600,2016-08-15,30.34,30.69,30.16,30.51,4733956.0
1471320000,2016-08-16,30.41,30.46,30.17,30.3,3013887.0
1471406400,2016-08-17,30.28,30.4,29.85,30.12,3555731.0
1471492800,2016-08-18,30.24,30.36,30.11,30.31,2281923.0
1471579200,2016-08-19,30.33,31.03,30.29,30.96,5027734.0
1471838400,2016-08-22,30.81,30.97,30.48,30.54,2641759.0
1471924800,2016-08-23,30.78,31.19,30.58,31.08,3590990.0
1472011200,2016-08-24,30.93,31.04,30.57,30.62,2799888.0
1472097600,2016-08-25,30.6,30.97,30.45,30.59,2954187.0
1472184000,2016-08-26,30.56,30.75,29.68,29.88,3284543.0
1472443200,2016-08-29,30.04,30.25,29.88,29.95,3499782.0
1472529600,2016-08-30,29.83,29.92,29.55,29.64,2049472.0
1472616000,2016-08-31,29.58,29.78,29.11,29.32,3138759.0
1472702400,2016-09-01,29.26,29.53,29.2,29.48,2559672.0
1472788800,2016-09-02,29.62,29.72,29.25,29.3,2076818.0
1473134400,2016-09-06,29.42,29.48,28.88,29.06,3362607.0
1473220800,2016-09-07,29.09,29.62,28.86,29.59,5065963.0
1473307200,2016-09-08,29.43,29.63,28.99,29.0,2600618.0
1473393600,2016-09-09,28.87,28.99,28.23,28.36,3840485.0
1473652800,2016-09-12,28.09,28.98,28.05,28.87,3307936.0
1473739200,2016-09-13,28.59,28.81,27.89,28.12,3736307.0
1473825600,2016-09-14,27.28,27.64,26.77,27.49,8197824.0
1473912000,2016-09-15,27.47,27.81,27.38,27.8,4575652.0
1473998400,2016-09-16,27.7,27.7,27.03,27.15,5570613.0
1474257600,2016-09-19,27.36,28.15,27.33,27.85,4423114.0
1474344000,2016-09-20,28.06,28.1,27.68,27.77,2379309.0
1474430400,2016-09-21,27.84,27.98,27.6,27.92,3339438.0
1474516800,2016-09-22,28.18,28.48,28.0,28.38,4545548.0
1474603200,2016-09-23,28.28,28.51,27.92,27.93,2420272.0
1474862400,2016-09-26,27.82,27.88,27.47,27.57,2629974.0
1474948800,2016-09-27,27.57,27.69,27.4,27.63,2420291.0
1475035200,2016-09-28,27.68,27.88,27.53,27.82,3096249.0
1475121600,2016-09-29,27.91,28.58,27.88,28.06,3449448.0
1475208000,2016-09-30,28.36,28.85,28.32,28.33,5491994.0
1475467200,2016-10-03,28.17,28.5,28.08,28.32,2437217.0
1475553600,2016-10-04,28.27,28.53,28.05,28.5,2794310.0
1475640000,2016-10-05,28.52,28.74,28.39,28.4,3957000.0
1475726400,2016-10-06,28.19,28.39,27.82,28.34,3730663.0
1475812800,2016-10-07,28.53,28.68,28.12,28.29,2326269.0
1476072000,2016-10-10,28.52,28.78,28.38,28.42,1983827.0
1476158400,2016-10-11,28.42,28.55,27.98,28.09,3454568.0
1476244800,2016-10-12,28.18,28.38,28.09,28.31,2416831.0
1476331200,2016-10-13,27.74,28.26,27.42,28.12,4892368.0
1476417600,2016-10-14,28.3,28.37,27.78,27.79,2074352.0
1476676800,2016-10-17,27.78,27.91,26.4,27.03,6762695.0
1476763200,2016-10-18,27.26,27.43,27.12,27.29,3047397.0
