unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,34.05,34.75,33.62,34.17,1335074.0
1451970000,2016-01-05,34.36,35.08,34.16,34.75,1577030.0
1452056400,2016-01-06,34.22,34.7,33.55,34.01,758269.0
1452142800,2016-01-07,33.33,33.62,32.41,32.42,1474758.0
1452229200,2016-01-08,32.56,33.15,32.2931,32.34,1498793.0
1452488400,2016-01-11,32.59,32.93,32.35,32.77,1238495.0
1452574800,2016-01-12,32.86,33.725,32.86,33.62,1226761.0
1452661200,2016-01-13,33.83,33.86,32.44,32.5,1593908.0
1452747600,2016-01-14,32.61,32.84,31.74,32.69,1169014.0
1452834000,2016-01-15,31.61,32.81,31.5701,32.58,1265797.0
1453179600,2016-01-19,32.72,33.14,31.81,32.5,1191382.0
1453266000,2016-01-20,31.95,33.03,31.3588,32.62,1412171.0
1453352400,2016-01-21,32.89,33.26,32.38,32.97,1413573.0
1453438800,2016-01-22,33.49,33.75,33.12,33.63,1041113.0
1453698000,2016-01-25,33.54,34.04,33.31,33.61,1546725.0
1453784400,2016-01-26,33.83,34.36,33.6,34.27,2774370.0
1453870800,2016-01-27,34.08,34.56,33.62,33.74,1447407.0
1453957200,2016-01-28,33.99,34.3822,33.28,33.61,1218945.0
1454043600,2016-01-29,33.5,34.7,33.29,34.7,2085170.0
1454302800,2016-02-01,34.58,34.99,34.29,34.62,1332655.0
1454389200,2016-02-02,34.34,34.48,33.06,33.44,1325235.0
1454475600,2016-02-03,33.57,33.587,31.87,32.83,2828759.0
1454562000,2016-02-04,36.0,36.28,33.29,35.08,6303558.0
1454648400,2016-02-05,35.06,35.08,32.995,33.38,3732415.0
1454907600,2016-02-08,32.89,33.725,31.66,33.63,3195107.0
1454994000,2016-02-09,33.27,35.19,33.16,34.52,3284490.0
1455080400,2016-02-10,34.79,35.36,34.29,34.46,1199511.0
1455166800,2016-02-11,33.84,35.37,33.388,35.07,1231720.0
1455253200,2016-02-12,35.12,35.2789,33.81,34.13,1830576.0
1455598800,2016-02-16,34.48,34.68,33.92,34.63,1948106.0
1455685200,2016-02-17,34.76,34.97,33.85,34.35,2141952.0
1455771600,2016-02-18,34.35,34.68,33.97,34.0,1253013.0
1455858000,2016-02-19,33.92,34.72,33.65,34.67,1707614.0
1456117200,2016-02-22,34.91,35.67,34.705,35.3,1216105.0
1456203600,2016-02-23,35.22,35.45,34.69,34.89,1390102.0
1456290000,2016-02-24,34.56,35.58,34.43,35.35,1213429.0
1456376400,2016-02-25,35.49,35.73,35.25,35.7,946475.0
1456462800,2016-02-26,35.83,35.98,35.58,35.81,760110.0
1456722000,2016-02-29,35.82,36.69,35.71,35.99,1533571.0
1456808400,2016-03-01,36.18,37.71,36.05,37.5,2834174.0
1456894800,2016-03-02,37.55,37.55,36.9,37.32,1514034.0
1456981200,2016-03-03,37.24,37.3,36.11,36.57,1183375.0
1457067600,2016-03-04,36.56,36.996,35.83,36.0,1462960.0
1457326800,2016-03-07,35.73,35.73,34.44,34.65,1850622.0
1457413200,2016-03-08,34.53,34.895,34.39,34.51,1713365.0
1457499600,2016-03-09,34.74,35.32,34.62,34.85,929432.0
1457586000,2016-03-10,35.06,35.65,34.795,35.52,1670900.0
1457672400,2016-03-11,35.79,36.19,35.64,35.83,810420.0
1457928000,2016-03-14,35.42,35.8,35.26,35.33,1219390.0
1458014400,2016-03-15,35.32,35.57,35.01,35.27,1265547.0
1458100800,2016-03-16,35.09,35.78,34.98,35.6,861569.0
1458187200,2016-03-17,35.59,35.68,34.85,35.1,705000.0
1458273600,2016-03-18,35.29,35.29,34.64,34.87,1326537.0
1458532800,2016-03-21,34.77,34.99,34.6,34.84,1055182.0
1458619200,2016-03-22,34.66,35.75,34.63,35.44,1213548.0
1458705600,2016-03-23,35.35,35.625,35.03,35.22,759476.0
1458792000,2016-03-24,35.1,35.56,34.84,35.19,660859.0
1459137600,2016-03-28,35.21,35.52,35.02,35.4,772583.0
1459224000,2016-03-29,35.27,37.04,35.27,37.0,1544062.0
1459310400,2016-03-30,37.2,37.64,37.1,37.24,1251366.0
1459396800,2016-03-31,37.23,37.95,37.07,37.67,1595715.0
1459483200,2016-04-01,37.33,38.07,37.33,37.99,1245003.0
1459742400,2016-04-04,38.05,38.52,37.51,37.66,925292.0
1459828800,2016-04-05,37.43,37.755,36.81,36.93,1220064.0
1459915200,2016-04-06,37.09,37.41,36.81,37.09,775037.0
1460001600,2016-04-07,36.94,37.13,36.44,36.59,884902.0
1460088000,2016-04-08,36.84,37.0,36.22,36.45,718348.0
1460347200,2016-04-11,36.51,36.69,35.67,35.67,739101.0
1460433600,2016-04-12,35.71,35.8,35.31,35.48,1105856.0
1460520000,2016-04-13,35.45,36.16,35.45,36.07,1085902.0
1460606400,2016-04-14,36.12,36.66,35.51,35.54,1071196.0
1460692800,2016-04-15,35.43,35.92,35.4,35.76,1572809.0
1460952000,2016-04-18,35.71,36.79,35.71,36.76,1269729.0
1461038400,2016-04-19,36.8,37.07,36.32,37.04,1118348.0
1461124800,2016-04-20,37.0,37.26,36.74,36.76,874562.0
1461211200,2016-04-21,36.87,36.93,36.29,36.6,608351.0
1461297600,2016-04-22,36.33,36.8199,36.25,36.56,2666815.0
1461556800,2016-04-25,36.48,36.69,35.96,36.04,716629.0
1461643200,2016-04-26,36.16,36.35,35.22,35.28,1132940.0
1461729600,2016-04-27,35.35,35.4,34.52,35.0,2008112.0
1461816000,2016-04-28,34.91,35.51,34.25,34.34,1552440.0
1461902400,2016-04-29,34.25,34.45,33.67,34.18,1463201.0
1462161600,2016-05-02,34.24,35.45,34.23,35.43,1724680.0
