start,start_unix,end,end_unix,reward
2016-03-24,1458792000,2016-04-22,1461297600,0.8943479000000001
2016-04-01,1459483200,2016-04-25,1461556800,1.6265341000000002
2016-04-05,1459828800,2016-04-28,1461816000,1.1744459000000003
2016-04-06,1459915200,2016-05-12,1463025600,1.9377540999999998
2016-04-13,1460520000,2016-05-13,1463112000,0.5636521000000001
2016-04-15,1460692800,2016-05-18,1463544000,-0.006534100000000043
2016-04-18,1460952000,2016-05-19,1463630400,0.6255541
2016-04-20,1461124800,2016-05-20,1463716800,0.06224590000000002
2016-04-25,1461556800,2016-05-23,1463976000,-1.5202459000000004
2016-04-26,1461643200,2016-06-02,1464840000,-0.0997540999999999
2016-04-29,1461902400,2016-06-09,1465444800,-0.7436520999999998
2016-05-13,1463112000,2016-06-13,1465790400,-0.1934658999999999
2016-05-16,1463371200,2016-06-14,1465876800,0.4178520999999998
2016-05-19,1463630400,2016-06-23,1466654400,-0.16853409999999996
2016-05-20,1463716800,2016-06-24,1466740800,0.4455541000000001
2016-05-23,1463976000,2016-06-27,1467000000,-1.0943479
2016-05-24,1464062400,2016-06-28,1467086400,-0.5831279000000005
2016-06-03,1464926400,2016-06-29,1467172800,-1.2807341
2016-06-10,1465531200,2016-07-01,1467345600,-2.0558520999999996
2016-06-14,1465876800,2016-07-07,1467864000,-1.6514659000000003
2016-06-15,1465963200,2016-07-08,1467950400,-0.24555409999999994
2016-06-24,1466740800,2016-07-21,1469073600,-0.9056520999999997
2016-06-27,1467000000,2016-07-22,1469160000,0.5831279000000005
2016-06-28,1467086400,2016-08-12,1470974400,1.2807341
2016-06-29,1467172800,2016-08-22,1471838400,3.0124459
2016-06-30,1467259200,2016-08-24,1472011200,2.7143479000000004
2016-07-05,1467691200,2016-08-25,1472097600,1.4265341
2016-07-08,1467950400,2016-08-30,1472529600,3.1744459
2016-07-11,1468209600,2016-09-01,1472702400,1.9377540999999998
2016-07-22,1469160000,2016-09-02,1472788800,1.5202459000000004
2016-07-25,1469419200,2016-09-08,1473307200,0.0997540999999999
2016-08-15,1471233600,2016-09-09,1473393600,0.7436520999999998
2016-08-23,1471924800,2016-09-12,1473652800,0.1934658999999999
2016-08-25,1472097600,2016-09-27,1474948800,-1.3744459
2016-08-26,1472184000,2016-09-28,1475035200,0.06224590000000002
2016-08-31,1472616000,2016-10-05,1475640000,-1.5202459000000004
2016-09-02,1472788800,2016-10-06,1475726400,-0.0997540999999999
2016-09-06,1473134400,2016-10-10,1476072000,-1.7002459
2016-09-09,1473393600,2016-10-19,1476849600,-1.2563479
2016-09-12,1473652800,2016-10-28,1477627200,0.1934658999999999
2016-09-13,1473739200,2016-10-31,1477886400,-0.4178520999999998
2016-09-28,1475035200,2016-11-04,1478232000,0.16853409999999996
2016-09-29,1475121600,2016-11-08,1478581200,-0.4455541000000001
2016-10-06,1475726400,2016-11-09,1478667600,1.0943479
2016-10-07,1475812800,2016-11-11,1478840400,0.5831279000000005
2016-10-11,1476158400,2016-11-15,1479186000,2.2373279000000004
2016-10-20,1476936000,2016-11-21,1479704400,3.1187340999999997
2016-10-31,1477886400,2016-11-30,1480482000,2.8324459
2016-11-01,1477972800,2016-12-06,1481000400,2.5143479
2016-11-07,1478494800,2016-12-07,1481086800,4.3831279
2016-11-09,1478667600,2016-12-08,1481173200,3.2807340999999997
2016-11-10,1478754000,2017-01-03,1483419600,3.0124459
2016-11-14,1479099600,2017-01-06,1483678800,2.7143479000000004
2016-11-16,1479272400,2017-01-09,1483938000,1.4265341
2016-11-22,1479790800,2017-01-12,1484197200,3.1744459
2016-12-01,1480568400,2017-01-24,1485234000,1.9377540999999998
2016-12-07,1481086800,2017-01-25,1485320400,0.5636521000000001
2016-12-08,1481173200,2017-01-26,1485406800,-0.006534100000000043
2016-12-09,1481259600,2017-02-02,1486011600,0.6255541
2017-01-04,1483506000,2017-02-06,1486357200,0.06224590000000002
2017-01-09,1483938000,2017-02-08,1486530000,-1.5202459000000004
2017-01-10,1484024400,2017-02-17,1487307600,-0.0997540999999999
2017-01-13,1484283600,2017-02-21,1487653200,-1.7002459
2017-01-25,1485320400,2017-02-22,1487739600,-0.29975409999999986
2017-01-26,1485406800,2017-02-28,1488258000,0.29975409999999986
2017-01-27,1485493200,2017-03-02,1488430800,-0.29975409999999986
2017-02-03,1486098000,2017-03-23,1490241600,0.29975409999999986
2017-02-07,1486443600,2017-03-27,1490587200,-1.2563479
2017-02-09,1486616400,2017-04-07,1491537600,0.1934658999999999
2017-02-21,1487653200,2017-04-10,1491796800,-0.4178520999999998
2017-02-22,1487739600,2017-04-12,1491969600,0.16853409999999996
2017-02-23,1487826000,2017-04-13,1492056000,-1.4021479000000003
2017-03-01,1488344400,2017-04-18,1492488000,0.03146589999999999
2017-03-03,1488517200,2017-04-20,1492660800,-1.5544458999999997
2017-03-24,1490328000,2017-04-28,1493352000,-0.13775409999999993
2017-03-28,1490673600,2017-05-04,1493870400,0.4797540999999996
2017-04-10,1491796800,2017-05-10,1494388800,-0.0997540999999999
2017-04-11,1491883200,2017-05-16,1494907200,-0.7436520999999998
2017-04-13,1492056000,2017-05-17,1494993600,-0.1934658999999999
2017-04-17,1492401600,2017-05-18,1495080000,0.4178520999999998
2017-04-19,1492574400,2017-05-24,1495598400,-0.16853409999999996
2017-04-21,1492747200,2017-05-30,1496116800,1.4021479000000003
2017-05-01,1493611200,2017-06-16,1497585600,-0.03146589999999999
2017-05-05,1493956800,2017-06-19,1497844800,1.5544458999999997
2017-05-11,1494475200,2017-06-20,1497931200,0.13775409999999993
2017-05-17,1494993600,2017-06-27,1498536000,-1.4363478999999997
2017-05-18,1495080000,2017-07-03,1499054400,-0.006534100000000043
2017-05-19,1495166400,2017-07-05,1499227200,1.5821479000000003
2017-05-25,1495684800,2017-07-06,1499313600,0.16853409999999996
2017-05-31,1496203200,2017-07-13,1499918400,-0.4455541000000001
2017-06-19,1497844800,2017-07-18,1500350400,1.0943479
2017-06-20,1497931200,2017-08-17,1502942400,-0.37346589999999963
2017-06-21,1498017600,2017-08-21,1503288000,0.21785210000000005
2017-06-28,1498622400,2017-08-22,1503374400,1.8314659
2017-07-05,1499227200,2017-08-24,1503547200,0.4455541000000001
2017-07-06,1499313600,2017-09-08,1504843200,-0.13775409999999993
2017-07-07,1499400000,2017-09-11,1505102400,1.4363478999999997
2017-07-14,1500004800,2017-09-12,1505188800,0.9631279000000001
2017-07-19,1500436800,2017-09-13,1505275200,0.43732790000000016
2017-08-18,1503028800,2017-09-15,1505448000,1.1187341000000002
