unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,26.6,26.63,25.99,26.21,1860206.0
1451970000,2016-01-05,26.21,26.68,26.19,26.54,1109831.0
1452056400,2016-01-06,26.3,26.56,26.17,26.35,1294305.0
1452142800,2016-01-07,25.89,26.25,25.89,26.05,2050842.0
1452229200,2016-01-08,26.19,26.25,25.65,25.71,2449726.0
1452488400,2016-01-11,25.88,26.25,25.76,26.0,1699030.0
1452574800,2016-01-12,26.03,26.09,25.54,25.73,2075321.0
1452661200,2016-01-13,25.78,26.11,25.6,25.71,2105231.0
1452747600,2016-01-14,25.76,25.92,25.32,25.32,1885147.0
1452834000,2016-01-15,24.74,25.62,24.74,25.56,2035862.0
1453179600,2016-01-19,25.6,25.89,25.39,25.61,2130460.0
1453266000,2016-01-20,25.42,25.94,24.42,24.9,2615126.0
1453352400,2016-01-21,24.99,25.19,24.64,24.84,1640002.0
1453438800,2016-01-22,25.16,25.6,24.97,25.51,1426799.0
1453698000,2016-01-25,25.53,25.77,25.19,25.29,1939731.0
1453784400,2016-01-26,25.34,26.11,25.31,26.11,1878059.0
1453870800,2016-01-27,26.08,26.08,25.18,25.4,1975943.0
1453957200,2016-01-28,25.49,25.65,24.94,25.03,1943872.0
1454043600,2016-01-29,25.26,25.49,24.82,25.42,3540114.0
1454302800,2016-02-01,25.24,26.15,25.15,25.82,2667947.0
1454389200,2016-02-02,25.92,26.04,25.24,25.34,2913202.0
1454475600,2016-02-03,25.62,26.3,25.43,25.97,2830747.0
1454562000,2016-02-04,25.83,26.56,25.59,26.27,2878806.0
1454648400,2016-02-05,26.27,26.3,24.97,25.02,2224725.0
1454907600,2016-02-08,25.58,25.58,23.97,24.22,2300341.0
1454994000,2016-02-09,23.99,24.42,23.82,23.87,2244642.0
1455080400,2016-02-10,23.96,24.5,23.96,24.23,1603303.0
1455166800,2016-02-11,23.8,23.94,23.5,23.68,1495644.0
1455253200,2016-02-12,23.87,23.94,23.51,23.85,2082161.0
1455598800,2016-02-16,24.16,24.22,23.8,24.19,2275475.0
1455685200,2016-02-17,24.31,24.53,24.02,24.04,2163026.0
1455771600,2016-02-18,24.09,24.39,23.97,24.22,1592315.0
1455858000,2016-02-19,24.06,24.57,23.93,24.4,2153710.0
1456117200,2016-02-22,24.57,24.88,24.46,24.57,981442.0
1456203600,2016-02-23,24.44,24.87,24.16,24.46,795049.0
1456290000,2016-02-24,24.32,24.39,23.82,24.07,1714073.0
1456376400,2016-02-25,24.25,24.67,24.18,24.67,1758838.0
1456462800,2016-02-26,24.65,24.73,24.37,24.55,1378133.0
1456722000,2016-02-29,24.59,25.07,24.52,24.52,2231380.0
1456808400,2016-03-01,24.63,25.47,24.52,25.46,1552933.0
1456894800,2016-03-02,25.37,25.94,24.73,25.84,1758078.0
1456981200,2016-03-03,25.9,26.1,25.5,26.09,1596821.0
1457067600,2016-03-04,26.01,26.01,24.83,24.83,77613380.0
