unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,100.3,100.3,98.25,99.91,5583065.0
1451970000,2016-01-05,100.13,101.14,99.7,100.1,3001346.0
1452056400,2016-01-06,99.33,100.07,98.23,99.08,3273646.0
1452142800,2016-01-07,97.48,97.88,95.59,96.16,5753165.0
1452229200,2016-01-08,96.32,96.94,94.16,94.51,4990410.0
1452488400,2016-01-11,94.81,94.9,92.82,94.01,4803373.0
1452574800,2016-01-12,94.68,97.06,94.41,96.31,4318885.0
1452661200,2016-01-13,96.52,96.97,93.45,93.71,3752318.0
1452747600,2016-01-14,93.29,95.91,92.23,95.02,4842136.0
1452834000,2016-01-15,93.58,94.93,92.47,93.74,7032906.0
1453179600,2016-01-19,95.73,97.94,94.03,96.58,7732565.0
1453266000,2016-01-20,96.16,99.29,94.5,98.48,8830475.0
1453352400,2016-01-21,98.23,99.07,96.31,97.37,6015204.0
1453438800,2016-01-22,98.35,98.79,97.71,98.08,3967464.0
1453698000,2016-01-25,98.93,98.93,96.81,97.27,3189852.0
1453784400,2016-01-26,97.06,97.96,95.88,97.77,5117837.0
1453870800,2016-01-27,98.17,98.5,95.95,96.37,5056239.0
1453957200,2016-01-28,96.33,97.16,94.89,95.55,3720597.0
1454043600,2016-01-29,96.03,98.8,94.9,98.8,6450067.0
1454302800,2016-02-01,97.9,99.65,97.9,99.42,4694297.0
1454389200,2016-02-02,98.62,98.99,97.18,97.7,3311053.0
1454475600,2016-02-03,98.12,98.12,94.63,96.73,3902638.0
1454562000,2016-02-04,96.66,98.27,96.12,97.97,3794644.0
1454648400,2016-02-05,97.86,97.98,95.14,95.85,3683254.0
1454907600,2016-02-08,94.8,95.33,93.37,94.39,5319180.0
1454994000,2016-02-09,93.82,96.33,93.63,95.36,3960756.0
1455080400,2016-02-10,95.51,98.21,95.51,96.72,3218307.0
1455166800,2016-02-11,95.5,95.82,94.45,94.9,4304563.0
1455253200,2016-02-12,95.4,96.01,94.55,95.93,2888962.0
1455598800,2016-02-16,96.54,98.89,96.54,98.79,3686134.0
1455685200,2016-02-17,99.09,101.57,98.83,101.49,4694120.0
1455771600,2016-02-18,101.66,102.95,100.43,100.76,4013041.0
1455858000,2016-02-19,100.8,101.7,99.53,100.96,4690386.0
1456117200,2016-02-22,102.19,104.78,102.06,104.04,5473701.0
1456203600,2016-02-23,103.34,104.49,103.18,103.94,3058852.0
1456290000,2016-02-24,102.86,103.22,101.09,103.12,2713171.0
1456376400,2016-02-25,103.12,104.0,102.79,103.98,2479553.0
1456462800,2016-02-26,104.22,104.89,103.71,104.09,3129826.0
1456722000,2016-02-29,103.89,104.51,102.07,102.18,5173260.0
1456808400,2016-03-01,102.51,104.85,102.41,104.38,3587505.0
1456894800,2016-03-02,104.0,104.53,103.27,104.04,2894495.0
1456981200,2016-03-03,103.69,104.54,103.03,104.51,3228159.0
1457067600,2016-03-04,104.08,104.83,103.58,104.49,3107002.0
1457326800,2016-03-07,103.88,105.3,103.72,104.46,2598923.0
1457413200,2016-03-08,104.12,104.94,103.58,104.37,2772993.0
1457499600,2016-03-09,104.92,105.2,103.76,104.32,2287820.0
1457586000,2016-03-10,104.41,105.75,103.73,105.17,2811349.0
1457672400,2016-03-11,105.5,107.96,105.31,107.77,4159320.0
1457928000,2016-03-14,107.51,108.56,107.13,107.87,3248072.0
1458014400,2016-03-15,107.12,108.09,106.89,107.55,3052707.0
1458100800,2016-03-16,107.0,108.15,106.91,107.59,2345427.0
1458187200,2016-03-17,107.35,107.65,105.29,107.28,4226438.0
1458273600,2016-03-18,107.56,109.47,107.28,109.16,9701258.0
1458532800,2016-03-21,108.75,109.4,108.27,109.18,2942885.0
1458619200,2016-03-22,109.1,110.97,108.56,110.28,4487958.0
1458705600,2016-03-23,110.39,112.29,110.28,111.81,6400484.0
1458792000,2016-03-24,111.1,112.26,109.55,110.77,4571775.0
1459137600,2016-03-28,110.97,111.56,110.27,111.06,2240315.0
1459224000,2016-03-29,111.36,112.07,110.73,111.84,2720476.0
1459310400,2016-03-30,112.07,112.94,111.46,111.71,2777649.0
1459396800,2016-03-31,111.68,111.96,110.52,111.04,3695223.0
1459483200,2016-04-01,110.86,112.37,110.58,111.92,4326172.0
1459742400,2016-04-04,112.42,112.59,111.02,111.55,3024266.0
1459828800,2016-04-05,111.08,111.52,109.32,109.44,4773480.0
1459915200,2016-04-06,109.6,110.63,109.3,110.29,3303150.0
1460001600,2016-04-07,110.12,110.64,108.74,109.29,3502710.0
1460088000,2016-04-08,109.57,110.39,107.91,108.27,3906478.0
1460347200,2016-04-11,108.4,109.35,108.4,108.83,3454007.0
1460433600,2016-04-12,108.8,109.71,108.03,109.23,3082805.0
1460520000,2016-04-13,109.91,110.83,109.64,110.06,2768929.0
1460606400,2016-04-14,110.02,110.76,109.89,110.25,1814431.0
1460692800,2016-04-15,109.96,110.32,108.73,109.69,3117843.0
1460952000,2016-04-18,109.3,110.29,109.06,110.1,2913769.0
1461038400,2016-04-19,112.07,113.11,111.23,112.42,4692699.0
1461124800,2016-04-20,113.1,116.39,112.76,115.37,7718130.0
1461211200,2016-04-21,115.06,115.43,114.08,114.54,4140000.0
1461297600,2016-04-22,115.19,115.72,114.62,115.55,3113551.0
1461556800,2016-04-25,115.18,115.49,114.22,115.24,3092836.0
1461643200,2016-04-26,115.41,115.96,114.57,115.64,2880102.0
1461729600,2016-04-27,115.73,115.93,113.63,114.4,3747889.0
1461816000,2016-04-28,114.39,115.77,113.44,113.77,3619817.0
1461902400,2016-04-29,112.9,113.61,111.07,113.44,4749667.0
1462161600,2016-05-02,114.24,114.51,112.78,113.8,3066631.0
1462248000,2016-05-03,113.17,114.77,112.96,114.11,3853722.0
1462334400,2016-05-04,112.87,114.06,112.49,113.74,3306236.0
1462420800,2016-05-05,113.75,114.81,113.58,113.98,2233222.0
1462507200,2016-05-06,113.79,113.95,112.51,113.75,2873894.0
1462766400,2016-05-09,113.5,115.08,113.34,114.29,2451109.0
1462852800,2016-05-10,114.57,115.09,114.21,115.06,2375427.0
1462939200,2016-05-11,115.21,115.43,112.49,112.58,3916495.0
1463025600,2016-05-12,112.85,113.1,110.91,111.76,3522798.0
1463112000,2016-05-13,111.46,112.01,110.74,111.13,3396178.0
1463371200,2016-05-16,110.91,112.73,110.72,112.54,2768661.0
1463457600,2016-05-17,112.48,113.04,111.12,111.61,2648299.0
1463544000,2016-05-18,111.22,113.08,111.07,112.43,2470502.0
1463630400,2016-05-19,111.72,112.95,110.92,111.99,2860820.0
1463716800,2016-05-20,112.55,113.53,112.16,112.8,2744387.0
1463976000,2016-05-23,112.1,113.02,112.0,112.35,3571850.0
1464062400,2016-05-24,112.64,114.56,112.26,114.22,2931520.0
1464148800,2016-05-25,114.75,115.69,114.38,114.93,2379616.0
1464235200,2016-05-26,115.0,115.4,114.28,114.56,1624344.0
1464321600,2016-05-27,114.56,115.89,114.54,115.43,2228296.0
1464667200,2016-05-31,115.95,116.08,114.99,115.15,4563667.0
1464753600,2016-06-01,115.07,116.17,114.59,115.89,2855364.0
1464840000,2016-06-02,115.66,117.29,115.44,117.19,4393947.0
1464926400,2016-06-03,116.82,118.12,116.42,117.88,3906060.0
1465185600,2016-06-06,118.02,119.22,117.6,119.01,3193010.0
1465272000,2016-06-07,119.02,119.31,117.92,117.97,3234013.0
1465358400,2016-06-08,118.25,121.37,118.02,120.95,6660148.0
1465444800,2016-06-09,121.02,121.35,120.21,121.19,3834356.0
1465531200,2016-06-10,120.82,120.94,119.43,119.95,3012705.0
1465790400,2016-06-13,119.74,120.71,118.95,118.96,3071284.0
1465876800,2016-06-14,118.78,119.1,118.31,118.77,3385409.0
1465963200,2016-06-15,119.2,119.57,118.6,118.78,2578544.0
1466049600,2016-06-16,118.65,120.19,118.02,119.99,3390270.0
1466136000,2016-06-17,119.94,120.16,118.17,119.15,5082775.0
1466395200,2016-06-20,120.48,121.01,119.54,119.87,3998475.0
