start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,64.36,67.45842474992726,2016-03-17,1458187200,
2016-03-18,1458273600,67.45842474992726,70.65269631537558,2016-03-21,1458532800,1.0
2016-03-22,1458619200,64.32195590012743,67.45842474992726,2016-03-24,1458792000,-1.0
2016-03-28,1459137600,61.32513007541525,64.32195590012743,2016-03-28,1459137600,-1.0
2016-03-29,1459224000,64.32195590012743,67.33357988021731,2016-03-31,1459396800,1.0
2016-04-01,1459483200,61.39257766242427,64.32195590012743,2016-04-11,1460347200,-1.0
2016-04-12,1460433600,64.32195590012743,67.14856988563679,2016-04-19,1461038400,1.0
2016-04-20,1461124800,67.14856988563679,70.1581132950557,2016-04-20,1461124800,1.0
2016-04-21,1461211200,70.1581132950557,73.4528321752304,2016-05-03,1462248000,1.0
2016-05-04,1462334400,67.04630790698366,70.1581132950557,2016-05-12,1463025600,-1.0
2016-05-13,1463112000,64.12827140475211,67.04630790698366,2016-05-24,1464062400,-1.0
2016-05-25,1464148800,67.04630790698366,69.6449309809602,2016-06-02,1464840000,1.0
2016-06-03,1464926400,69.6449309809602,72.07804474349186,2016-06-07,1465272000,1.0
2016-06-08,1465358400,72.07804474349186,74.53959100306987,2016-06-13,1465790400,1.0
2016-06-14,1465876800,69.69492545153518,72.07804474349186,2016-06-22,1466568000,-1.0
2016-06-23,1466654400,72.07804474349186,74.35834672531736,2016-06-23,1466654400,1.0
2016-06-24,1466740800,69.49905004608246,72.07804474349186,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,66.75969782705944,69.49905004608246,2016-06-28,1467086400,-1.0
2016-06-29,1467172800,69.49905004608246,72.29717517370945,2016-07-07,1467864000,1.0
2016-07-08,1467950400,72.29717517370945,75.00073956109748,2016-07-11,1468209600,1.0
2016-07-12,1468296000,75.00073956109748,77.56394558899838,2016-07-20,1468987200,1.0
2016-07-21,1469073600,72.27433607994347,75.00073956109748,2016-07-21,1469073600,-1.0
2016-07-22,1469160000,75.00073956109748,77.81782850788333,2016-07-26,1469505600,1.0
2016-07-27,1469592000,72.32344057564246,75.00073956109748,2016-07-27,1469592000,-1.0
2016-07-28,1469678400,75.00073956109748,77.7323743333057,2016-08-01,1470024000,1.0
2016-08-02,1470110400,72.3470042861188,75.00073956109748,2016-08-02,1470110400,-1.0
2016-08-03,1470196800,75.00073956109748,77.66292231643482,2016-08-11,1470888000,1.0
2016-08-12,1470974400,72.6557719303052,75.00073956109748,2016-08-12,1470974400,-1.0
2016-08-15,1471233600,75.00073956109748,77.32220950397601,2016-08-17,1471406400,1.0
2016-08-18,1471492800,77.32220950397601,79.73207301144836,2016-09-08,1473307200,1.0
2016-09-09,1473393600,75.16169611584067,77.32220950397601,2016-09-20,1474344000,-1.0
2016-09-21,1474430400,77.32220950397601,79.60613431942592,2016-09-23,1474603200,1.0
2016-09-26,1474862400,75.2079920041424,77.32220950397601,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,77.32220950397601,79.44998289667866,2016-09-29,1475121600,1.0
2016-09-30,1475208000,79.44998289667866,81.6214202668564,2016-10-03,1475467200,1.0
2016-10-04,1475553600,77.32686598055602,79.44998289667866,2016-10-04,1475553600,-1.0
2016-10-05,1475640000,79.44998289667866,81.65030574736397,2016-10-10,1476072000,1.0
2016-10-11,1476158400,77.32238385100959,79.44998289667866,2016-10-13,1476331200,-1.0
2016-10-14,1476417600,79.44998289667866,81.70192644745671,2016-10-14,1476417600,1.0
2016-10-17,1476676800,77.28817817095619,79.44998289667866,2016-10-18,1476763200,-1.0
2016-10-19,1476849600,79.44998289667866,81.68142676732711,2016-10-19,1476849600,1.0
2016-10-20,1476936000,76.6064993025051,79.44998289667866,2016-10-20,1476936000,-1.0
2016-10-21,1477022400,73.74112167934393,76.6064993025051,2016-10-25,1477368000,-1.0
2016-10-26,1477454400,71.01860686954616,73.74112167934393,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,73.74112167934393,76.20322796697012,2016-11-08,1478581200,1.0
2016-11-09,1478667600,76.20322796697012,79.19494206191311,2016-11-09,1478667600,1.0
2016-11-10,1478754000,79.19494206191311,82.48339086436017,2016-11-18,1479445200,1.0
2016-11-21,1479704400,82.48339086436017,85.55730697751754,2016-11-21,1479704400,1.0
2016-11-22,1479790800,79.54161161642833,82.48339086436017,2016-11-22,1479790800,-1.0
2016-11-23,1479877200,82.48339086436017,85.34232873743974,2016-11-30,1480482000,1.0
2016-12-01,1480568400,85.34232873743974,88.06592844609783,2016-12-01,1480568400,1.0
2016-12-02,1480654800,82.64612900797151,85.34232873743974,2016-12-06,1481000400,-1.0
2016-12-07,1481086800,85.34232873743974,88.10217451209051,2016-12-13,1481605200,1.0
2016-12-14,1481691600,82.55374082539527,85.34232873743974,2016-12-14,1481691600,-1.0
