start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,57.32,62.1612943925642,2016-04-04,1459742400,
2016-04-05,1459828800,53.16924238374984,57.32,2016-04-07,1460001600,-1.0
2016-04-08,1460088000,57.32,61.47234565703411,2016-04-20,1461124800,1.0
2016-04-21,1461211200,61.47234565703411,65.98286695167064,2016-04-26,1461643200,1.0
2016-04-27,1461729600,65.98286695167064,70.4907702392621,2016-04-27,1461729600,1.0
2016-04-28,1461816000,61.525671041764284,65.98286695167064,2016-05-03,1462248000,-1.0
2016-05-04,1462334400,57.114103351665484,61.525671041764284,2016-05-16,1463371200,-1.0
2016-05-17,1463457600,61.525671041764284,65.97030404842985,2016-05-24,1464062400,1.0
2016-05-25,1464148800,65.97030404842985,70.04246780649814,2016-06-03,1464926400,1.0
2016-06-06,1465185600,70.04246780649814,74.01016674725179,2016-06-09,1465444800,1.0
2016-06-10,1465531200,66.0789596992807,70.04246780649814,2016-06-15,1465963200,-1.0
2016-06-16,1466049600,61.80929401180056,66.0789596992807,2016-06-17,1466136000,-1.0
2016-06-20,1466395200,66.0789596992807,70.27437552164878,2016-06-23,1466654400,1.0
2016-06-24,1466740800,61.51765515683342,66.0789596992807,2016-06-24,1466740800,-1.0
2016-06-27,1467000000,56.7241580817038,61.51765515683342,2016-06-28,1467086400,-1.0
2016-06-29,1467172800,61.51765515683342,66.29028273691968,2016-07-11,1468209600,1.0
2016-07-12,1468296000,66.29028273691968,70.78320854600783,2016-07-18,1468814400,1.0
2016-07-19,1468900800,62.15288275024417,66.29028273691968,2016-07-19,1468900800,-1.0
2016-07-20,1468987200,66.29028273691968,70.43815415311836,2016-07-20,1468987200,1.0
2016-07-21,1469073600,70.43815415311836,75.63974903958857,2016-07-21,1469073600,1.0
2016-07-22,1469160000,75.63974903958857,80.8529442913109,2016-07-29,1469764800,1.0
2016-08-01,1470024000,71.08439623700276,75.63974903958857,2016-08-04,1470283200,-1.0
2016-08-05,1470369600,75.63974903958857,80.05315755152768,2016-08-09,1470715200,1.0
2016-08-10,1470801600,71.46743544602799,75.63974903958857,2016-08-10,1470801600,-1.0
2016-08-11,1470888000,75.63974903958857,79.70818309075196,2016-08-15,1471233600,1.0
2016-08-16,1471320000,71.87160923987793,75.63974903958857,2016-08-17,1471406400,-1.0
2016-08-18,1471492800,75.63974903958857,79.45948182607376,2016-08-22,1471838400,1.0
2016-08-23,1471924800,79.45948182607376,83.16960461466995,2016-08-23,1471924800,1.0
2016-08-24,1472011200,75.74565352237728,79.45948182607376,2016-08-25,1472097600,-1.0
2016-08-26,1472184000,79.45948182607376,83.09628276140387,2016-08-31,1472616000,1.0
2016-09-01,1472702400,75.88981706363197,79.45948182607376,2016-09-01,1472702400,-1.0
2016-09-02,1472788800,79.45948182607376,83.00817053405541,2016-09-08,1473307200,1.0
2016-09-09,1473393600,75.54584755419057,79.45948182607376,2016-09-12,1473652800,-1.0
2016-09-13,1473739200,71.34746902384232,75.54584755419057,2016-09-13,1473739200,-1.0
2016-09-14,1473825600,75.54584755419057,79.7529133323711,2016-09-15,1473912000,1.0
2016-09-16,1473998400,71.4733775719839,75.54584755419057,2016-09-16,1473998400,-1.0
2016-09-19,1474257600,75.54584755419057,79.66428396623962,2016-09-19,1474257600,1.0
2016-09-20,1474344000,71.23044231443075,75.54584755419057,2016-09-26,1474862400,-1.0
2016-09-27,1474948800,67.2075793970337,71.23044231443075,2016-09-27,1474948800,-1.0
2016-09-28,1475035200,71.23044231443075,75.22438645201372,2016-09-29,1475121600,1.0
2016-09-30,1475208000,75.22438645201372,79.24497093799087,2016-10-05,1475640000,1.0
2016-10-06,1475726400,79.24497093799087,83.25574763270124,2016-10-06,1475726400,1.0
2016-10-07,1475812800,75.17096400718839,79.24497093799087,2016-10-13,1476331200,-1.0
2016-10-14,1476417600,71.09092582116759,75.17096400718839,2016-10-19,1476849600,-1.0
2016-10-20,1476936000,75.17096400718839,79.43983496280427,2016-10-21,1477022400,1.0
2016-10-24,1477281600,70.93242731586652,75.17096400718839,2016-10-31,1477886400,-1.0
2016-11-01,1477972800,66.97756369578387,70.93242731586652,2016-11-04,1478232000,-1.0
2016-11-07,1478494800,70.93242731586652,75.15241898218213,2016-11-08,1478581200,1.0
2016-11-09,1478667600,75.15241898218213,80.77172812303589,2016-11-09,1478667600,1.0
2016-11-10,1478754000,80.77172812303589,86.53094375382867,2016-11-10,1478754000,1.0
2016-11-11,1478840400,86.53094375382867,92.26064398242195,2016-11-22,1479790800,1.0
2016-11-23,1479877200,92.26064398242195,97.64423090575274,2016-11-29,1480395600,1.0
2016-11-30,1480482000,97.64423090575274,103.18983008623093,2016-12-05,1480914000,1.0
2016-12-06,1481000400,103.18983008623093,108.59907582221692,2016-12-12,1481518800,1.0
2016-12-13,1481605200,97.74390993195844,103.18983008623093,2016-12-14,1481691600,-1.0
2016-12-15,1481778000,103.18983008623093,108.67956736210874,2016-12-15,1481778000,1.0
2016-12-16,1481864400,97.85178833005868,103.18983008623093,2016-12-19,1482123600,-1.0
2016-12-20,1482210000,103.18983008623093,108.26805996782844,2016-12-27,1482814800,1.0
2016-12-28,1482901200,98.44193232892002,103.18983008623093,2016-12-28,1482901200,-1.0
2016-12-29,1482987600,103.18983008623093,107.83516371801963,2016-12-29,1482987600,1.0
2016-12-30,1483074000,98.52016314242714,103.18983008623093,2016-12-30,1483074000,-1.0
2017-01-03,1483419600,103.18983008623093,108.17652081976303,2017-01-06,1483678800,1.0
2017-01-09,1483938000,98.23804254873588,103.18983008623093,2017-01-09,1483938000,-1.0
2017-01-10,1484024400,103.18983008623093,108.34206137104776,2017-01-23,1485147600,1.0
2017-01-24,1485234000,108.34206137104776,113.419047767031,2017-01-25,1485320400,1.0
2017-01-26,1485406800,113.419047767031,120.03388807785328,2017-01-26,1485406800,1.0
2017-01-27,1485493200,120.03388807785328,126.60566836647396,2017-02-22,1487739600,1.0
2017-02-23,1487826000,113.71159926994295,120.03388807785328,2017-02-23,1487826000,-1.0
2017-02-24,1487912400,120.03388807785328,126.60272768519857,2017-02-28,1488258000,1.0
2017-03-01,1488344400,126.60272768519857,133.46059234166273,2017-03-01,1488344400,1.0
2017-03-02,1488430800,119.64713907562472,126.60272768519857,2017-03-08,1488949200,-1.0
2017-03-09,1489035600,112.63993212016251,119.64713907562472,2017-03-10,1489122000,-1.0
2017-03-13,1489377600,119.64713907562472,126.3537818076304,2017-03-13,1489377600,1.0
2017-03-14,1489464000,112.80882796733374,119.64713907562472,2017-03-14,1489464000,-1.0
2017-03-15,1489550400,119.64713907562472,126.61157081903778,2017-03-20,1489982400,1.0
2017-03-21,1490068800,112.84406184156546,119.64713907562472,2017-03-28,1490673600,-1.0
2017-03-29,1490760000,119.64713907562472,126.44060861492333,2017-04-04,1491278400,1.0
2017-04-05,1491364800,113.05856157879528,119.64713907562472,2017-04-05,1491364800,-1.0
2017-04-06,1491451200,119.64713907562472,126.2511038941092,2017-04-11,1491883200,1.0
2017-04-12,1491969600,113.21525321606788,119.64713907562472,2017-04-19,1492574400,-1.0
2017-04-20,1492660800,106.37057560321975,113.21525321606788,2017-04-26,1493179200,-1.0
2017-04-27,1493265600,99.74306402153648,106.37057560321975,2017-04-27,1493265600,-1.0
2017-04-28,1493352000,106.37057560321975,112.98112207192564,2017-04-28,1493352000,1.0
2017-05-01,1493611200,99.86578245370713,106.37057560321975,2017-05-05,1493956800,-1.0
2017-05-08,1494216000,106.37057560321975,112.1671468363034,2017-05-16,1494907200,1.0
2017-05-17,1494993600,100.27863181293591,106.37057560321975,2017-05-18,1495080000,-1.0
2017-05-19,1495166400,106.37057560321975,112.67457815708694,2017-05-30,1496116800,1.0
2017-05-31,1496203200,100.5839567450763,106.37057560321975,2017-05-31,1496203200,-1.0
2017-06-01,1496289600,106.37057560321975,112.1964359714958,2017-06-01,1496289600,1.0
2017-06-02,1496376000,100.73584811839198,106.37057560321975,2017-06-08,1496894400,-1.0
2017-06-09,1496980800,106.37057560321975,112.10807138999043,2017-06-13,1497326400,1.0
2017-06-14,1497412800,100.28475700134832,106.37057560321975,2017-06-20,1497931200,-1.0
2017-06-21,1498017600,94.29319402136855,100.28475700134832,2017-06-21,1498017600,-1.0
2017-06-22,1498104000,100.28475700134832,106.22892262561527,2017-06-28,1498622400,1.0
2017-06-29,1498708800,106.22892262561527,112.1347861332515,2017-07-13,1499918400,1.0
2017-07-14,1500004800,112.1347861332515,117.85636278298907,2017-07-19,1500436800,1.0
2017-07-20,1500523200,117.85636278298907,123.69359926500579,2017-07-20,1500523200,1.0
2017-07-21,1500609600,112.02592890683067,117.85636278298907,2017-08-01,1501560000,-1.0
2017-08-02,1501646400,106.57004540148944,112.02592890683067,2017-08-02,1501646400,-1.0
2017-08-03,1501732800,112.02592890683067,117.34796359036181,2017-08-08,1502164800,1.0
2017-08-09,1502251200,107.04286266890031,112.02592890683067,2017-08-18,1503028800,-1.0
2017-08-21,1503288000,102.02683522974189,107.04286266890031,2017-08-21,1503288000,-1.0
2017-08-22,1503374400,107.04286266890031,112.2200310052617,2017-08-22,1503374400,1.0
2017-08-23,1503460800,101.76749207085045,107.04286266890031,2017-08-25,1503633600,-1.0
2017-08-28,1503892800,107.04286266890031,112.1827698131844,2017-08-29,1503979200,1.0
2017-08-30,1504065600,112.1827698131844,118.18907750391914,2017-09-06,1504670400,1.0
2017-09-07,1504756800,118.18907750391914,123.97667780702197,2017-09-12,1505188800,1.0
