unix,date,open,high,low,close,volume_base
1517461200,2018-02-01,14.05,14.2,13.76,13.91,24816898.0
1517547600,2018-02-02,13.82,14.05,13.58,13.99,4928447.0
1517806800,2018-02-05,13.84,14.05,12.31,13.72,4465463.0
1517893200,2018-02-06,13.48,13.92,12.98,13.65,9370950.0
1517979600,2018-02-07,13.52,13.94,13.52,13.82,22088027.0
1518066000,2018-02-08,13.68,13.78,13.25,13.32,7834703.0
1518152400,2018-02-09,13.3,13.52,12.66,13.26,5718839.0
1518411600,2018-02-12,13.24,13.32,12.88,13.04,2300084.0
1518498000,2018-02-13,13.12,13.15,12.92,13.12,1409618.0
1518584400,2018-02-14,13.1,13.17,12.86,13.08,2503093.0
1518670800,2018-02-15,13.19,13.28,12.96,13.22,2369262.0
1518757200,2018-02-16,13.25,13.32,13.08,13.31,1194147.0
1519102800,2018-02-20,13.22,13.37,13.22,13.32,2313669.0
1519189200,2018-02-21,13.22,13.32,13.05,13.1,2555053.0
1519275600,2018-02-22,13.1,13.32,13.1,13.21,3293579.0
1519362000,2018-02-23,13.22,13.28,13.08,13.2,2681619.0
1519621200,2018-02-26,13.18,13.18,13.0,13.12,2148843.0
1519707600,2018-02-27,13.16,13.2,12.91,12.96,1758643.0
1519794000,2018-02-28,12.94,13.13,12.86,13.02,2517777.0
1519880400,2018-03-01,13.02,13.12,12.88,12.98,2706703.0
1519966800,2018-03-02,12.92,13.0,12.76,12.92,1492549.0
1520226000,2018-03-05,12.89,12.99,12.84,12.96,1815753.0
1520312400,2018-03-06,13.05,13.12,12.98,13.06,2377252.0
1520398800,2018-03-07,13.01,13.12,12.91,13.06,1472396.0
1520485200,2018-03-08,13.04,13.08,12.78,12.84,2515585.0
1520571600,2018-03-09,12.76,13.08,12.7,13.05,2889237.0
1520827200,2018-03-12,13.06,13.09,12.78,12.91,3153989.0
1520913600,2018-03-13,12.92,13.1,12.92,13.05,2352918.0
1521000000,2018-03-14,13.07,13.15,13.04,13.07,3468121.0
1521086400,2018-03-15,13.08,13.15,12.78,12.93,3902709.0
1521172800,2018-03-16,12.82,13.0,12.8,12.93,30733989.0
1521432000,2018-03-19,12.94,12.94,12.75,12.8,3136355.0
1521518400,2018-03-20,12.88,12.88,12.54,12.67,5351544.0
1521604800,2018-03-21,12.64,12.69,12.5,12.63,1984128.0
1521691200,2018-03-22,12.55,12.65,12.49,12.52,1571651.0
1521777600,2018-03-23,12.55,12.6,12.17,12.3,2237084.0
1522036800,2018-03-26,12.43,12.6,12.32,12.42,2778103.0
1522123200,2018-03-27,12.48,12.48,12.2,12.3,1614817.0
1522209600,2018-03-28,12.34,12.39,12.2,12.27,5019673.0
1522296000,2018-03-29,12.16,12.37,11.99,12.31,6805578.0
1522641600,2018-04-02,12.33,12.35,12.18,12.29,5195758.0
1522728000,2018-04-03,12.31,12.33,12.18,12.27,1946520.0
1522814400,2018-04-04,12.2,12.32,12.09,12.18,3329221.0
1522900800,2018-04-05,12.2,12.29,12.12,12.21,4030762.0
1522987200,2018-04-06,12.2,12.32,12.14,12.28,2234788.0
1523246400,2018-04-09,12.29,12.32,12.16,12.18,2966097.0
1523332800,2018-04-10,12.29,12.31,12.1,12.2,1696740.0
1523419200,2018-04-11,12.12,12.23,12.08,12.2,2010178.0
1523505600,2018-04-12,12.2,12.31,12.03,12.2,1002694.0
1523592000,2018-04-13,12.22,12.25,12.11,12.22,1463589.0
1523851200,2018-04-16,12.22,12.34,12.18,12.24,2968274.0
1523937600,2018-04-17,12.27,12.37,12.25,12.27,1784252.0
1524024000,2018-04-18,12.29,12.37,12.25,12.35,1489956.0
1524110400,2018-04-19,12.35,12.35,12.22,12.24,1375757.0
1524196800,2018-04-20,12.26,12.32,12.13,12.21,1106460.0
1524456000,2018-04-23,12.25,12.25,11.81,12.15,977110.0
1524542400,2018-04-24,12.14,12.24,12.06,12.12,1348261.0
1524628800,2018-04-25,12.06,12.19,12.06,12.12,1028463.0
1524715200,2018-04-26,12.11,12.16,12.08,12.1,1513427.0
1524801600,2018-04-27,12.08,12.15,11.97,12.12,1199045.0
1525060800,2018-04-30,12.13,12.22,12.08,12.21,1755570.0
1525147200,2018-05-01,12.16,12.25,12.02,12.23,4066298.0
1525233600,2018-05-02,12.17,12.2,11.98,12.0,3651179.0
1525320000,2018-05-03,11.98,12.12,11.97,11.99,2252525.0
1525406400,2018-05-04,12.07,12.29,11.95,12.1,2645053.0
1525665600,2018-05-07,12.09,12.27,12.08,12.2,3596568.0
1525752000,2018-05-08,12.18,12.49,12.18,12.37,3985492.0
1525838400,2018-05-09,12.59,13.06,12.59,12.69,4182644.0
1525924800,2018-05-10,12.76,12.88,12.75,12.84,2606017.0
1526011200,2018-05-11,12.82,12.83,12.66,12.76,1554907.0
1526270400,2018-05-14,12.83,12.97,12.82,12.96,3549824.0
1526356800,2018-05-15,12.95,13.11,12.93,13.0,5790294.0
1526443200,2018-05-16,12.97,13.29,12.97,13.2,3713745.0
1526529600,2018-05-17,13.29,13.47,13.23,13.23,3950447.0
1526616000,2018-05-18,13.27,13.29,13.06,13.14,2135109.0
1526875200,2018-05-21,13.19,13.4,13.16,13.27,3255703.0
1526961600,2018-05-22,13.31,13.35,13.21,13.27,3576499.0
1527048000,2018-05-23,13.25,13.38,13.24,13.37,2053512.0
1527134400,2018-05-24,13.38,13.39,13.27,13.33,1669276.0
1527220800,2018-05-25,13.33,13.42,13.27,13.34,2003600.0
1527566400,2018-05-29,13.35,13.44,13.3,13.39,2607305.0
1527652800,2018-05-30,13.45,13.47,13.34,13.4,5346716.0
1527739200,2018-05-31,13.35,13.45,12.98,13.01,20028324.0
