unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,85.21,85.67,81.98,83.48,1617416.0
1451970000,2016-01-05,81.27,83.44,80.13,80.96,2344205.0
1452056400,2016-01-06,79.96,81.31,79.38,80.57,1671531.0
1452142800,2016-01-07,79.18,80.42,78.96,80.1,1898225.0
1452229200,2016-01-08,80.45,80.92,77.54,77.72,1115196.0
1452488400,2016-01-11,77.75,78.32,76.56,77.64,1273334.0
1452574800,2016-01-12,78.28,79.16,77.72,78.85,1010698.0
1452661200,2016-01-13,78.88,79.68,75.53,75.67,1311395.0
1452747600,2016-01-14,75.93,76.01,73.78,75.23,1221527.0
1452834000,2016-01-15,74.46,74.46,72.4,73.84,1186447.0
1453179600,2016-01-19,74.43,74.98,73.37,74.19,1235355.0
1453266000,2016-01-20,73.15,74.77,72.14,73.73,1355761.0
1453352400,2016-01-21,73.88,74.25,73.11,73.44,1006459.0
1453438800,2016-01-22,74.58,74.85,73.87,74.79,726717.0
1453698000,2016-01-25,74.31,75.24,73.74,74.2,706747.0
1453784400,2016-01-26,74.59,75.21,73.85,74.73,629879.0
1453870800,2016-01-27,74.61,75.73,74.0,74.32,1372432.0
1453957200,2016-01-28,75.17,76.8,74.38,76.65,1401921.0
1454043600,2016-01-29,76.52,76.93,74.88,75.18,1855707.0
1454302800,2016-02-01,74.61,75.57,74.27,75.23,1198855.0
1454389200,2016-02-02,74.62,75.11,73.44,73.83,905733.0
1454475600,2016-02-03,74.13,75.97,73.26,75.78,1608334.0
1454562000,2016-02-04,75.61,76.67,74.09,76.58,1173857.0
1454648400,2016-02-05,76.51,76.57,74.42,75.25,1610697.0
1454907600,2016-02-08,74.1,74.29,70.45,71.37,1574744.0
1454994000,2016-02-09,70.63,73.22,69.87,72.22,1329406.0
1455080400,2016-02-10,73.09,74.55,72.78,73.38,776553.0
1455166800,2016-02-11,72.01,74.2,71.38,73.75,1409856.0
1455253200,2016-02-12,75.48,77.08,73.39,76.54,1562288.0
1455598800,2016-02-16,77.51,79.37,77.26,79.24,1746205.0
1455685200,2016-02-17,79.56,81.41,79.56,81.0,2112665.0
1455771600,2016-02-18,81.11,81.4,80.04,80.17,967605.0
1455858000,2016-02-19,80.09,80.54,79.49,80.22,1456000.0
1456117200,2016-02-22,81.39,84.09,81.39,83.52,1705289.0
1456203600,2016-02-23,82.74,83.6,81.78,82.03,1080590.0
1456290000,2016-02-24,81.21,82.98,80.19,82.74,794439.0
1456376400,2016-02-25,83.02,84.34,82.74,83.86,881526.0
1456462800,2016-02-26,84.32,85.61,83.95,85.4,1318652.0
1456722000,2016-02-29,84.92,85.82,83.98,84.02,1302837.0
1456808400,2016-03-01,84.61,87.21,84.18,86.89,1220090.0
1456894800,2016-03-02,87.05,88.12,86.16,87.05,1040359.0
1456981200,2016-03-03,86.71,88.25,86.06,88.15,892169.0
1457067600,2016-03-04,88.1,88.89,87.22,88.64,910703.0
1457326800,2016-03-07,88.81,89.09,86.65,87.5,1206345.0
1457413200,2016-03-08,86.76,87.5,86.02,86.63,1076146.0
1457499600,2016-03-09,86.72,87.85,86.08,86.48,1517665.0
1457586000,2016-03-10,86.99,88.4,85.66,86.7,858301.0
1457672400,2016-03-11,87.69,87.87,86.88,87.77,839343.0
1457928000,2016-03-14,87.31,88.05,86.97,87.24,857142.0
1458014400,2016-03-15,86.74,88.22,86.27,88.0,904932.0
1458100800,2016-03-16,87.56,89.44,87.41,89.02,941351.0
1458187200,2016-03-17,89.03,90.11,88.8,89.42,871598.0
1458273600,2016-03-18,89.62,89.62,87.67,88.07,1697605.0
1458532800,2016-03-21,88.01,88.53,87.72,88.09,802376.0
1458619200,2016-03-22,87.87,89.19,87.81,88.85,843001.0
1458705600,2016-03-23,88.87,88.98,87.88,88.4,540238.0
1458792000,2016-03-24,88.05,89.07,88.05,88.75,553929.0
1459137600,2016-03-28,88.82,89.4,87.66,87.97,1014011.0
1459224000,2016-03-29,87.92,88.98,87.55,88.61,710954.0
1459310400,2016-03-30,88.95,89.2,88.36,89.09,920990.0
1459396800,2016-03-31,88.71,89.37,87.98,88.05,1093241.0
1459483200,2016-04-01,87.7,89.17,86.86,89.14,960194.0
1459742400,2016-04-04,89.63,90.64,88.99,89.05,567060.0
1459828800,2016-04-05,88.68,89.19,88.02,88.22,1340751.0
1459915200,2016-04-06,88.3,89.36,88.3,89.34,734033.0
1460001600,2016-04-07,88.84,89.72,88.26,89.09,848602.0
1460088000,2016-04-08,89.53,89.76,88.8,89.26,529654.0
