start,start_unix,bottom,top,end,end_unix,direction
2016-03-15,1458014400,32.02,32.83791831164571,2016-03-28,1459137600,
2016-03-29,1459224000,32.83791831164571,33.6015310604437,2016-04-06,1459915200,1.0
2016-04-07,1460001600,32.022345180186505,32.83791831164571,2016-04-08,1460088000,-1.0
2016-04-11,1460347200,31.20662140867321,32.022345180186505,2016-04-11,1460347200,-1.0
2016-04-12,1460433600,32.022345180186505,32.82608868230599,2016-04-12,1460433600,1.0
2016-04-13,1460520000,31.17701192821841,32.022345180186505,2016-04-18,1460952000,-1.0
2016-04-19,1461038400,32.022345180186505,32.78423212857938,2016-04-19,1461038400,1.0
2016-04-20,1461124800,31.271164442393122,32.022345180186505,2016-04-20,1461124800,-1.0
2016-04-21,1461211200,30.39363947158498,31.271164442393122,2016-04-22,1461297600,-1.0
2016-04-25,1461556800,31.271164442393122,32.12597934069198,2016-04-25,1461556800,1.0
2016-04-26,1461643200,30.420836322544183,31.271164442393122,2016-04-26,1461643200,-1.0
2016-04-27,1461729600,31.271164442393122,32.16875483939571,2016-05-02,1462161600,1.0
2016-05-03,1462248000,30.412648112509977,31.271164442393122,2016-05-03,1462248000,-1.0
2016-05-04,1462334400,31.271164442393122,32.130072462998896,2016-05-17,1463457600,1.0
2016-05-18,1463544000,30.499087821572882,31.271164442393122,2016-05-20,1463716800,-1.0
2016-05-23,1463976000,29.71271452130245,30.499087821572882,2016-05-23,1463976000,-1.0
2016-05-24,1464062400,30.499087821572882,31.267863028966854,2016-05-27,1464321600,1.0
2016-05-31,1464667200,31.267863028966854,32.009242576509,2016-05-31,1464667200,1.0
2016-06-01,1464753600,30.51901059196343,31.267863028966854,2016-06-01,1464753600,-1.0
2016-06-02,1464840000,31.267863028966854,32.014654577612895,2016-06-03,1464926400,1.0
2016-06-06,1465185600,30.560578479368996,31.267863028966854,2016-06-06,1465185600,-1.0
2016-06-07,1465272000,31.267863028966854,32.03519868216487,2016-06-09,1465444800,1.0
2016-06-10,1465531200,32.03519868216487,32.819212687294616,2016-06-15,1465963200,1.0
2016-06-16,1466049600,32.819212687294616,33.59993899926126,2016-06-22,1466568000,1.0
2016-06-23,1466654400,33.59993899926126,34.38675993798663,2016-06-23,1466654400,1.0
2016-06-24,1466740800,32.78317669901627,33.59993899926126,2016-06-24,1466740800,-1.0
