start,start_unix,end,end_unix,direction,bottom,top,start_open,start_high,start_low,start_close,start_volume,end_open,end_high,end_low,end_close,end_volume,bb_bbh,bb_bbl,kch_high,kch_low,squeeze,rsi,roc,tsi,mfi,vwap,atr,adx,obv,pocket_pivot,cmf,aroon_up,aroon,aroon_down,sma,ema20,ema50,macd_diff,rel_open,rel_high,rel_low,rel_close
2016-03-15,1458014400,2016-03-31,1459396800,-0.25,124.09098313603269,133.10644423082678,128.05,129.4,127.65,129.16,542271.0,132.16,132.87,131.3,131.92,673234.0,0.4193655517891841,-4.402082349848627,-0.5950576106731376,-3.6567616737416415,0,12.950534146857613,4.673490438784405,27.559656519916526,24.727090318281327,-1.611011758082455,1.6557573327427584,-0.7398827480095598,-1.1150661312455332,0,0.23346353846856055,46.0,84.0,-38.0,-1.9913583990297212,-2.256580450497424,-3.8815434450152253,0.10536822026567405,0.0018192844147968401,0.007201334141904381,-0.004699818071558393,-0.001815980629540026
2016-03-17,1458187200,2016-04-01,1459483200,0.75,124.09098313603269,137.10316113914746,130.05,130.52,127.73,127.76,768613.0,130.91,133.6,130.91,133.41,973124.0,-0.3046674541732699,-5.338087961462719,-1.417809759388362,-4.522899332883583,0,15.731656317550176,5.587653343886033,29.390717427113916,26.147046153297467,-2.3958786073043115,1.6643417153139735,0.33917450812007743,1.598440252512837,1,0.28659083901822935,50.0,92.0,-42.0,-2.8213777078180016,-3.0293558944902514,-4.760734247227546,0.16685046723226793,-0.018739224945656274,0.0014241810958699475,-0.018739224945656274,0.011294724075197049
2016-03-18,1458273600,2016-04-05,1459828800,0.25,128.525,137.10316113914746,128.18,130.73,127.12,129.95,1348935.0,131.47,131.89,130.56,131.01,913326.0,1.8426024902935154,-3.253945135893119,0.6725949673053009,-2.2913009185049305,0,8.040111267212794,2.3435669088352475,28.077311108894698,22.635902043025922,-0.224206074691935,1.6744605479783539,1.0113849203108671,-1.491447210966967,0,0.1254824792621192,42.0,88.0,-46.0,-0.7056713227998017,-0.9019899560748001,-2.7300452711749728,-0.014045318252227545,0.003511182352492259,0.0067170445004198776,-0.003434852301350988,-0.014147038904356979
2016-04-01,1459483200,2016-04-06,1459915200,-0.25,129.17663567310044,137.21921793621325,130.91,133.6,130.91,133.41,973124.0,130.94,134.32,130.85,134.19,1430886.0,-0.1309059861315518,-5.506622890833938,-1.4396254067615502,-4.453262786596085,0,13.982668174776578,5.041095890410957,28.922322438835167,25.477140690408078,-2.2658702523606706,1.702715761808083,1.5403774900844134,2.3064892369283934,1,0.2261508871820235,50.0,96.0,-46.0,-2.818764438482745,-2.940828171413628,-4.837667737412872,0.0713377209198498,-0.024219390416573505,0.0009687756166629757,-0.02489008122810943,0.02427295626288073
2016-04-04,1459742400,2016-04-12,1460433600,0.25,128.6972972186822,137.21921793621325,133.36,134.26,132.56,132.89,571850.0,130.99,132.51,130.685,132.19,579494.0,1.3295488538833382,-3.208662251265949,0.5906901681922392,-2.6285397281690592,1,7.222937906968404,2.504652605459049,18.150209620714154,16.728238978934996,-0.2858601825220717,1.7719075403585343,0.6644900959719742,1.018298602401888,0,0.1642197203651743,34.0,72.0,-38.0,-0.9395566986912911,-1.2459221610591271,-3.016261196290131,-0.2907217716278929,-0.009077842499432554,0.002420757999848755,-0.011385127468038436,0.011709781111281181
2016-04-06,1459915200,2016-04-15,1460692800,-0.25,128.6972972186822,137.3698341676724,130.94,134.32,130.85,134.19,1430886.0,135.0,135.92,133.96,135.81,446210.0,-0.20204715950866614,-5.59060433890825,-1.4981714650369469,-4.563115136342418,0,13.028858706146934,6.300876643706949,21.963548919260234,24.286105798704682,-2.5002893077017916,1.660088389055334,3.8743072180775435,0.8115941797014768,0,0.2502667732373198,50.0,80.0,-30.0,-2.896325749208458,-2.992117141441824,-5.021918266309797,0.1242544403747654,-0.005964214711729587,0.000809955084308811,-0.01362197187246883,0.00682037215508946
2016-04-07,1460001600,2016-04-18,1460952000,0.75,128.6972972186822,141.55603740792378,133.91,133.91,129.6,130.15,886606.0,135.65,138.35,135.1,138.31,746647.0,-1.0976701470198975,-7.600905516345023,-3.0029161545320875,-5.986431446268043,0,16.577599997261416,6.433243555213555,24.817977893762684,25.46408652534255,-3.9432194964740432,1.6814897453592155,5.688698900394456,1.347447033740397,0,0.2888293876208075,50.0,84.0,-34.0,-4.34928783168246,-4.293608612332221,-6.474417267778563,0.3327091298072067,-0.01923215964138525,0.0002892054081411466,-0.023208734003325904,0.018408070097930995
2016-04-13,1460520000,2016-04-20,1461124800,0.25,133.10644423082678,141.55603740792378,132.77,134.9,132.45,134.74,359493.0,136.93,137.67,135.23,136.41,435822.0,1.0246803967956026,-6.113017029007281,-1.0463553502920178,-4.275590743591607,0,11.804091059308412,4.946914909986157,25.231988978544155,14.371624580468904,-2.2203964212594514,1.7395523208479762,8.54949848638568,-0.7903387255602626,0,0.25441998147357425,42.0,84.0,-42.0,-2.5441683161058393,-2.410225734858159,-4.768263671568064,0.26567694647231743,0.003812037240671584,0.009236859467780967,-0.008650392199985424,-0.0015371102327624842
2016-04-18,1460952000,2016-04-25,1461556800,-0.25,133.1078597302961,141.563577432553,135.65,138.35,135.1,138.31,746647.0,137.46,137.86,136.05,137.57,1182937.0,1.3039178923989851,-6.366068070490144,-1.0928981609362438,-4.258559278912543,0,12.861896693557838,5.8719408957980574,27.204679877076966,9.637997680886265,-2.1104777537038046,1.6406337679849035,10.97473970669109,-2.119788894338074,0,0.388998622484077,30.0,64.0,-34.0,-2.531075089045572,-2.3526108875283995,-4.922683434696111,0.21604019885231018,-0.0007995929345059327,0.002108017736425216,-0.011048920549538321,-0.0041262487331692466
2016-04-19,1461038400,2016-04-27,1461729600,0.25,132.78352952009854,141.563577432553,137.45,138.915,136.0,136.62,521221.0,133.68,133.84,132.28,133.24,784924.0,4.574413929090682,-3.0958789546085654,2.4440858601020494,-1.1126538577004084,0,2.7703886179719888,0.8171912832929877,19.16989720675348,-5.4391104547838225,1.4260383061953803,1.8593360715137495,6.416925292086297,-1.3538067592302512,0,0.2506303064843335,22.0,64.0,-42.0,0.739267487241051,0.6782949866468044,-1.6891199786415,-0.3633670579037802,0.0033023116181327694,0.004503152206544625,-0.007205043530471356,-0.0007499625018748679
2016-04-21,1461211200,2016-04-29,1461902400,-0.75,128.36633826785373,141.563577432553,136.41,138.08,136.31,137.68,384176.0,130.44,131.01,128.9,130.16,605465.0,7.155282157594442,-1.179559969518266,4.7678498258553645,1.1269463224748932,0,-3.2836457830175476,-2.4360992429353123,9.905053597483255,-10.468005370872085,3.689857504203985,1.9016121269299306,3.7920604277732934,-1.0315743023479682,0,0.24227516624400175,14.0,60.0,-46.0,2.987861094038095,2.6040816443518366,0.6313612045222783,-0.8489488753962409,0.002151198524892539,0.006530424093423415,-0.009680393362015871,-0.011317888340296345
2016-04-26,1461643200,2016-05-02,1462161600,-0.25,128.36633826785373,137.3698341676724,138.45,138.45,132.12,133.34,1283272.0,131.0,132.99,130.74,132.88,553167.0,4.961803375807008,-3.2030736948919127,2.6051073650411354,-1.0026590407385214,0,1.973905643238595,-0.007525020693800065,8.159616810809549,-10.633017083729861,1.5938000810955941,1.8817621956091415,2.0646369024566056,0.936538200678858,0,0.25694609710108,10.0,28.0,-18.0,0.8793648404575407,0.4558348634456735,-1.3725016903574527,-0.7949133561135526,-0.014148103552077074,0.0008278145695366224,-0.016104756170981283,0.020897357098955016
