unix,date,open,high,low,close,volume_base
1451883600,2016-01-04,59.47,60.24,58.9,60.21,3720459.0
1451970000,2016-01-05,60.72,61.03,59.46,60.06,3957086.0
1452056400,2016-01-06,59.37,60.02,59.05,59.63,3832425.0
1452142800,2016-01-07,58.21,58.72,57.26,57.6,8190424.0
1452229200,2016-01-08,57.73,58.17,56.67,56.81,4497751.0
1452488400,2016-01-11,57.12,57.48,56.08,56.71,4466789.0
1452574800,2016-01-12,57.23,58.19,57.08,58.01,3478631.0
1452661200,2016-01-13,59.18,59.18,57.72,57.94,5106882.0
1452747600,2016-01-14,58.12,58.96,56.96,58.76,3985587.0
1452834000,2016-01-15,57.28,57.73,56.03,56.31,8079311.0
1453179600,2016-01-19,56.6,58.16,56.53,57.72,8240624.0
1453266000,2016-01-20,56.92,57.52,55.8,57.07,6198405.0
1453352400,2016-01-21,57.34,58.65,56.81,57.88,4537466.0
1453438800,2016-01-22,58.0,58.44,57.64,57.9,6159035.0
1453698000,2016-01-25,57.72,58.17,56.53,56.56,5522434.0
1453784400,2016-01-26,57.02,58.8,56.87,58.64,3272751.0
1453870800,2016-01-27,58.32,59.11,57.95,58.25,3102709.0
1453957200,2016-01-28,58.58,59.69,58.17,59.1,4968866.0
1454043600,2016-01-29,59.17,60.78,59.16,60.74,4684188.0
1454302800,2016-02-01,60.37,61.67,59.99,61.36,5116848.0
1454389200,2016-02-02,60.91,62.0,60.05,60.7,11697977.0
1454475600,2016-02-03,60.93,61.5,59.95,60.81,10678998.0
1454562000,2016-02-04,60.41,61.26,58.83,60.69,12482148.0
1454648400,2016-02-05,60.69,60.97,58.33,58.55,7987827.0
1454907600,2016-02-08,57.67,57.74,56.15,56.6,5286585.0
1454994000,2016-02-09,55.98,57.31,55.72,55.79,4687669.0
1455080400,2016-02-10,56.17,57.07,55.98,56.03,2651102.0
1455166800,2016-02-11,55.19,55.55,54.2,54.76,3382393.0
