start,start_unix,end,end_unix,reward
2016-03-22,1458619200,2016-05-17,1463457600,1.8758521
2016-03-24,1458792000,2016-05-18,1463544000,1.4514659
2016-03-29,1459224000,2016-05-19,1463630400,2.2455541
2016-04-01,1459483200,2016-05-20,1463716800,1.8622459
2016-04-06,1459915200,2016-05-23,1463976000,0.4797540999999996
2016-04-22,1461297600,2016-06-10,1465531200,-0.0997540999999999
2016-04-25,1461556800,2016-06-13,1465790400,-1.7002459
2016-05-10,1462852800,2016-06-16,1466049600,-0.29975409999999986
2016-05-18,1463544000,2016-06-17,1466136000,0.29975409999999986
2016-05-19,1463630400,2016-06-23,1466654400,-0.29975409999999986
2016-05-20,1463716800,2016-06-28,1467086400,0.29975409999999986
2016-05-23,1463976000,2016-07-07,1467864000,-0.29975409999999986
2016-05-24,1464062400,2016-07-08,1467950400,1.2563479
2016-06-13,1465790400,2016-07-11,1468209600,-0.1934658999999999
2016-06-14,1465876800,2016-07-13,1468382400,1.3744459
2016-06-17,1466136000,2016-07-14,1468468800,0.8943479000000001
2016-06-20,1466395200,2016-07-19,1468900800,1.6265341000000002
2016-06-24,1466740800,2016-07-25,1469419200,1.1744459000000003
2016-06-29,1467172800,2016-07-27,1469592000,1.9377540999999998
2016-07-08,1467950400,2016-08-01,1470024000,1.5202459000000004
2016-07-11,1468209600,2016-08-02,1470110400,0.0997540999999999
2016-07-12,1468296000,2016-08-09,1470715200,1.7002459
2016-07-14,1468468800,2016-08-19,1471579200,1.2563479
2016-07-15,1468555200,2016-09-06,1473134400,-0.1934658999999999
2016-07-20,1468987200,2016-09-07,1473220800,1.3744459
2016-07-26,1469505600,2016-09-21,1474430400,-0.06224590000000002
2016-07-28,1469678400,2016-09-23,1474603200,1.5202459000000004
2016-08-02,1470110400,2016-09-26,1474862400,0.0997540999999999
2016-08-03,1470196800,2016-09-28,1475035200,1.7002459
2016-08-10,1470801600,2016-09-29,1475121600,0.29975409999999986
2016-08-22,1471838400,2016-10-10,1476072000,-0.29975409999999986
2016-09-07,1473220800,2016-10-25,1477368000,0.29975409999999986
2016-09-08,1473307200,2016-10-28,1477627200,-1.2563479
2016-09-22,1474516800,2016-11-01,1477972800,-0.7631279000000002
2016-09-26,1474862400,2016-11-07,1478494800,-1.4807340999999998
2016-09-27,1474948800,2016-11-11,1478840400,-0.05585210000000013
2016-09-29,1475121600,2016-11-22,1479790800,-1.6514659000000003
2016-09-30,1475208000,2016-11-30,1480482000,-0.24555409999999994
2016-10-11,1476158400,2016-12-05,1480914000,-1.8622459
2016-10-26,1477454400,2016-12-08,1481173200,-0.4797540999999996
2016-10-31,1477886400,2016-12-09,1481259600,1.0563479
2016-11-02,1478059200,2016-12-14,1481691600,1.8065341
2016-11-08,1478581200,2016-12-22,1482382800,1.3744459
2016-11-14,1479099600,2016-12-23,1482469200,0.8943479000000001
2016-11-23,1479877200,2017-01-03,1483419600,1.6265341000000002
2016-12-01,1480568400,2017-01-10,1484024400,1.1744459000000003
2016-12-06,1481000400,2017-01-19,1484802000,1.9377540999999998
2016-12-09,1481259600,2017-01-31,1485838800,1.5202459000000004
2016-12-12,1481518800,2017-02-13,1486962000,1.0563479
2016-12-15,1481778000,2017-02-14,1487048400,1.8065341
2016-12-23,1482469200,2017-02-15,1487134800,1.3744459
2016-12-27,1482814800,2017-02-16,1487221200,-0.06224590000000002
2017-01-04,1483506000,2017-02-17,1487307600,0.5636521000000001
2017-01-11,1484110800,2017-02-21,1487653200,-0.006534100000000043
2017-01-20,1484888400,2017-02-22,1487739600,0.6255541
2017-02-01,1485925200,2017-02-27,1488171600,0.06224590000000002
2017-02-14,1487048400,2017-02-28,1488258000,-1.5202459000000004
2017-02-15,1487134800,2017-03-01,1488344400,-0.0997540999999999
2017-02-16,1487221200,2017-03-08,1488949200,-1.7002459
2017-02-17,1487307600,2017-03-09,1489035600,-0.29975409999999986
2017-02-21,1487653200,2017-03-10,1489122000,0.29975409999999986
2017-02-22,1487739600,2017-03-13,1489377600,-0.29975409999999986
2017-02-23,1487826000,2017-03-14,1489464000,0.29975409999999986
2017-02-28,1488258000,2017-03-20,1489982400,-0.29975409999999986
2017-03-01,1488344400,2017-03-21,1490068800,0.29975409999999986
2017-03-02,1488430800,2017-03-30,1490846400,-0.29975409999999986
2017-03-09,1489035600,2017-04-13,1492056000,0.29975409999999986
2017-03-10,1489122000,2017-04-21,1492747200,-0.29975409999999986
2017-03-13,1489377600,2017-04-26,1493179200,1.2563479
2017-03-14,1489464000,2017-05-02,1493697600,0.7631279000000002
2017-03-15,1489550400,2017-05-03,1493784000,1.4807340999999998
2017-03-21,1490068800,2017-05-04,1493870400,1.0124459000000003
